Large Cap,Mr. Mahesh Patil,Mr. Dhaval Joshi
Flexi Cap,Mr. Harish Krishnan,Mr. Dhaval Joshi
ELSS,Mr. Dhaval Shah,Mr. Dhaval Joshi
Arbitrage Funds,Mr. Lovelish Solanki,
Aggressive Hybrid,Mr. Chanchal Khandelwal,Mr. Harshil Suvarnkar/ Mr. Dhaval Joshi
Balanced Advantage,Mr. Harish Krishnan,Mr. Lovelish Solanki/Mr. Mohit Sharma
Focused Equity,Mr. Kunal Sangoi,Mr. Dhaval Joshi
Large and Midcap,Mr. Vishal Gajwani,Mr. Dhaval Joshi
Pure Value,Mr. Kunal Sangoi,Mr. Dhaval Joshi
Small Cap,Mr. Abhinav Khandelwal,Mr. Dhaval Joshi
Mid Cap,Mr. Vishal Gajwani,Mr. Dhaval Joshi
Multi Cap,Mr. Abhinav Khandelwal,Mr. Harshil Suvarnkar/ Mr. Dhaval Joshi
Consumption Funds,Mr. Chanchal Khandelwal,Mr. Dhaval Joshi
Technology,Mr. Kunal Sangoi,Mr. Dhaval Joshi
MNC Fund,Mr. Chanchal Khandelwal,Mr. Dhaval Joshi
Banking and Financial Services,Mr. Dhaval Gala,Mr. Dhaval Joshi
Multi Asset,Mr. Dhaval Gala,Mr. Bhupesh Bhameta/ Mr.Sachin Wankhede/ Mr. Dhaval Joshi
PSU Funds,Mr. Dhaval Gala,Mr. Dhaval Joshi
Business Cycle,Mr. Harish Krishnan,Mr. Dhaval Gala/ Mr. Dhaval Joshi
Conservative Hybrid,Mr. Mohit Sharma,Mr. Harshil Suvarnkar
Dividend Yield,Mr. Dhaval Gala,Mr. Dhaval Joshi
Transportation and Logistics,Mr. Dhaval Gala,Mr. Dhaval Joshi
Children Equity,Mr. Chanchal Khandelwal,Mr. Harshil Suvarnkar/ Mr. Dhaval Joshi
Infrastructure,Mr. Mahesh Patil,Mr. Jonas Bhutta/ Mr. Dhaval Joshi
Manufacturing Funds,Mr. Harish Krishnan,
ESG Funds,Mr. Chanchal Khandelwal,Mr. Dhaval Joshi
Special Opportunities Fund,Mr. Dhaval Gala,Mr. Dhaval Joshi
Pharma and Healthcare,Mr. Dhaval Shah,Mr. Dhaval Joshi
Equity Savings,Mr. Lovelish Solanki,Mr. Atul Penkar/ Mr. Harshil Suvarnkar
Retirement Equity,Mr. Jonas Bhutta,Mr. Dhaval Joshi
Quant Based Fund,Mr. Harish Krishnan,Mr. Dhaval Joshi
