Weekly NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Equity Investment Solutions,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,98.76,97.92,0.86,25,7181.78
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,1467.07,1449.36,1.22,20,7515.79
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,505.44,499.1,1.27,16,27274.77
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,897.09,884.47,1.43,12,5761.97
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,1682.27,1662.79,1.17,21,20473.4
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,205.38,202.89,1.23,19,15481.43
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,761.17,753.67,1,22,5342.47
Aditya Birla Sun Life Small Cap Fund - Regular Plan,88.4293,86.2406,2.54,2,4762.46
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,56.94,56.23,1.26,17,3069.78
Aditya Birla Sun Life India GenNext Fund - Regular Plan,207.24,205.33,0.93,24,5026.93
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,32.23,31.59,2.03,5,1005.6
Aditya Birla Sun Life MNC Fund - Regular Plan,1394.01,1376.35,1.28,15,3782.46
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,24.8563,24.8179,0.15,28,12683.86
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,19.57,19.32,1.29,14,994.54
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,14.8,14.59,1.44,11,1701.46
Aditya Birla Sun Life Digital India Fund - Regular Plan,166.75,161.4,3.31,1,4294.58
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,453.15,442.69,2.36,4,1366.05
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,20.45,20.35,0.49,26,535.67
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,16.93,16.65,1.68,7,666.43
Aditya Birla Sun Life Focused Fund - Regular Plan,134.6101,132.8254,1.34,13,7151.96
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5193,-,,267.44
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.2179,0.98,23,353.76
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,99.45,98.01,1.47,10,1146.32
Aditya Birla Sun Life International Equity Fund - Regular Plan,32.6332,32.5969,0.11,29,186.86
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,19.27,18.93,1.8,6,5583.9
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,27.31,26.97,1.26,17,683.18
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,35.64,35.05,1.68,7,4711.18
Aditya Birla Sun Life Pure Value Fund - Regular Plan,125.9435,122.8991,2.48,3,5775.03
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,61.5314,61.2339,0.49,26,1386.89
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,23.19,22.85,1.49,9,714.83
,,,,,
FoFs,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,34.5377,34.4906,0.14,9,22.61
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,62.3491,61.4921,1.39,5,210.21
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,50.7867,50.0562,1.46,4,203.07
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,31.7618,31.5082,0.8,8,18.27
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.1017,1.15,6,34.53
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5193,-,,267.44
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan,-,31.8939,-,,189.99
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.2179,0.98,7,353.76
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,15.0044,14.7774,1.54,3,14.03
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,13.6672,13.4052,1.95,2,371.53
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,14.1703,13.8699,2.17,1,140.04
,,,,,
Equity Index Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,17.1271,16.8144,1.86,4,273.84
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,243.7141,239.5269,1.75,5,841.35
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,23.2563,22.8275,1.88,3,196.37
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,17.6185,17.2907,1.9,2,105.96
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,20.8651,20.4629,1.97,1,161.66
,,,,,
ETF Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life BSE Sensex ETF,78.7901,77.4911,1.68,8,473.71
Aditya Birla Sun Life Gold ETF,64.36,63.5786,1.23,9,803.88
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,36.2199,35.5762,1.81,6,61.89
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,21.4249,20.9251,2.39,3,42.46
Aditya Birla Sun Life Nifty 50 ETF,27.782,27.3027,1.76,7,2291.29
Aditya Birla Sun Life Nifty Bank ETF,53.7922,53.5425,0.47,10,2591.3
Aditya Birla Sun Life Nifty Healthcare ETF,12.8971,12.6312,2.11,4,41.38
Aditya Birla Sun Life Nifty IT ETF,38.9106,36.9354,5.35,1,73.27
Aditya Birla Sun Life Nifty Next 50 ETF,75.0882,73.6778,1.91,5,72.72
Aditya Birla Sun Life Silver ETF,90.7831,88.0153,3.14,2,382.71
,,,,,
Balanced Advantage,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,98.76,97.92,0.86,15,7181.78
Axis Balanced Advantage Fund - Regular Plan,19.64,19.42,1.13,7,2183.67
Bandhan Balanced Advantage Fund - Regular Plan,22.919,22.695,0.99,10,2216.86
