Daily NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Equity Investment Solutions,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,98.76,98.38,0.39
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,1467.07,1458.56,0.58
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,505.44,502.28,0.63
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,897.09,891.48,0.63
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,1682.27,1669.15,0.79
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,205.38,204.59,0.39
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,761.17,757.12,0.53
Aditya Birla Sun Life Small Cap Fund - Regular Plan,88.4293,88.0333,0.45
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,56.94,56.34,1.06
Aditya Birla Sun Life India GenNext Fund - Regular Plan,207.24,206.15,0.53
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,32.23,31.97,0.81
Aditya Birla Sun Life MNC Fund - Regular Plan,1394.01,1392.18,0.13
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,24.8563,24.8453,0.04
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,19.57,19.44,0.67
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,14.8,14.71,0.61
Aditya Birla Sun Life Digital India Fund - Regular Plan,166.75,166.68,0.04
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,453.15,449.57,0.8
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,20.45,20.41,0.2
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,16.93,16.82,0.65
Aditya Birla Sun Life Focused Fund - Regular Plan,134.6101,133.6996,0.68
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5886,-
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.3156,0.51
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,99.45,98.68,0.78
Aditya Birla Sun Life International Equity Fund - Regular Plan,32.6332,32.3985,0.72
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,19.27,19.16,0.57
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,27.31,27.15,0.59
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,35.64,35.25,1.11
Aditya Birla Sun Life Pure Value Fund - Regular Plan,125.9435,125.0557,0.71
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,61.5314,61.4046,0.21
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,23.19,23.03,0.69
,,,
FoFs,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,34.5377,34.5193,0.05
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,62.3491,61.9899,0.58
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,50.7867,50.4611,0.65
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,31.7618,31.6509,0.35
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.3595,0.49
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5886,-
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan,-,31.8723,-
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.3156,0.51
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,15.0044,14.9029,0.68
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,13.6672,13.5216,1.08
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,14.1703,13.9593,1.51
,,,
Equity Index Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,17.1271,17.0154,0.66
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,243.7141,242.09,0.67
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,23.2563,23.0775,0.77
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,17.6185,17.4309,1.08
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,20.8651,20.6781,0.9
,,,
ETF Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life BSE Sensex ETF,78.7901,78.2551,0.68
Aditya Birla Sun Life Gold ETF,64.36,63.8977,0.72
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,36.2199,35.7555,1.3
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,21.4249,21.2901,0.63
Aditya Birla Sun Life Nifty 50 ETF,27.782,27.5966,0.67
Aditya Birla Sun Life Nifty Bank ETF,53.7922,52.8639,1.76
Aditya Birla Sun Life Nifty Healthcare ETF,12.8971,12.8,0.76
Aditya Birla Sun Life Nifty IT ETF,38.9106,38.8949,0.04
Aditya Birla Sun Life Nifty Next 50 ETF,75.0882,74.2856,1.08
Aditya Birla Sun Life Silver ETF,90.7831,89.1818,1.8
,,,
Balanced Advantage,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,98.76,98.38,0.39
Axis Balanced Advantage Fund - Regular Plan,19.64,19.55,0.46
Bandhan Balanced Advantage Fund - Regular Plan,22.919,22.836,0.36
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,22.8737,22.7761,0.43
DSP Dynamic Asset Allocation Fund - Regular Plan,25.669,25.585,0.33
Edelweiss Balanced Advantage Fund - Regular Plan,49.15,48.91,0.49
Franklin India Balanced Advantage Fund - Regular Plan,13.5928,13.5656,0.2
HDFC Balanced Advantage Fund,497.882,494.765,0.63
HSBC Balanced Advantage Fund,41.1441,41.0573,0.21
ICICI Prudential Balanced Advantage Fund,67.65,67.48,0.25
Kotak Balanced Advantage Fund - Regular Plan,19.366,19.277,0.46
LIC MF Balanced Advantage Fund - Regular Plan,12.9506,12.8856,0.5
Mirae Asset Balanced Advantage Fund - Regular Plan,13.277,13.215,0.47
Nippon India Balanced Advantage Fund,167.4008,166.5458,0.51
NJ Balanced Advantage Fund - Regular Plan,13.73,13.65,0.59
PGIM India Balanced Advantage Fund - Regular Plan,14.65,14.59,0.41
SBI Balanced Advantage Fund - Regular Plan,14.4868,14.4625,0.17
Tata Balanced Advantage Fund - Regular Plan,19.8837,19.8103,0.37
Union Balanced Advantage Fund - Regular Plan,19.53,19.43,0.51
CRISIL Hybrid 50+50 Moderate Index,-,14602.22,-
,,,
Aggressive Hybrid Fund,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,1467.07,1458.56,0.58
Axis Equity Hybrid Fund - Regular Plan,19.41,19.32,0.47
Canara Robeco Equity Hybrid Fund - Regular Plan,341.36,339.98,0.41
DSP Equity & Bond Fund,331.604,329.111,0.76
Franklin India Equity Hybrid Fund,257.4718,256.5731,0.35
HDFC Hybrid Equity Fund,113.543,112.922,0.55
HSBC Aggressive Hybrid Fund,54.3547,53.9614,0.73
ICICI Prudential Equity & Debt Fund,360.61,359.08,0.43
Kotak Equity Hybrid Fund - Regular Plan,34.947,34.697,0.72
Mirae Asset Aggressive Hybrid Fund - Regular Plan,30.47,30.282,0.62
Nippon India Equity Hybrid Fund,99.4845,99.0272,0.46
SBI Equity Hybrid Fund,275.4882,274.026,0.53
Sundaram Aggressive Hybrid Fund,154.5902,153.9091,0.44
Tata Hybrid Equity Fund - Regular Plan,428.6015,425.9021,0.63
UTI Aggressive Hybrid Fund - Regular Plan,384.5664,382.266,0.6
CRISIL Hybrid 35+65 Aggressive Index,-,19666.58,-
,,,
Large Cap Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,505.44,502.28,0.63
Axis Bluechip Fund,58.96,58.62,0.58
Canara Robeco Bluechip Equity Fund - Regular Plan,59.97,59.57,0.67
DSP Top 100 Equity Fund - Regular Plan,441.926,437.794,0.94
Franklin India Bluechip Fund,977.8729,971.0385,0.7
HDFC Top 100 Fund,1117.798,1109.054,0.79
ICICI Prudential Bluechip Fund,104.56,104.03,0.51
Kotak Bluechip Fund - Regular Plan,554.462,550.571,0.71
Mirae Asset Large Cap Fund - Regular Plan,107.724,106.872,0.8
Nippon India Large Cap Fund,87.2089,86.4724,0.85
SBI Bluechip Fund,88.5993,88.0212,0.66
Sundaram Large Cap Fund - Regular Plan,20.9127,20.7508,0.78
UTI Large Cap Fund - Regular Plan,267.3971,265.5852,0.68
NIFTY 50 Total Return,35947.53,35706.77,0.67
NIFTY 50 Index,24286.5,24123.85,0.67
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
NIFTY Next 50 Total Return Index,102996.73,101893.52,1.08
S&P BSE 100 Total Return Index,32708.62,32468.93,0.74
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
NIFTY 100 Total Return Index,34244.98,33992.23,0.74
,,,
Focused Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
360 ONE Focused Equity Fund - Regular Plan,47.6658,47.2876,0.8
Aditya Birla Sun Life Focused Fund - Regular Plan,134.6101,133.6996,0.68
Axis Focused Fund,52.38,52.07,0.6
Bandhan Focused Equity Fund - Regular Plan,80.865,80.225,0.8
Canara Robeco Focused Equity Fund - Regular Plan,18.41,18.32,0.49
DSP Focus Fund,52.113,51.598,1
Franklin India Focused Equity Fund,106.7804,106.2735,0.48
HDFC Focused 30 Fund,210.729,209.285,0.69
HSBC Focused Fund - Regular Plan,23.7271,23.6466,0.34
ICICI Prudential Focused Equity Fund,83.7,83.17,0.64
Invesco India Focused Fund - Regular Plan,26.41,26.26,0.57
Kotak Focused Equity Fund - Regular Plan,24.46,24.299,0.66
Mirae Asset Focused Fund - Regular Plan,24.008,23.814,0.81
Nippon India Focused Equity Fund,119.0964,118.2397,0.72
SBI Focused Equity Fund,328.7813,326.3901,0.73
Sundaram Focused Fund,160.2845,158.7063,0.99
Tata Focused Equity Fund - Regular Plan,23.5225,23.3436,0.77
UTI Focused Fund - Regular Plan,15.4298,15.3056,0.81
NIFTY 50 Total Return,35947.53,35706.77,0.67
NIFTY 50 Index,24286.5,24123.85,0.67
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
NIFTY Next 50 Total Return Index,102996.73,101893.52,1.08
S&P BSE 100 Total Return Index,32708.62,32468.93,0.74
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
NIFTY 500 Total Return Index,35966.18,35693.16,0.76
,,,
Flexi Cap Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,1682.27,1669.15,0.79
Axis Flexi Cap Fund - Regular Plan,25.57,25.38,0.75
Bandhan Flexi Cap Fund - Regular Plan,201.531,200.011,0.76
Canara Robeco Flexi Cap Fund - Regular Plan,325.63,323.51,0.66
DSP Flexi Cap Fund,67.25,66.598,0.98
Franklin India Flexi Cap Fund,1577.3674,1570.2082,0.46
HDFC Flexi Cap Fund,1822.456,1808.637,0.76
HSBC Flexi Cap Fund,213.1145,211.579,0.73
ICICI Prudential Flexicap Fund,17.9,17.8,0.56
Kotak Flexicap Fund - Regular Plan,82.226,81.61,0.75
Mirae Asset Flexi Cap Fund - Regular Plan,14.97,14.898,0.48
Motilal Oswal Flexi Cap Fund - Regular Plan,56.1534,55.7985,0.64
Nippon India Flexi Cap Fund - Regular Plan,16.8054,16.6853,0.72
PGIM India Flexi Cap Fund - Regular Plan,34.65,34.39,0.76
SBI Flexicap Fund,107.8364,107.1723,0.62
Sundaram Flexi Cap Fund - Regular Plan,13.9745,13.8674,0.77
Tata Flexi Cap Fund - Regular Plan,22.9766,22.7507,0.99
UTI Flexi Cap Fund - Regular Plan,306.377,304.5609,0.6
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
NIFTY Next 50 Total Return Index,102996.73,101893.52,1.08
NIFTY Midcap 100 Total Return Index,75762.34,75172.04,0.79
S&P BSE AllCap Total Return Index,13474.83,13372.33,0.77
NIFTY 500 Total Return Index,35966.18,35693.16,0.76
,,,
Large & Mid Cap Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,897.09,891.48,0.63
Axis Growth Opportunities Fund - Regular Plan,31.28,31.08,0.64
Bandhan Core Equity Fund - Regular Plan,127.151,126.302,0.67
Canara Robeco Emerging Equities Fund - Regular Plan,246.96,245.45,0.62
DSP Equity Opportunities Fund,601.768,595.409,1.07
Edelweiss Large & Mid Cap Fund - Regular Plan,84.424,83.775,0.77
Franklin India Equity Advantage Fund,180.4787,179.6383,0.47
HDFC Large and Mid Cap Fund - Regular Plan,331.499,328.755,0.83
HSBC Large and Mid Cap Fund - Regular Plan,26.6336,26.3751,0.98
ICICI Prudential Large & Mid Cap Fund,929.74,924.36,0.58
Invesco India Large & Mid Cap Fund,89.18,88.59,0.67
Kotak Equity Opportunities Fund - Regular Plan,336.538,334.405,0.64
LIC MF Large & Mid Cap Fund - Regular Plan,38.7675,38.3973,0.96
Mirae Asset Large & Midcap Fund - Regular Plan,146.782,146.002,0.53
Motilal Oswal Large and Midcap Fund - Regular Plan,29.7817,29.6587,0.41
Nippon India Vision Fund,1402.761,1390.9608,0.85
SBI Large & Midcap Fund,589.5542,586.5023,0.52
Sundaram Large and Mid Cap Fund,83.6948,82.9724,0.87
Tata Large & Mid Cap Fund - Regular Plan,525.2349,520.8285,0.85
UTI Large & Mid Cap Fund - Regular Plan,171.2747,169.6752,0.94
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
