Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FoFs-Moderate Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),YTD,Rank,1 day,Rank,7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,29/09/2023 to 03/07/2024,Rank,Inception,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,1,,4,,4
Peer Average,,11.67,,0.32,,0.95,,1.53,,3.56,,5.35,,6.8,,11.78,,19.7,,23.99,,19.96,,13.34,,13.42,,11.26,,11.2,,11.39,,12.15,,19.62,,11.45,
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,34.53,13.03,2,0.49,1,1.15,1,1.58,3,3.69,3,6.4,1,8.23,1,12.99,2,21.56,2,27.22,1,21.23,2,14.16,1,14.37,2,11.74,2,11.25,3,11.6,2,-,-,21.45,2,11.01,-
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,18.44,10.59,3,0.35,3,1.01,3,1.77,2,3.89,1,5.37,3,6.36,3,10.76,3,18.22,3,20.59,4,17.38,4,11.33,4,10.77,4,9.12,4,9.52,4,10.07,3,-,-,18.22,3,9.73,-
HSBC Managed Solutions India - Moderate - Regular Plan,56.53,13.11,1,0.46,2,1.08,2,1.88,1,3.73,2,6.02,2,7.77,2,13.54,1,21.81,1,26.64,2,22.92,1,13.95,2,14.4,1,11.6,3,11.61,2,-,-,-,-,21.61,1,12.69,-
ICICI Prudential Asset Allocator (FOF) Fund #,21776.9,9.94,4,-0.02,4,0.55,4,0.91,4,2.93,4,3.6,4,4.84,4,9.82,4,17.19,4,21.53,3,18.31,3,13.91,3,14.16,3,12.59,1,12.4,1,12.51,1,12.15,1,17.19,4,12.35,-
NIFTY 50 Index,,11.76,,0.67,,1.75,,3.28,,4.4,,8.06,,8.25,,12.87,,24.36,,25.69,,24.06,,15.57,,15.29,,14.14,,12.14,,13.54,,12.01,,23.67,,,
NIFTY 50 Total Return Index,,12.57,,0.67,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,24.78,,,
BSE Sensex Total Return Index,,11.57,,0.69,,1.69,,3.53,,4.84,,8.93,,8.93,,12.95,,23.27,,24.25,,24.44,,16.5,,16.36,,15.77,,13.4,,15.04,,13.38,,22.68,,,
CRISIL Hybrid 50+50 Moderate Index ( 02-Jul-2024 ) ,,10.41,,-0.07,,0.74,,0.96,,3.92,,4.72,,5.86,,10.56,,18.04,,21.45,,18.55,,12.54,,13.46,,12.11,,11.81,,12.44,,11.39,,18.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
