Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Returns(%),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Scheme Name,Category,Issue Open,AAUM (Rs Cr),YTD,1 Day,7 Days,14 Days,30 Days,60 Days,90 Days,180 Days,270 Days
Open-ended,,,,,,,,,,,,
Aditya Birla Sun Life Nifty PSE ETF,Equity: Thematic-PSU,2024-05-02 00:00:00,31.45,-,1.62,3.31,2.01,-3.88,-,-,-,-
Aditya Birla Sun Life Quant Fund - Regular Plan,Equity: Thematic,2024-06-10 00:00:00,-,-,0.2,-,-,-,-,-,-,-
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,Equity: Thematic,2023-10-27 00:00:00,1377.16,33.42,0.28,1.82,1.75,5.89,11.14,15.91,33.92,-
Axis BSE Sensex Index Fund - Regular Plan,Equity: Large Cap,2024-02-08 00:00:00,45.53,-,0.68,1.65,3.47,4.73,8.71,8.66,-,-
Axis India Manufacturing Fund - Regular Plan,Equity: Thematic,2023-12-01 00:00:00,5193.03,38.2,0.64,2.17,2.47,5.3,15.47,19.48,38.06,-
Axis Nifty 500 Index Fund - Regular Plan,Equity: Flexi Cap,2024-06-26 00:00:00,-,-,-,-,-,-,-,-,-,-
Axis Nifty Bank Index Fund - Regular Plan,Equity: Sectoral-Banking,2024-05-03 00:00:00,118.77,-,1.76,0.45,3.31,4.02,-,-,-,-
Axis Nifty IT Index Fund - Regular Plan,Equity: Sectoral-Technology,2023-06-27 00:00:00,104.49,5.78,0.04,5.32,6.74,14.61,14.11,7.08,9.23,18.87
Bajaj Finserv Flexi Cap Fund - Regular Plan,Equity: Flexi Cap,2023-07-24 00:00:00,2756.67,26.41,0.71,2,3.44,8.41,12.99,17.6,26.48,39.07
Bajaj Finserv Large and Mid Cap Fund - Regular Plan,Equity: Large & MidCap,2024-02-06 00:00:00,981.7,-,0.71,1.85,2.69,7.17,12.82,14.82,-,-
