Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,Debt: Dynamic Bond,Open-ended,4.07,23 ( 25 ) ,7.54,19 ( 25 ) ,7.18,21 ( 24 ) ,5.64,17 ( 23 ) ,6.85,12 ( 21 ) 
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,Debt: Dynamic Bond,Open-ended,3.89,22 ( 25 ) ,7.2,15 ( 25 ) ,6.8,14 ( 24 ) ,5.21,14 ( 23 ) ,6.38,11 ( 21 ) 
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,Debt: Banking and PSU,Open-ended,3.96,12 ( 22 ) ,7.43,7 ( 21 ) ,7.14,7 ( 20 ) ,5.88,5 ( 20 ) ,7.05,8 ( 16 ) 
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,Debt: Banking and PSU,Open-ended,3.79,9 ( 22 ) ,7.07,5 ( 21 ) ,6.77,7 ( 20 ) ,5.52,5 ( 20 ) ,6.69,7 ( 16 ) 
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan,Debt: Banking and PSU,Open-ended,3.79,-,7.07,-,6.77,-,5.52,-,6.69,-
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,Debt: Corporate Bond,Open-ended,4.27,3 ( 22 ) ,7.85,3 ( 22 ) ,7.62,4 ( 21 ) ,6.11,4 ( 20 ) ,7.32,3 ( 19 ) 
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,Debt: Corporate Bond,Open-ended,4.18,1 ( 22 ) ,7.66,1 ( 22 ) ,7.44,3 ( 21 ) ,5.93,3 ( 20 ) ,7.15,1 ( 19 ) 
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,Debt: Credit Risk,Open-ended,5.01,1 ( 14 ) ,8.74,4 ( 14 ) ,9.62,3 ( 14 ) ,8.04,6 ( 14 ) ,7.69,7 ( 14 ) 
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,Debt: Credit Risk,Open-ended,4.54,1 ( 14 ) ,7.78,5 ( 14 ) ,8.67,3 ( 14 ) ,7.11,6 ( 14 ) ,6.78,7 ( 14 ) 
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,Debt: Target Maturity,Open-ended,4.06,50 ( 97 ) ,7.49,35 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular Plan,Debt: Target Maturity,Open-ended,3.98,51 ( 97 ) ,7.33,35 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,Debt: Target Maturity,Open-ended,3.82,76 ( 97 ) ,7.2,79 ( 95 ) ,-,-,-,-,-,-
