Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count,Ret 10 Yr,Rank/Count
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,Hybrid: Arbitrage,Open-ended,4.25,9 ( 27 ) ,8.55,7 ( 25 ) ,7.53,9 ( 24 ) ,6.35,10 ( 24 ) ,5.9,7 ( 21 ) ,6.51,7 ( 12 ) 
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,Hybrid: Arbitrage,Open-ended,3.89,13 ( 27 ) ,7.8,8 ( 25 ) ,6.78,11 ( 24 ) ,5.62,11 ( 24 ) ,5.21,11 ( 21 ) ,5.86,9 ( 12 ) 
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,Hybrid: Multi Asset Allocation,Open-ended,16.18,9 ( 30 ) ,35.01,8 ( 27 ) ,24.97,10 ( 22 ) ,16.23,10 ( 20 ) ,17.46,-,-,-
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,Hybrid: Multi Asset Allocation,Open-ended,15.57,9 ( 30 ) ,33.53,8 ( 27 ) ,23.59,9 ( 22 ) ,15.04,10 ( 20 ) ,16.55,-,13.24,-
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,Equity: Flexi Cap,Open-ended,17.29,65 ( 83 ) ,34.12,63 ( 77 ) ,29.01,53 ( 68 ) ,16.06,51 ( 59 ) ,15.35,44 ( 47 ) ,-,-
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,Equity: Flexi Cap,Open-ended,16.49,67 ( 83 ) ,32.14,66 ( 77 ) ,27,55 ( 68 ) ,14.17,53 ( 59 ) ,13.38,46 ( 47 ) ,-,-
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,Hybrid: Dynamic Asset Allocation,Open-ended,12.61,15 ( 34 ) ,23.47,22 ( 32 ) ,20.47,16 ( 28 ) ,13.65,16 ( 24 ) ,14.17,7 ( 20 ) ,12.17,-
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,Hybrid: Dynamic Asset Allocation,Open-ended,11.96,15 ( 34 ) ,22.06,21 ( 32 ) ,19.05,16 ( 28 ) ,12.28,15 ( 24 ) ,12.84,9 ( 20 ) ,11.05,-
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,Equity: Sectoral-Banking,Open-ended,13.8,13 ( 44 ) ,26.2,13 ( 38 ) ,32.09,7 ( 31 ) ,17.7,8 ( 27 ) ,14.53,6 ( 16 ) ,16.2,3 ( 11 ) 
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,Equity: Sectoral-Banking,Open-ended,13.25,16 ( 44 ) ,24.98,15 ( 38 ) ,30.82,8 ( 31 ) ,16.56,11 ( 27 ) ,13.36,8 ( 16 ) ,15.06,3 ( 11 ) 
Aditya Birla Sun Life BSE Sensex ETF,Equity: Large Cap,Open-ended,12.85,134 ( 156 ) ,24.18,136 ( 150 ) ,24.33,113 ( 130 ) ,16.4,78 ( 108 ) ,16.26,57 ( 91 ) ,-,-
