Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,
Peer Average,,7.49,,8.65,,7.59,,7.29,,7.2,,7.21,,7.48,,7.44,,7.4,,6.95,,5.85,,5.2,,5.27,,5.84,,6.47,,,,
Aditya Birla Sun Life Liquid Fund - Direct Plan,44331.38,7.68,4,8.79,1,7.64,2,7.37,1,7.27,2,7.27,2,7.52,2,7.48,2,7.43,2,7.01,1,5.9,1,5.25,2,5.34,2,5.9,2,6.54,1,6.91,-,0.14
Axis Liquid Fund - Direct Plan,36518.03,7.18,14,8.71,6,7.63,5,7.3,7,7.21,7,7.22,5,7.49,6,7.45,4,7.41,5,6.97,3,5.87,4,5.22,5,5.3,6,5.87,5,6.51,4,6.87,-,0.13
Bandhan Liquid Fund - Direct Plan,14555.72,7.12,16,8.52,15,7.56,13,7.28,10,7.18,13,7.18,13,7.47,10,7.43,10,7.4,8,6.95,9,5.84,9,5.17,15,5.2,17,5.75,17,6.41,17,6.78,-,0.12
Baroda BNP Paribas Liquid Fund - Direct Plan,8972.71,7.17,15,8.51,16,7.53,15,7.27,12,7.17,15,7.17,15,7.44,15,7.4,15,7.39,11,6.96,5,5.88,2,5.24,3,5.3,5,5.88,4,6.53,2,6.89,-,0.12
DSP Liquidity Fund - Direct Plan,13929.36,7.73,2,8.73,4,7.65,1,7.3,5,7.22,6,7.22,8,7.48,7,7.43,11,7.39,9,6.93,10,5.83,10,5.18,12,5.25,11,5.83,11,6.47,9,6.83,-,0.12
Edelweiss Liquid Fund - Direct Plan,5095.66,7.57,7,8.37,17,7.53,17,7.3,4,7.29,1,7.33,1,7.59,1,7.52,1,7.46,1,7,2,5.88,3,5.25,1,5.35,1,5.91,1,6.43,14,6.81,-,0.16
HDFC Liquid Fund - Direct Plan,56818.19,7.88,1,8.62,12,7.56,12,7.25,17,7.15,17,7.15,17,7.43,17,7.39,17,7.35,17,6.9,17,5.81,17,5.15,17,5.22,15,5.77,16,6.42,15,6.8,-,0.1
HSBC Liquid Fund - Direct Plan,20247.52,7.57,8,8.75,2,7.6,8,7.27,13,7.18,12,7.2,10,7.47,8,7.44,8,7.41,6,6.95,8,5.84,8,5.19,10,5.25,12,5.82,12,6.47,10,6.83,-,0.11
ICICI Prudential Liquid Fund - Direct Plan,46422.7,7.42,12,8.7,10,7.62,7,7.3,6,7.22,4,7.22,6,7.5,4,7.45,5,7.39,10,6.93,11,5.82,14,5.19,9,5.28,9,5.84,10,6.48,7,6.85,-,0.13
Invesco India Liquid Fund - Direct Plan,10028.36,7.54,9,8.63,11,7.53,16,7.26,14,7.19,10,7.18,14,7.45,14,7.41,14,7.37,15,6.92,16,5.82,16,5.17,16,5.21,16,5.79,14,6.46,11,6.83,-,0.13
