Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Total Funds,,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,
Peer Average,,7.38,,8.54,,7.48,,7.18,,7.09,,7.1,,7.37,,7.32,,7.28,,6.83,,5.73,,5.09,,5.16,,5.73,,6.37,,,,
Aditya Birla Sun Life Liquid Fund - Regular Plan,44331.38,7.56,4,8.66,1,7.52,5,7.24,1,7.14,2,7.14,3,7.39,5,7.34,5,7.3,5,6.88,2,5.77,3,5.12,4,5.23,2,5.79,2,6.43,2,6.98,-,0.14
Axis Liquid Fund,36518.03,7.01,16,8.54,11,7.46,13,7.13,15,7.09,10,7.12,5,7.43,2,7.38,1,7.34,1,6.9,1,5.8,1,5.14,1,5.23,1,5.8,1,6.44,1,7.01,-,0.13
Bandhan Liquid Fund - Regular Plan,14555.72,6.99,17,8.39,15,7.43,15,7.15,12,7.05,15,7.05,15,7.34,14,7.3,13,7.26,13,6.81,13,5.73,9,5.07,11,5.11,16,5.66,17,6.33,14,6.96,-,0.12
Baroda BNP Paribas Liquid Fund,8972.71,7.03,15,8.37,16,7.4,16,7.13,17,7.04,17,7.04,17,7.32,17,7.28,17,7.25,14,6.85,5,5.77,2,5.13,2,5.2,4,5.77,3,6.42,3,6.94,-,0.12
DSP Liquidity Fund - Regular Plan,13929.36,7.63,2,8.63,4,7.54,2,7.19,8,7.1,8,7.1,9,7.37,9,7.32,9,7.28,9,6.83,9,5.73,8,5.09,9,5.16,11,5.72,11,6.36,11,6.93,-,0.12
Edelweiss Liquid Fund - Regular Plan,5095.66,7.4,11,8.19,17,7.36,17,7.13,16,7.12,5,7.16,2,7.38,8,7.29,15,7.22,17,6.75,17,5.63,17,5,17,5.1,17,5.69,14,6.24,17,7.01,-,0.16
HDFC Liquid Fund,56818.19,7.8,1,8.54,13,7.48,9,7.16,11,7.07,13,7.07,13,7.39,6,7.32,11,7.27,12,6.81,12,5.71,13,5.06,15,5.12,14,5.67,16,6.33,15,6.82,-,0.1
HSBC Liquid Fund - Regular Plan,20247.52,7.47,8,8.65,2,7.5,6,7.17,10,7.08,11,7.1,10,7.37,10,7.34,6,7.3,4,6.85,4,5.75,6,5.1,6,5.17,9,5.74,9,6.39,8,7.05,-,0.11
ICICI Prudential Liquid Fund,46422.7,7.33,12,8.61,5,7.53,3,7.21,4,7.13,4,7.13,4,7.41,3,7.35,3,7.29,6,6.83,8,5.72,10,5.08,10,5.18,7,5.74,10,6.39,7,7.13,-,0.13
Invesco India Liquid Fund,10028.36,7.47,7,8.56,10,7.46,14,7.19,7,7.12,6,7.1,8,7.39,4,7.35,4,7.31,2,6.84,7,5.75,7,5.1,7,5.14,13,5.72,12,6.38,10,7.1,-,0.13
Kotak Liquid - Regular Plan,31894.31,7.43,9,8.59,7,7.53,4,7.18,9,7.07,12,7.08,12,7.34,13,7.29,14,7.25,15,6.79,16,5.7,16,5.06,16,5.12,15,5.69,15,6.35,12,6.87,-,0.14
