Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Investment Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,,,,,30,,30,,30,,30,,30,,30,,30,,30,,29,,24,,23,,21,,,,,,30,,30
Peer Average,,,,,,4.9,,8.32,,10.18,,17.13,,28.9,,28.66,,37.03,,29.33,,17.43,,17.15,,13.71,,13.81,,,,,,,,16.83,
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,12683.86,-,-,-,-,0.81,27,1.51,28,2.01,29,4.25,29,6.3,30,6.33,30,8.55,29,7.53,30,6.35,28,5.9,24,6.16,23,6.51,20,-,-,-,-,6.95,-,4.47,29
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,994.54,-,-,-,-,4.72,20,8.7,20,11.92,13,17.29,19,26.17,22,25.95,21,34.12,17,29.01,17,16.06,15,15.35,13,-,-,-,-,-,-,-,-,15.25,-,16.72,18
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,7181.78,-,-,-,-,3.31,23,6.32,23,8.08,22,12.61,25,19.96,25,19.81,25,23.47,25,20.47,24,13.65,24,14.17,20,11.83,18,12.17,16,-,-,-,-,12.87,-,12.36,25
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,3069.78,-,-,-,-,5.96,12,7.31,22,10.65,17,13.8,22,19.23,26,19.61,26,26.2,23,32.09,10,17.7,14,14.53,17,13.43,13,16.2,6,-,-,-,-,19.09,-,13.43,23
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,1701.46,-,-,-,-,6.96,7,11.3,7,12.03,12,19.61,12,30.59,12,30.36,12,35.54,16,29.26,15,-,-,-,-,-,-,-,-,-,-,-,-,18.1,-,18.6,12
Aditya Birla Sun Life Digital India Fund - Direct Plan,4294.58,-,-,-,-,12.03,1,11.88,4,7.19,23,8.7,26,21.08,24,20.99,24,31.84,21,24.19,22,14.56,19,27.35,1,25.97,1,20.35,1,-,-,-,-,22.38,-,6.28,27
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,1366.05,-,-,-,-,5.02,18,8.8,19,11.25,15,20.01,9,39.88,4,39.26,4,53.13,4,42.54,4,25.45,3,24.3,3,16.15,4,14.73,10,-,-,-,-,15.3,-,19.37,10
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,15481.43,-,-,-,-,5.46,14,10.42,10,13.16,9,19.91,10,30.39,14,30.16,13,36.27,15,27,20,14.39,20,14.4,18,12.37,15,14.37,14,-,-,-,-,15.74,-,19.69,9
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,5761.97,-,-,-,-,5.1,17,10.02,11,13.23,8,18.48,13,29.55,17,29.82,15,38.07,12,29.98,13,15.1,17,17.79,12,13.52,12,15.07,8,-,-,-,-,16.84,-,17.82,14
Aditya Birla Sun Life Equity Hybrid '95 Fund - Direct Plan,7515.79,-,-,-,-,4.87,19,9.25,17,10.65,18,16.36,21,25.57,23,25.66,22,30.69,22,23.77,23,14.87,18,14.83,15,11.94,17,13.05,15,-,-,-,-,14.33,-,15.9,22
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,535.67,-,-,-,-,1.26,26,2.59,27,3.39,27,5.82,28,9.21,29,9.15,29,11.75,28,12.7,27,7.87,26,9.47,23,8.13,22,-,-,-,-,-,-,8.83,-,5.82,28
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,666.43,-,-,-,-,8.03,3,14.23,2,14.01,7,18.31,15,28.32,20,28.41,19,33.48,20,26.81,21,15.46,16,-,-,-,-,-,-,-,-,-,-,17.95,-,16.76,17
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,20473.4,-,-,-,-,5.93,13,9.33,14,11.47,14,18.08,16,30.52,13,30.09,14,37.7,13,30.65,12,17.84,13,19.04,9,15.34,6,15.84,7,-,-,-,-,17.89,-,17.6,15
Aditya Birla Sun Life Focused Fund - Direct Plan,7151.96,-,-,-,-,5.39,15,9.4,13,10.35,19,19.74,11,31.64,10,31.3,10,37.36,14,29.02,16,18.69,12,18.02,10,15.21,7,14.7,11,-,-,-,-,16.31,-,18.57,13
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,27274.77,-,-,-,-,5.24,16,9.89,12,10.93,16,17.81,17,29.27,18,28.94,18,33.78,19,28.99,18,19.06,11,17.87,11,14.75,8,14.58,13,-,-,-,-,15.97,-,17.04,16
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan #,267.44,-,-,-,-,4.57,21,8.96,18,5.45,24,17.73,18,29.65,16,29.65,16,24.8,24,17.11,26,6.48,27,14.8,16,12.04,16,5.67,21,-,-,-,-,5.76,-,16.58,19
Aditya Birla Sun Life Gold Fund - Direct Plan,353.76,-,-,-,-,0.28,28,0.82,29,3.45,26,13.61,23,26.23,21,23.37,23,22.68,26,17.24,25,13.97,23,15.05,14,12.87,14,8.81,18,-,-,-,-,6.61,-,13.24,24
Aditya Birla Sun Life India GenNext Fund - Direct Plan,5026.93,-,-,-,-,7.33,5,9.29,15,12.68,10,16.58,20,28.38,19,28.09,20,34.01,18,29.66,14,20.82,8,21.12,7,17.66,3,18.79,2,-,-,-,-,18.79,-,16.37,21
