Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Investment Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,,,,,30,,30,,30,,30,,30,,30,,30,,30,,29,,24,,23,,21,,20,,18,,11,,30,,30
Peer Average,,,,,,4.82,,8.15,,9.92,,16.58,,27.98,,27.74,,35.72,,28.07,,16.27,,16.12,,12.72,,12.85,,14.52,,14.38,,16.31,,,,16.28,
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,7181.78,-,-,-,-,3.21,23,6.1,23,7.76,22,11.96,25,18.92,25,18.76,25,22.06,26,19.05,24,12.28,24,12.84,20,10.53,19,11.05,16,12.17,15,11.06,15,12.74,10,9.92,-,11.69,25
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,7515.79,-,-,-,-,4.8,19,9.11,15,10.44,17,15.92,21,24.85,22,24.92,21,29.67,22,22.81,22,13.97,17,13.94,15,10.97,17,11.98,15,13.94,14,13.28,14,15.87,8,18.66,-,15.45,22
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,27274.77,-,-,-,-,5.18,16,9.77,12,10.74,16,17.42,17,28.63,17,28.28,17,32.89,17,28.12,15,18.26,11,17.09,10,13.9,8,13.66,11,16.09,11,14.76,10,18.36,3,19.66,-,16.64,16
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,5761.97,-,-,-,-,5.03,17,9.87,11,13,8,18,13,28.76,16,29.02,16,36.95,12,28.91,13,14.14,16,16.78,12,12.46,13,14.02,8,16.78,8,14.04,12,16.26,7,17.3,-,17.33,14
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,20473.4,-,-,-,-,5.86,13,9.18,14,11.24,14,17.6,15,29.72,12,29.29,13,36.58,13,29.57,11,16.85,13,18.04,9,14.28,6,14.78,7,17.79,6,15.26,8,18.9,2,21.91,-,17.11,15
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,15481.43,-,-,-,-,5.4,14,10.29,9,12.95,9,19.44,10,29.63,13,29.38,12,35.21,15,26,20,13.48,20,13.45,16,11.35,16,13.36,14,15.78,12,13.66,13,15.66,9,22.06,-,19.21,9
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,5342.47,-,-,-,-,7.23,6,10.27,10,14.9,5,20.19,7,33.78,5,33.82,5,49.84,6,34.66,7,23.6,4,21.63,4,14.65,5,16.15,3,18.21,5,16.62,6,19.62,1,22.02,-,20.5,7
Aditya Birla Sun Life Small Cap Fund - Regular Plan,4762.46,-,-,-,-,10.18,2,12.51,3,17.52,2,21.7,5,32.29,8,32.74,8,48.52,7,38.07,5,20.12,7,21.44,5,13.26,10,16.07,4,18.46,4,17.48,4,-,-,13.59,-,22.04,4
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,3069.78,-,-,-,-,5.88,12,7.13,22,10.39,18,13.25,23,18.38,26,18.75,26,24.98,23,30.82,9,16.56,14,13.36,19,12.25,14,15.06,6,-,-,-,-,-,-,17.91,-,12.89,24
Aditya Birla Sun Life India GenNext Fund - Regular Plan,5026.93,-,-,-,-,7.24,5,9.08,16,12.36,10,15.94,20,27.32,19,27.02,20,32.57,18,28.19,14,19.45,8,19.72,8,16.31,3,17.48,2,19.05,2,18.45,1,-,-,17.37,-,15.71,20
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,1005.6,-,-,-,-,6.26,10,10.98,8,15.77,3,24.78,3,41.48,3,40.99,3,51.31,5,35.73,6,18.38,10,20.34,6,13.61,9,-,-,-,-,-,-,-,-,13.22,-,24.83,3
Aditya Birla Sun Life MNC Fund - Regular Plan,3782.46,-,-,-,-,7.59,4,14.63,1,17.95,1,21.19,6,30.11,11,29.8,11,39.61,11,26.42,19,13.29,21,13.41,17,10.84,18,13.62,12,16.1,10,17.82,3,18.11,4,17.75,-,21.23,6
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,12683.86,-,-,-,-,0.75,27,1.39,28,1.82,29,3.89,29,5.74,30,5.77,30,7.8,29,6.78,30,5.62,28,5.21,24,5.48,23,5.86,20,6.34,18,-,-,-,-,6.28,-,4.1,29
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,994.54,-,-,-,-,4.6,20,8.48,20,11.57,13,16.49,19,24.73,23,24.57,22,32.14,19,27,18,14.17,15,13.38,18,-,-,-,-,-,-,-,-,-,-,13.25,-,15.87,19
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,1701.46,-,-,-,-,6.78,7,11.03,7,11.7,12,18.88,12,29.37,14,29.26,14,33.94,16,27.47,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.39,-,17.93,13
Aditya Birla Sun Life Digital India Fund - Regular Plan,4294.58,-,-,-,-,11.94,1,11.67,4,6.88,23,8.1,26,20.07,24,19.96,24,30.38,21,22.77,23,13.19,22,25.92,1,24.63,1,19.19,1,20.37,1,18.01,2,17.55,5,12.18,-,5.67,27
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,1366.05,-,-,-,-,4.96,18,8.65,19,11.03,15,19.54,9,39.05,4,38.42,4,51.93,3,41.47,4,24.51,3,23.42,3,15.32,4,13.88,9,15.06,13,15.44,7,16.81,6,19.54,-,18.88,10
