Returns as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Equity Schemes,,,,,,,,,
Scheme Name,30 Days,90 Days,180 Days,1 Year,2 Year,3 Year,4 Year,5 Year,10 Year
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,0.68,1.86,3.89,7.2,6.8,5.21,5.46,6.38,7.19
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,0.75,1.82,3.89,7.8,6.78,5.62,5.14,5.21,5.86
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,3.6,9.16,16.18,35.01,24.97,16.23,21.27,17.46,-
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,3.53,8.86,15.57,33.53,23.59,15.04,20.29,16.55,13.24
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,4.6,11.57,16.49,32.14,27,14.17,18.17,13.38,-
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,3.31,8.08,12.61,23.47,20.47,13.65,17.92,14.17,12.17
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,3.21,7.76,11.96,22.06,19.05,12.28,16.51,12.84,11.05
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,5.88,10.39,13.25,24.98,30.82,16.56,26.8,13.36,15.06
Aditya Birla Sun Life BSE Sensex ETF,4.8,8.86,12.85,24.18,24.33,16.4,23.48,16.26,-
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,6.78,11.7,18.88,33.94,27.47,-,-,-,-
Aditya Birla Sun Life Digital India Fund - Regular Plan,11.94,6.88,8.1,30.38,22.77,13.19,31.86,25.92,19.19
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,4.96,11.03,19.54,51.93,41.47,24.51,32.13,23.42,13.88
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,5.4,12.95,19.44,35.21,26,13.48,18.11,13.45,13.36
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,5.03,13,18,36.95,28.91,14.14,24.98,16.78,14.02
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,4.8,10.44,15.92,29.67,22.81,13.97,21.63,13.94,11.98
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,1.26,3.39,5.82,11.75,12.7,7.87,12.02,9.47,-
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,1.24,3.23,5.52,11.08,11.75,6.91,10.97,8.46,-
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,7.9,13.62,17.57,31.85,25.15,13.73,-,-,-
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,4.76,10.69,16.5,34.81,27.12,17.26,22.27,17.31,13.53
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,2.57,5.83,9.57,19.84,16.03,11.19,13.09,11.43,9.26
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,3.69,8.23,12.99,27.22,21.23,14.16,17.58,14.37,11.25
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,5.86,11.24,17.6,36.58,29.57,16.85,26.64,18.04,14.78
Aditya Birla Sun Life Focused Fund - Regular Plan,5.31,10.09,19.17,36.04,27.76,17.57,24.73,16.93,13.57
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,5.18,10.74,17.42,32.89,28.12,18.26,25.8,17.09,13.66
