Return As of 03-Jul-24,Unnamed: 1
,
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,
30 Days,4.6
90 Days,11.57
180 Days,16.49
1 Year,32.14
2 Year,27
3 Year,14.17
4 Year,18.17
5 Year,13.38
10 Year,-
Inception,13.25
,
Aditya Birla Sun Life BSE Sensex ETF,
30 Days,4.8
90 Days,8.86
180 Days,12.85
1 Year,24.18
2 Year,24.33
3 Year,16.4
4 Year,23.48
5 Year,16.26
10 Year,-
Inception,14.02
,
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,
30 Days,6.78
90 Days,11.7
180 Days,18.88
1 Year,33.94
2 Year,27.47
3 Year,-
4 Year,-
5 Year,-
10 Year,-
Inception,16.39
,
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,
30 Days,1.26
90 Days,3.39
180 Days,5.82
1 Year,11.75
2 Year,12.7
3 Year,7.87
4 Year,12.02
5 Year,9.47
10 Year,-
Inception,8.83
,
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,
30 Days,1.24
90 Days,3.23
180 Days,5.52
1 Year,11.08
2 Year,11.75
3 Year,6.91
4 Year,10.97
5 Year,8.46
10 Year,-
Inception,7.73
,
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,
30 Days,7.9
90 Days,13.62
180 Days,17.57
1 Year,31.85
2 Year,25.15
3 Year,13.73
4 Year,-
5 Year,-
10 Year,-
Inception,16.1
,
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,
30 Days,6.26
90 Days,15.77
180 Days,24.78
1 Year,51.31
2 Year,35.73
3 Year,18.38
4 Year,26.35
5 Year,20.34
10 Year,-
Inception,13.22
,
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,
30 Days,2.68
90 Days,10.56
180 Days,18.16
1 Year,38.67
2 Year,-
3 Year,-
4 Year,-
5 Year,-
10 Year,-
Inception,26.6
,
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,
30 Days,3.76
90 Days,9.13
180 Days,14.61
1 Year,25.41
2 Year,-
3 Year,-
4 Year,-
5 Year,-
10 Year,-
Inception,24.36
,
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,
30 Days,6.17
90 Days,13.75
180 Days,21.81
1 Year,41.48
2 Year,31.73
3 Year,20.47
4 Year,-
5 Year,-
10 Year,-
Inception,23.08
,
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,
30 Days,8.78
