Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Index Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Total Funds,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,1,,1,,1,,1,,1,,5,,5
Peer Average,,2.43,,5.58,,9.8,,12.92,,21.34,,39.98,,40.04,,,,51.05,,37.46,,20.73,,15.88,,14.51,,12.45,,13.73,,12.05,,21.38,,1.87,
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,273.84,2.18,4,4.09,4,7.46,5,7.58,5,14.61,4,30.01,4,29.15,4,19.15,-,35.44,4,30.55,4,19.98,2,-,-,-,-,-,-,-,-,-,-,13.9,4,1.86,4
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,841.35,3.3,1,4.52,3,8.51,4,8.67,4,13.36,5,24.93,5,24.23,5,15.77,-,26.55,5,24.69,5,16.21,4,15.88,1,14.51,1,12.45,1,13.73,1,12.05,1,12.23,5,1.75,5
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,196.37,2.32,3,5.91,2,11.37,1,14.57,3,22.76,2,38.88,3,39.23,3,29.57,-,56.92,3,44.11,2,27.05,1,-,-,-,-,-,-,-,-,-,-,23.55,2,1.88,3
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,105.96,1.47,5,2.76,5,10.29,3,15.99,2,34.78,1,59.88,1,60.4,1,26.96,-,64.43,2,39.31,3,-,-,-,-,-,-,-,-,-,-,-,-,35.6,1,1.9,2
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,161.66,2.88,2,10.63,1,11.35,2,17.77,1,21.18,3,46.19,2,47.17,2,25.33,-,71.94,1,48.64,1,19.67,3,-,-,-,-,-,-,-,-,-,-,21.61,3,1.97,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETF Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Total Funds,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,8,,5,,4,,3,,2,,2,,,,10,,10
Peer Average,,2.52,,4.48,,9.01,,10.27,,18.28,,32.4,,31.16,,,,36.59,,25.6,,17.48,,17.45,,14.23,,11.15,,10.72,,,,17.87,,2.18,
Aditya Birla Sun Life BSE Sensex ETF,473.71,3.5,2,4.8,4,8.87,6,8.86,6,12.85,8,23.13,8,22.54,8,14.02,-,24.18,8,24.33,6,16.4,3,16.26,3,13.99,2,-,-,-,-,-,-,11.47,8,1.68,8
Aditya Birla Sun Life Gold ETF,803.88,0.59,9,0.63,8,1.34,10,3.94,10,13.97,6,26.15,6,23.89,7,8.41,-,23.36,9,16.07,8,14.01,5,14.87,4,13.33,3,8.85,2,6.7,2,-,-,13.74,6,1.23,9
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,61.89,0.56,10,0.59,9,8.31,8,14.03,3,30.95,2,54.89,2,55.1,2,41.45,-,69.34,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.72,2,1.81,6
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,42.46,2.49,5,6.43,3,12.38,2,12.02,5,15.38,5,29.93,5,29.52,4,21.93,-,36.07,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.84,5,2.39,3
Aditya Birla Sun Life Nifty 50 ETF,2291.29,3.32,4,4.57,5,8.6,7,8.79,7,13.62,7,25.38,7,24.68,5,13.12,-,27.17,7,25.39,4,16.89,2,16.58,2,15.38,1,13.45,1,14.73,1,-,-,12.5,7,1.76,7
Aditya Birla Sun Life Nifty Bank ETF,2591.3,3.36,3,4.21,6,9.13,5,12.09,4,11.84,9,20.11,9,19.61,9,13.99,-,18.38,10,26.53,3,15.77,4,-,-,-,-,-,-,-,-,-,-,10.48,9,0.47,10
Aditya Birla Sun Life Nifty Healthcare ETF,41.38,1.68,6,6.76,2,5.05,9,4.2,9,16.51,4,31.71,4,31,3,15.93,-,44.41,3,30.06,2,-,-,-,-,-,-,-,-,-,-,-,-,19.69,4,2.11,4
Aditya Birla Sun Life Nifty IT ETF,73.27,6.78,1,14.72,1,14.32,1,7.32,8,9.46,10,19.41,10,19.16,10,4.7,-,28.94,5,17.26,7,-,-,-,-,-,-,-,-,-,-,-,-,6.01,10,5.35,1
Aditya Birla Sun Life Nifty Next 50 ETF,72.72,1.51,7,2.85,7,10.47,4,16.46,1,35.7,1,61.34,1,61.87,1,19.87,-,66.24,2,40.78,1,24.33,1,22.1,1,-,-,-,-,-,-,-,-,36.55,1,1.91,5
Aditya Birla Sun Life Silver ETF,382.71,1.43,8,-0.73,10,11.58,3,14.96,2,22.51,3,31.96,3,24.18,6,16.2,-,27.81,6,24.42,5,-,-,-,-,-,-,-,-,-,-,-,-,21.68,3,3.14,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banking ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Total Funds,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,7,,7,,3,,3,,1,,1,,1,,8,,8
Peer Average,,3.36,,4.21,,9.13,,12.09,,11.85,,20.14,,19.64,,,,18.37,,26.52,,15.76,,11.17,,12.63,,13.34,,14.82,,14.28,,10.49,,0.47,
Aditya Birla Sun Life Nifty Bank ETF,2591.3,3.36,6,4.21,6,9.13,6,12.09,5,11.84,5,20.11,8,19.61,8,13.99,-,18.38,4,26.53,3,15.77,3,-,-,-,-,-,-,-,-,-,-,10.48,5,0.47,4
DSP Nifty Bank ETF,201.73,3.37,2,4.21,3,9.13,4,12.09,4,11.86,3,20.15,3,19.65,3,16.19,-,18.39,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.5,3,0.47,2
HDFC NIFTY Bank ETF,2364.43,3.36,8,4.2,8,9.12,8,12.09,7,11.84,6,20.12,5,19.62,5,25.69,-,18.33,8,26.46,6,15.72,6,-,-,-,-,-,-,-,-,-,-,10.48,6,0.46,8
