Stats Variables as On 30-Jun-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Equity Investment Solutions,,,,,
Scheme,Beta,Stdev,Sharpe,Treynor,Alpha
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,0.53,6.51,0.96,11.69,1.2
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,0.76,9.62,0.83,10.48,0.79
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,0.93,12.15,0.98,12.85,0.6
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,0.99,14.29,0.62,8.87,-4.28
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,0.96,13.03,0.84,11.32,-2.3
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,0.88,12.08,0.64,8.74,-4.39
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,0.92,14.22,1.18,18.17,-1.85
Aditya Birla Sun Life Small Cap Fund - Regular Plan,0.84,15.77,0.9,16.78,-2.94
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,0.91,15.87,0.68,11.84,1.21
Aditya Birla Sun Life India GenNext Fund - Regular Plan,0.75,12.4,1.06,17.55,-1.24
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,0.94,13.5,0.89,12.78,-0.88
Aditya Birla Sun Life MNC Fund - Regular Plan,0.77,12.5,0.62,10.06,-2.81
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,0.95,0.67,0.03,0.02,1.96
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,0.87,12.1,0.67,9.36,-3.78
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,-,-,-,-,-
Aditya Birla Sun Life Digital India Fund - Regular Plan,0.88,18.13,0.45,9.22,3.44
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,0.91,13.83,1.25,19.08,4.88
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,0.74,4.82,0.28,1.8,-1.96
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,1.01,14.72,0.56,8.13,-4.12
Aditya Birla Sun Life Focused Fund - Regular Plan,0.94,12.81,0.89,12.11,-1.51
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,15.53,0.1,-,-
Aditya Birla Sun Life Gold Fund - Regular Plan,0.93,10.48,0.77,8.73,-0.76
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,0.56,15.05,1.47,39.47,3.5
Aditya Birla Sun Life International Equity Fund - Regular Plan,-,13.91,-0.17,-,-
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,0.86,12.13,1.15,16.29,2.21
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,0.94,14.85,0.53,8.42,-0.37
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,0.95,19.37,1.56,31.93,-2.33
Aditya Birla Sun Life Pure Value Fund - Regular Plan,1.03,16.16,1.01,15.85,3.76
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,0.54,3.5,0.87,5.66,0.66
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,1.01,14,0.88,12.22,-1.51
,,,,,
FoFs,,,,,
Scheme,Beta,Stdev,Sharpe,Treynor,Alpha
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,0.96,5.88,-0.64,-3.95,-3.97
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,0.52,7.4,1.19,16.85,3.87
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,0.71,8.97,1.2,15.07,4.02
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,0.3,4.03,1.28,17.06,2.31
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,0.49,6.32,1.25,16,3.24
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,15.53,0.1,-,-
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan,-,17.33,0.4,-,-
Aditya Birla Sun Life Gold Fund - Regular Plan,0.93,10.48,0.77,8.73,-0.76
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,-,-,-,-,-
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,-,-,-,-,-
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,-,-,-,-,-
,,,,,
Equity Index Funds,,,,,
Scheme,Beta,Stdev,Sharpe,Treynor,Alpha
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,1.01,13.4,1.01,13.35,1.16
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,0.99,12.87,0.79,10.23,-1.95
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,1.02,15.01,1.31,19.18,-1.02
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,-,-,-,-,-
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,1.16,21.48,0.7,12.96,-8.45
,,,,,
ETF Funds,,,,,
Scheme,Beta,Stdev,Sharpe,Treynor,Alpha
Aditya Birla Sun Life BSE Sensex ETF,0.97,12.82,0.8,10.53,-1.63
Aditya Birla Sun Life Gold ETF,1,11.06,0.78,8.62,-0.93
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,-,-,-,-,-
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,-,-,-,-,-
Aditya Birla Sun Life Nifty 50 ETF,0.99,12.88,0.83,10.82,-1.37
Aditya Birla Sun Life Nifty Bank ETF,1,15.87,0.64,10.13,-0.37
Aditya Birla Sun Life Nifty Healthcare ETF,-,-,-,-,-
Aditya Birla Sun Life Nifty IT ETF,-,-,-,-,-
Aditya Birla Sun Life Nifty Next 50 ETF,1.12,16.93,1.03,15.56,3.77
Aditya Birla Sun Life Silver ETF,-,-,-,-,-
,,,,,
Balanced Advantage,,,,,
Scheme,Beta,Stdev,Sharpe,Treynor,Alpha
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,0.53,6.51,0.96,11.69,1.2
Axis Balanced Advantage Fund - Regular Plan,0.61,7.69,0.99,12.48,1.87
Bandhan Balanced Advantage Fund - Regular Plan,0.53,7.03,0.63,8.4,-0.54
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,0.72,8.91,1.01,12.5,2.2
DSP Dynamic Asset Allocation Fund - Regular Plan,0.47,6.5,0.64,8.79,-0.3
