Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,10110.55,13.58,5,9.61,5,7.72,2,7.13,5,8.98,2,7.47,3,7.95,7,7.72,4,7.43,5,7.14,5,5.88,3,5.8,4,7.05,6,7.16,6,8.12,1,8.44,-,4.91
Axis Banking & PSU Debt Fund - Direct Plan,13660.32,10.53,8,7.6,10,7.02,9,6.55,10,7.46,11,6.57,11,7.35,11,7.17,11,7.03,11,6.57,11,5.56,9,5.42,8,6.72,8,7.18,5,7.58,7,7.79,-,2.89
Bandhan Banking & PSU Debt Fund - Direct Plan,14279.57,15.5,2,10.01,3,7.03,8,6.9,7,8.31,9,7.09,7,7.51,9,7.33,10,7.1,9,6.85,10,5.64,7,5.55,6,7.08,5,7.36,1,7.55,8,7.76,-,3
DSP Banking & PSU Debt Fund - Direct Plan,2505.18,19.13,1,10.15,2,9.09,1,8.86,1,10.37,1,7.63,1,9.18,1,8.21,1,7.68,2,7.12,6,5.71,6,5.45,7,6.92,7,6.97,9,7.72,5,7.97,-,8.49
HDFC Banking and PSU Debt Fund - Direct Plan,6297.89,10.8,6,8.74,8,7.33,6,6.76,8,8.75,5,7.15,6,7.99,6,7.63,7,7.47,4,7.21,4,5.82,5,5.91,3,7.11,4,7.19,4,7.91,3,7.96,-,4.48
HSBC Banking and PSU Debt Fund - Direct Plan,4731.55,10.56,7,9.71,4,7.48,5,7.34,4,7.8,10,6.96,10,7.45,10,7.37,9,7.08,10,6.92,8,4.91,11,4.93,11,6.47,10,6.6,11,7.28,9,7.48,-,1.86
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,9403.8,14.31,4,9.26,6,6.61,10,6.93,6,8.57,7,7.57,2,8.06,5,7.69,6,7.82,1,7.81,1,6.42,1,6.31,1,7.21,2,7.09,7,8.04,2,8.18,-,5.73
Kotak Banking and PSU Debt Fund - Direct Plan,5967.83,4.44,11,6.74,11,7.03,7,6.23,11,8.76,4,7.2,5,8.1,4,7.91,2,7.65,3,7.46,2,6.04,2,5.96,2,7.16,3,7.35,2,7.88,4,8.16,-,7.88
LIC MF Banking & PSU Fund - Direct Plan,1410.12,7.01,9,9.18,7,7.72,3,7.42,3,8.57,8,7.08,8,8.12,2,7.7,5,7.31,7,6.86,9,5.56,8,5.21,10,6.36,11,6.89,10,7.16,10,7.37,-,3.99
Nippon India Banking & PSU Debt Fund - Direct Plan,5628.09,6.84,10,8.59,9,7.72,4,6.68,9,8.83,3,7.23,4,8.11,3,7.74,3,7.35,6,7.22,3,5.84,4,5.75,5,7.22,1,7.26,3,-,-,7.73,-,5.08
SBI Banking and PSU Fund - Direct Plan,4199.91,14.94,3,10.38,1,6.43,11,7.5,2,8.65,6,7.01,9,7.91,8,7.49,8,7.26,8,6.94,7,5.49,10,5.28,9,6.67,9,7.07,8,7.63,6,7.89,-,8.83
