Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,22042.26,14.64,2,9.07,4,7.27,4,7.07,2,9.47,1,7.88,1,8.56,2,8.06,1,7.85,3,7.62,3,6.11,3,6.09,3,7.32,3,7.4,1,8.02,2,8.2,-,5.54
HDFC Corporate Bond Fund - Direct Plan,28959.05,6.83,10,7.8,7,7.44,3,7.11,1,9.02,3,7.6,3,8.6,1,7.87,4,7.88,1,7.74,2,6.02,4,5.96,4,7.25,4,7.32,3,7.98,3,8.09,-,5.56
ICICI Prudential Corporate Bond Fund - Direct Plan,27285.73,12.98,4,9.16,3,6.8,6,6.82,4,8.37,10,7.65,2,8.01,7,7.68,6,7.86,2,7.9,1,6.38,1,6.25,2,7.37,2,7.35,2,7.94,4,8.19,-,4.61
SBI Corporate Bond Fund - Direct Plan,20025.72,11.75,5,7.72,8,6.92,5,6.49,6,8.62,7,7.28,8,7.9,8,7.54,8,7.35,7,7.04,9,5.7,7,5.45,8,6.91,7,-,-,-,-,7.24,-,4.5
Bandhan Corporate Bond Fund - Direct Plan,13808.94,17.31,1,9.56,2,6.7,7,6.38,8,8.79,6,7.33,6,7.15,10,7.13,10,7.14,9,6.82,10,5.4,10,5.42,9,6.7,10,6.81,6,-,-,7.28,-,3.98
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,12541.1,9.02,8,6.96,10,6.23,9,6.19,9,8.56,8,7.55,4,8.25,4,7.9,3,7.64,5,7.3,6,5.96,5,5.89,5,6.88,8,7.19,5,8.13,1,7.97,-,5.19
HSBC Corporate Bond Fund - Direct Plan,5965.27,7.48,9,9.6,1,7.58,1,6.69,5,8.87,4,6.78,10,8.01,6,7.52,9,7,10,7.42,5,5.52,9,5.3,10,7.13,5,7.32,4,7.78,5,7.59,-,4.55
Axis Corporate Debt Fund - Direct Plan,5282.11,13.07,3,8.05,5,7.54,2,6.87,3,9.04,2,7.53,5,8.3,3,7.96,2,7.72,4,7.53,4,6.18,2,6.3,1,7.67,1,-,-,-,-,7.42,-,5.09
UTI Corporate Bond Fund - Direct Plan,3856.33,10.23,6,7.35,9,5.74,10,5.82,10,8.46,9,7.12,9,7.86,9,7.6,7,7.34,8,7.06,7,5.77,6,5.63,6,7.12,6,-,-,-,-,7.52,-,4.31
Invesco India Corporate Bond Fund - Direct Plan,3528.03,9.5,7,7.87,6,6.64,8,6.39,7,8.83,5,7.33,7,8.09,5,7.78,5,7.45,6,7.06,8,5.58,8,5.51,7,6.86,9,6.34,7,7.41,6,7.35,-,4.66
