Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,927.05,16.64,2,9.12,1,7.21,7,15.73,1,13.57,1,11.1,1,10.05,1,9.2,3,8.74,3,9.62,2,8.04,5,8.64,4,7.69,6,7.49,4,-,-,8.29,-,4.02
Axis Credit Risk Fund - Direct Plan,452.65,12.03,8,7.17,10,7.71,4,7.34,7,8.8,6,8.03,6,8.42,7,8.17,8,7.99,8,7.86,7,6.77,8,7.3,10,7.69,7,7.11,6,-,-,8.15,-,2.38
Bandhan Credit Risk Fund - Direct Plan,346.14,14.92,3,8.15,5,7.76,3,7.7,4,9.28,5,8.21,4,8.29,10,8.08,10,7.54,11,7.23,12,5.94,11,6.12,12,6.7,9,6.81,8,-,-,6.97,-,3.69
Baroda BNP Paribas Credit Risk Fund Direct,149.05,13.44,5,6.73,11,7.01,8,7.44,6,8.61,10,8.04,5,8.56,6,8.38,6,8.27,6,8.24,5,9.9,3,11.26,1,8.48,2,7.74,2,-,-,8.84,-,2.76
DSP Credit Risk Fund - Direct Plan,194.02,13.76,4,8.48,3,7.5,6,6.97,8,8.78,8,8.01,7,8.35,9,19.03,1,16.37,1,11.74,1,10.63,2,9.65,2,8.49,1,6.53,9,7.64,5,7.92,-,2.96
HDFC Credit Risk Debt Fund - Direct Plan,7980.05,12.74,7,7.44,9,6.27,10,6.59,10,8.63,9,6.97,12,8.37,8,8.14,9,7.84,9,7.65,9,6.45,10,7.5,7,7.93,4,7.6,3,8.65,2,8.79,-,3.2
HSBC Credit Risk Fund - Direct Plan,576,13.25,6,8.27,4,7.65,5,6.89,9,8.36,11,7.72,8,7.67,12,7.37,12,7.56,10,7.32,11,6.55,9,7.41,8,5.86,10,5.72,10,7.09,6,7.21,-,3.16
ICICI Prudential Credit Risk Fund - Direct Plan,6912.5,11.8,9,8.83,2,6.48,9,5.54,12,9.66,4,7.67,9,8.6,4,8.97,4,8.57,4,8.07,6,7.12,7,7.65,6,8.23,3,8.09,1,8.73,1,8.86,-,3.08
Kotak Credit Risk Fund - Direct Plan,822.11,22.29,1,7.98,6,6.15,11,7.58,5,9.79,3,7.27,10,9.44,2,9.74,2,9.16,2,7.76,8,5.78,12,6.43,11,6.76,8,6.95,7,8.08,4,8.21,-,3.01
Nippon India Credit Risk Fund - Direct Plan,1028.69,10.96,10,7.83,7,8.47,1,8.07,3,8.79,7,8.24,3,8.59,5,8.35,7,8.42,5,8.31,4,9.25,4,9.28,3,5.58,11,5.51,11,6.93,7,7.32,-,2.15
SBI Credit Risk Fund - Direct Plan,2463.93,10.68,11,7.74,8,8,2,12.98,2,10.86,2,9.31,2,8.87,3,8.4,5,8.16,7,8.48,3,7.14,6,7.34,9,7.76,5,7.4,5,8.36,3,8.63,-,3.92
UTI Credit Risk Fund - Direct Plan,389.99,10.13,12,4.58,12,5.81,12,5.55,11,7.63,12,7.04,11,7.75,11,7.48,11,7.44,12,7.45,10,11.7,1,7.71,5,0.05,12,1.42,12,4.14,8,4.95,-,2.86
