Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
360 ONE Dynamic Bond Fund - Direct Plan,734.01,20.1,8,6.88,5,5.16,8,6.1,8,10.06,9,7.19,12,9.86,6,9.13,5,8.19,7,7.55,10,6.38,7,6.58,5,6.93,9,6.82,7,7.61,10,7.24,-,6.46
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,1698.57,27.26,4,7.34,3,5.2,7,5.89,9,13.01,5,9.44,5,9.69,9,8.94,7,8.04,9,9.35,1,7.22,2,7.18,2,6.19,12,5.68,12,7.43,11,7.63,-,13.84
Axis Dynamic Bond Fund - Direct Plan,1702.66,18.04,10,6.42,6,6.7,3,7.44,6,10.2,7,7.31,11,9.03,10,7.91,11,7.3,11,7.91,9,5.56,11,5.54,10,7.23,8,7.26,5,8.49,5,8.47,-,9.25
Bandhan Dynamic Bond Fund - Direct Plan,2366.01,33.74,1,2.61,12,5.34,6,12.28,1,20.09,1,12.59,1,15.11,1,12.56,1,10.17,1,8.77,3,6.24,8,5.66,9,7.53,5,7.37,3,8.72,2,8.57,-,29.06
DSP Strategic Bond Fund - Direct Plan,1015.21,29.73,2,5.39,9,6.76,2,10.94,2,17.03,2,11.34,2,13.18,2,10.73,2,9.39,3,8.59,6,6.66,5,5.86,8,8.04,3,7.22,6,8.15,6,8.2,-,31.36
HDFC Dynamic Debt Fund - Direct Plan,679.4,26.7,5,6,7,4.83,9,6.64,7,12.67,6,9.25,6,9.79,7,9.12,6,8.46,4,8.23,7,5.88,9,6.97,3,7.57,4,6.06,11,7.64,9,7.77,-,13.98
ICICI Prudential All Seasons Bond Fund - Direct Plan,12570.68,18.77,9,7.09,4,6.26,4,5.38,11,10.13,8,8.55,7,8.53,11,8.61,9,8.26,6,8.78,2,6.9,3,6.93,4,8.15,2,7.78,2,9.31,1,9.71,-,8.15
Kotak Dynamic Bond Fund - Direct Plan,2517.92,29.52,3,5.88,8,4.58,10,8.44,3,14.91,3,9.54,4,11.31,3,10.54,3,9.41,2,8.59,5,6.51,6,6.29,6,7.51,6,7.83,1,8.68,3,8.8,-,22.02
Mirae Asset Dynamic Bond Fund - Direct Plan,152.53,12.8,11,7.68,1,8.19,1,7.83,4,8.65,12,7.4,10,7.95,12,7.64,12,7.14,12,7.33,12,5.11,12,4.72,12,6.53,10,6.77,8,-,-,6.9,-,2.66
Nippon India Dynamic Bond Fund - Direct Plan,4606.22,-40.08,12,4.07,11,3.84,11,5.79,10,10.01,11,7.97,9,9.74,8,7.97,10,7.33,10,8.13,8,5.69,10,5.31,11,6.5,11,6.32,9,7.76,8,7.76,-,6.03
SBI Dynamic Bond Fund - Direct Plan,3093.78,26.56,6,7.58,2,5.48,5,7.77,5,13.95,4,9.99,3,10.76,4,9.58,4,8.42,5,8.68,4,6.72,4,5.98,7,7.49,7,7.37,4,8.64,4,8.28,-,16.9
UTI Dynamic Bond Fund - Direct Plan,581.37,22.34,7,5.08,10,3.16,12,2.74,12,10.03,10,8.06,8,9.9,5,8.67,8,8.05,8,7.4,11,11.2,1,9.05,1,8.64,1,6.17,10,7.81,7,8.11,-,9.42
