Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,12802.24,9.05,10,9.66,4,8.51,2,8.03,3,7.84,3,7.55,5,8.13,2,7.77,2,7.9,3,7.53,4,6.33,2,6.02,5,6.77,3,7.06,2,7.69,2,7.97,-,2.12
Axis Treasury Advantage Fund - Direct Plan,5468.05,9.94,5,9.13,12,8.16,5,7.75,6,7.66,6,7.56,4,7.92,6,7.64,5,7.57,6,7.24,6,6.06,8,5.76,7,6.45,7,6.88,5,7.39,5,7.69,-,1.13
Bandhan Low Duration Fund - Direct Plan,5064.23,9.77,8,9.5,8,7.71,12,7.46,12,7.48,12,7.19,12,7.5,13,7.41,11,7.29,13,6.98,11,5.74,13,5.37,12,6.07,12,6.48,10,7.15,8,7.48,-,1.01
DSP Low Duration Fund - Direct Plan,4315.8,9.82,7,9.67,3,8.04,8,7.73,7,7.61,8,7.4,9,7.72,10,7.45,10,7.37,10,7.02,10,5.85,11,5.48,10,6.38,8,6.6,9,-,-,7.11,-,1.02
HDFC Low Duration Fund - Direct Plan,17516.3,9.66,9,10.02,1,8.39,3,8.1,2,7.78,5,7.72,3,8.02,5,7.65,4,7.84,4,7.57,2,6.24,4,6.21,2,6.75,4,6.95,3,7.48,4,7.69,-,2.06
ICICI Prudential Savings Fund - Direct Plan,19172.2,10.81,2,9.39,9,8.02,9,7.89,5,7.6,9,7.52,6,8.08,3,7.63,6,7.91,2,7.91,1,6.17,6,6.03,4,6.68,6,6.94,4,7.52,3,7.81,-,2.18
Invesco India Low Duration Fund - Direct Plan,1261.74,8.75,12,8.63,13,7.88,10,7.58,11,7.57,10,7.28,11,7.59,11,7.38,12,7.36,11,6.93,13,5.76,12,5.46,11,6.21,11,6.62,7,7.2,7,7.49,-,0.98
Kotak Low Duration Fund - Standard Plan - Direct Plan,9154.4,11,1,9.55,6,8.54,1,8.12,1,7.84,2,7.73,2,8.05,4,7.68,3,7.71,5,7.49,5,6.17,5,5.99,6,6.83,2,7.16,1,7.93,1,7.94,-,2.08
Nippon India Low Duration Fund - Direct Plan,5789.66,9.02,11,9.53,7,8.1,6,7.69,10,7.53,11,7.42,8,7.79,9,7.59,8,7.54,8,7.2,7,6.17,7,6.1,3,6.75,5,6.75,6,7.32,6,7.64,-,1.15
SBI Floating Rate Debt Fund - Direct Plan,1146.59,10.61,3,9.57,5,7.49,13,7.7,9,8.96,1,8.11,1,8.55,1,7.86,1,8.46,1,7.54,3,6.27,3,-,-,-,-,-,-,-,-,5.98,-,3.87
SBI Magnum Low Duration Fund - Direct Plan,9681.07,8.32,13,9.27,11,8.33,4,7.92,4,7.78,4,7.5,7,7.82,8,7.62,7,7.55,7,7.19,8,5.96,9,5.58,9,6.27,9,6.62,8,7.15,9,7.42,-,1.61
Tata Treasury Advantage Fund - Direct Plan,2319.17,9.9,6,9.75,2,8.07,7,7.72,8,7.62,7,7.35,10,7.84,7,7.56,9,7.47,9,7.02,9,5.87,10,5.6,8,6.24,10,5.77,11,6.61,10,6.98,-,0.95
UTI Low Duration Fund - Direct Plan,2455.66,10.19,4,9.37,10,7.86,11,7.43,13,7.33,13,7.12,13,7.55,12,7.38,13,7.32,12,6.98,12,7.62,1,6.83,1,7.27,1,5.46,12,6.46,11,6.87,-,0.96
