Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Government Securities Fund - Direct Plan,1777.83,28.12,7,5.07,11,3.49,12,7.35,4,14.61,4,10.02,8,11.59,4,10.53,4,8.9,5,8.4,7,6.24,7,5.78,7,7.32,7,7.26,7,9.11,3,8.92,-,19.64
SBI Magnum Gilt Fund - Direct Plan,8756.76,30.71,4,6,5,3.7,11,6.49,7,13.86,8,10.3,5,10.74,7,9.8,8,8.46,8,8.71,5,6.78,2,6.17,2,7.72,4,7.49,4,9.35,2,9.29,-,16.26
ICICI Prudential Gilt Fund - Direct Plan,6289.29,19.8,13,5.64,9,4.26,10,3.67,12,10.16,12,8.13,12,8.43,13,8.15,13,8.35,9,9.09,2,6.85,1,6.24,1,7.92,2,7.44,5,9.11,4,8.63,-,10.6
Kotak Gilt Investment - Direct Plan,3422.09,32.87,2,5.49,10,5.3,3,9.85,3,16.1,3,11.19,3,10.62,8,10.06,7,9.04,4,9.15,1,6.7,4,6.13,4,7.65,5,7.42,6,8.9,6,8.41,-,28.72
HDFC Gilt Fund - Direct Plan,2418.16,26.42,10,6.18,3,4.89,7,6.27,8,12.86,9,9.76,9,9.46,12,9.01,10,8.09,11,7.87,11,5.67,13,5.09,12,6.34,12,6.04,13,7.91,12,7.62,-,12.92
Bandhan Government Securities Fund - Investment Plan - Direct Plan,2190.88,34.07,1,2.98,13,5.67,2,12.63,1,20.41,1,12.93,1,15.57,1,12.93,1,10.48,1,8.99,3,6.43,5,5.79,6,7.77,3,7.79,2,9.09,5,9.01,-,28.95
Nippon India Gilt Securities Fund - Direct Plan,1864.74,30.29,6,6.73,2,5.08,5,6.13,9,13.96,7,10.02,7,11.19,5,10.1,6,8.48,7,8.63,6,6.19,8,5.45,8,7.17,8,7.57,3,9.43,1,9.19,-,14.64
Baroda BNP Paribas Gilt Fund - Direct Plan,1626.13,22.12,12,5.78,7,5.08,6,5,11,11.2,10,8.55,10,10.39,10,8.94,11,7.62,13,8.17,10,5.78,11,5.15,11,6.26,13,6.41,11,7.8,13,7.76,-,9.47
DSP Gilt Fund - Direct Plan,1012.28,31.95,3,3.44,12,5.97,1,11.03,2,17.41,2,11.43,2,13.62,2,11.52,2,9.59,2,8.86,4,6.7,3,6.15,3,7.96,1,7.83,1,8.87,7,8.3,-,34.42
Tata Gilt Securities Fund - Direct Plan,727.56,27.97,8,7.17,1,4.75,8,5.28,10,9.72,13,7.86,13,10.41,9,9.34,9,8.17,10,8.3,8,6.27,6,5.22,10,6.36,11,6.31,12,8,11,8.05,-,7.33
UTI Gilt Fund - Direct Plan,621.38,26.26,11,6.15,4,2.97,13,2.11,13,11.08,11,8.44,11,10.11,11,8.78,12,7.91,12,7.75,13,5.69,12,4.89,13,6.44,10,6.54,10,8.47,9,8.32,-,12.4
Axis Gilt Fund - Direct Plan,353.85,27.65,9,5.69,8,5.12,4,6.74,6,14.09,5,10.58,4,11.64,3,10.7,3,9.1,3,8.25,9,6.16,9,5.94,5,7.56,6,7.17,8,8.23,10,7.65,-,16.47
HSBC Gilt Fund - Direct Plan,199.45,30.55,5,5.98,6,4.49,9,6.87,5,14.02,6,10.14,6,11.08,6,10.25,5,8.65,6,7.84,12,5.88,10,5.28,9,6.67,9,6.74,9,8.5,8,8.76,-,11.41
