Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Low Duration Fund - Direct Plan,12133.88,10.37,3,9.71,3,8.47,2,8.01,3,7.87,1,7.57,3,7.92,5,7.74,1,7.72,3,7.43,4,6.31,2,6.13,3,6.85,2,7.16,1,7.71,2,7.99,-,1.3
ICICI Prudential Savings Fund - Direct Plan,19172.2,10.81,2,9.39,8,8.02,9,7.89,5,7.6,8,7.52,5,8.08,1,7.63,5,7.91,1,7.91,1,6.17,5,6.03,5,6.68,6,6.94,4,7.52,3,7.81,-,2.18
HDFC Low Duration Fund - Direct Plan,17516.3,9.66,9,10.02,1,8.39,3,8.1,2,7.78,4,7.72,2,8.02,3,7.65,3,7.84,2,7.57,2,6.24,3,6.21,2,6.75,4,6.95,3,7.48,4,7.69,-,2.06
SBI Magnum Low Duration Fund - Direct Plan,9681.07,8.32,11,9.27,10,8.33,4,7.92,4,7.78,3,7.5,6,7.82,7,7.62,6,7.55,6,7.19,7,5.96,8,5.58,9,6.27,9,6.62,7,7.15,8,7.42,-,1.61
Kotak Low Duration Fund - Standard Plan - Direct Plan,9154.4,11,1,9.55,5,8.54,1,8.12,1,7.84,2,7.73,1,8.05,2,7.68,2,7.71,4,7.49,3,6.17,4,5.99,6,6.83,3,7.16,2,7.93,1,7.94,-,2.08
Nippon India Low Duration Fund - Direct Plan,5789.66,9.02,10,9.53,6,8.1,6,7.69,9,7.53,9,7.42,7,7.79,8,7.59,7,7.54,7,7.2,6,6.17,6,6.1,4,6.75,5,6.75,6,7.32,6,7.64,-,1.15
Axis Treasury Advantage Fund - Direct Plan,5468.05,9.94,5,9.13,11,8.16,5,7.75,6,7.66,5,7.56,4,7.92,4,7.64,4,7.57,5,7.24,5,6.06,7,5.76,7,6.45,7,6.88,5,7.39,5,7.69,-,1.13
Bandhan Low Duration Fund - Direct Plan,5064.23,9.77,8,9.5,7,7.71,11,7.46,10,7.48,10,7.19,10,7.5,11,7.41,10,7.29,11,6.98,10,5.74,11,5.37,11,6.07,11,6.48,9,7.15,7,7.48,-,1.01
DSP Low Duration Fund - Direct Plan,4315.8,9.82,7,9.67,4,8.04,8,7.73,7,7.61,7,7.4,8,7.72,9,7.45,9,7.37,9,7.02,9,5.85,10,5.48,10,6.38,8,6.6,8,-,-,7.11,-,1.02
UTI Low Duration Fund - Direct Plan,2455.66,10.19,4,9.37,9,7.86,10,7.43,11,7.33,11,7.12,11,7.55,10,7.38,11,7.32,10,6.98,11,7.62,1,6.83,1,7.27,1,5.46,11,6.46,10,6.87,-,0.96
Tata Treasury Advantage Fund - Direct Plan,2319.17,9.9,6,9.75,2,8.07,7,7.72,8,7.62,6,7.35,9,7.84,6,7.56,8,7.47,8,7.02,8,5.87,9,5.6,8,6.24,10,5.77,10,6.61,9,6.98,-,0.95
