Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Medium Term Plan - Direct Plan,1859.15,24.85,2,8.75,3,7.09,3,12.39,1,12.39,1,9.96,1,9.61,2,8.82,3,8.13,3,16.16,1,13.44,1,12.74,1,9.54,1,8.35,1,9.08,1,9.42,-,5.23
Axis Strategic Bond Fund - Direct Plan,1931.97,15.25,7,6.89,8,8.07,1,7.25,2,10.22,2,8.62,2,9.45,3,9.01,2,8.28,2,8.18,2,6.83,2,7.17,3,7.94,3,7.59,3,8.69,3,8.59,-,5.64
Bandhan Bond Fund Medium Term Plan - Direct Plan,1557.45,22.35,3,9.06,2,6.14,8,6.17,9,8.93,8,7.2,8,7.74,8,8.23,5,7.18,9,7.08,9,5.11,9,4.9,9,6.39,9,6.62,8,7.52,7,7.57,-,5.01
DSP Bond Fund - Direct Plan,356.2,17.25,4,9.62,1,6.78,5,6.68,4,8.2,9,6.69,9,7.74,9,7.78,9,7.31,8,7.33,8,5.6,8,5.37,8,6.47,8,5.56,9,7,8,6.93,-,4.02
HDFC Medium Term Debt Fund - Direct Plan,4173.35,16.08,6,7.89,7,6.53,7,6.59,6,9.63,5,7.81,6,8.53,5,8.09,7,7.7,6,7.79,7,6.19,7,6.79,6,7.37,7,7.33,5,8.04,6,8.15,-,5.32
HSBC Medium Duration Fund - Direct Plan,809.4,14.18,9,8.17,6,7.04,4,6.6,5,9.9,4,8.5,3,9.13,4,8.53,4,8.03,4,7.99,3,6.29,5,7.05,4,7.38,6,6.87,7,-,-,7.83,-,5.23
ICICI Prudential Medium Term Bond Fund - Direct Plan,6214.24,16.86,5,8.25,5,7.44,2,6.26,8,9.11,7,8.02,4,8.34,7,8.19,6,7.78,5,7.92,5,6.61,4,7.24,2,7.97,2,7.53,4,8.39,4,8.46,-,5.15
Kotak Medium Term Fund - Direct Plan,1744.99,26.47,1,8.3,4,5.41,9,6.55,7,10.01,3,7.39,7,9.92,1,9.84,1,8.99,1,7.96,4,6.67,3,6.98,5,7.43,5,7.02,6,8.21,5,8.38,-,5.9
SBI Magnum Medium Duration Fund - Direct Plan,6102.24,15,8,6.89,9,6.75,6,6.92,3,9.27,6,7.85,5,8.39,6,7.94,8,7.6,7,7.82,6,6.2,6,6.43,7,7.78,4,7.76,2,8.91,2,8.98,-,5
