Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Money Manager Fund - Direct Plan,23737.6,10.96,2,10.75,4,8.75,2,7.95,4,7.62,4,7.52,4,7.98,2,7.8,2,7.74,2,7.36,2,6.19,3,5.73,2,6.23,2,6.7,1,7.11,2,7.41,-,0.66
Axis Money Market Fund - Direct Plan,8369.16,9.74,12,10.64,5,8.78,1,7.99,2,7.69,2,7.53,2,7.95,4,7.76,4,7.69,4,7.3,4,6.15,4,5.66,4,-,-,-,-,-,-,6.1,-,0.68
Bandhan Money Manager Fund - Direct Plan,5068.9,10.56,7,10.51,9,8.65,6,7.8,10,7.51,10,7.43,10,7.83,10,7.63,10,7.58,10,7.18,10,5.99,10,5.43,10,5.81,10,6.13,10,6.87,9,7.19,-,0.67
DSP Savings Fund - Direct Plan,4605.33,9.92,10,10.3,12,8.49,12,7.68,12,7.43,12,7.35,11,7.71,11,7.58,11,7.49,11,7.17,11,5.83,11,5.35,11,5.84,9,6.28,8,6.58,10,6.98,-,0.74
HDFC Money Market Fund - Direct Plan,22479.76,10.76,5,10.46,11,8.56,11,7.83,9,7.57,8,7.48,7,7.88,6,7.69,7,7.63,7,7.27,6,6.13,6,5.65,6,6.2,3,6.6,2,7.01,3,7.31,-,0.63
ICICI Prudential Money Market Fund - Direct Plan,22485.24,11.28,1,10.61,7,8.61,9,7.88,7,7.58,6,7.46,9,7.86,8,7.68,8,7.62,8,7.26,7,6.08,9,5.59,8,6.05,6,6.51,6,6.96,6,7.26,-,0.68
Invesco India Money Market Fund - Direct Plan,4008.03,9.84,11,10.8,2,8.61,10,7.76,11,7.43,11,7.32,12,7.63,12,7.5,12,7.41,12,7.1,12,5.8,12,5.34,12,5.75,11,6.28,9,6.92,7,7.3,-,0.73
Kotak Money Market Fund - Direct Plan,20244.6,10.6,6,10.59,8,8.62,8,7.85,8,7.57,9,7.46,8,7.92,5,7.73,5,7.66,6,7.23,9,6.12,7,5.58,9,5.95,8,6.44,7,6.91,8,7.23,-,0.62
Nippon India Money Market Fund - Direct Plan,16562.01,10.88,4,10.87,1,8.74,3,7.97,3,7.61,5,7.5,6,7.97,3,7.78,3,7.71,3,7.32,3,6.2,2,5.69,3,6.09,5,6.59,3,7.01,4,7.31,-,0.62
SBI Savings Fund - Direct Plan,24347.58,10,9,10.76,3,8.7,5,7.92,5,7.63,3,7.53,3,7.86,7,7.68,9,7.62,9,7.24,8,6.09,8,5.63,7,6.1,4,6.55,4,7.22,1,7.54,-,0.6
Tata Money Market Fund - Direct Plan,18756.93,10.89,3,10.63,6,8.74,4,8,1,7.69,1,7.58,1,8.08,1,7.91,1,7.84,1,7.44,1,6.28,1,5.83,1,6.24,1,5.55,11,6.27,11,6.66,-,0.64
UTI Money Market Fund Institutional - Direct Plan,14121.21,10.23,8,10.51,10,8.63,7,7.91,6,7.58,7,7.52,5,7.85,9,7.69,6,7.66,5,7.28,5,6.15,5,5.66,5,6.05,7,6.55,5,6.99,5,7.29,-,0.62
