Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,28.56,73.36,4,25.63,5,21.9,5,16.58,8,19.35,8,16.62,6,13.7,8,13.91,7,13.72,7,12.2,8,7.75,8,6.76,7,7.35,6,-,-,-,-,7.46,-,3.61
Axis Retirement Savings Fund - Conservative Plan - Direct Plan,74.3,84.34,2,33.92,4,20.27,7,27.87,3,24.09,5,16.01,7,19.32,2,21.8,2,19.21,2,14.46,3,9.58,4,12.12,2,-,-,-,-,-,-,11.38,-,13.01
HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,157.28,78.18,3,24.45,6,21.77,6,22.03,5,20.13,6,17.14,4,16.05,5,15.87,6,14.38,6,13.59,5,9.85,3,11.34,4,10.08,3,9.08,2,-,-,10.33,-,8.85
ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,56.96,39.6,8,34,3,26.23,3,19.39,7,19.59,7,15.75,8,15.65,6,18.9,3,18.66,3,15.33,2,10.55,2,11.51,3,10.63,2,-,-,-,-,10.85,-,7.34
Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,161.7,61.45,7,23.64,7,26.14,4,25.24,4,27.85,2,18.53,3,18.92,3,17.04,5,14.65,5,14.29,4,9.27,6,9.21,6,8.47,5,8.11,4,-,-,8.51,-,18.51
SBI Retirement Benefit Fund - Conservative Plan - Direct Plan,171.25,67.66,5,19.17,8,18.97,8,20.75,6,24.14,4,16.68,5,14.54,7,13.82,8,12.73,8,12.61,7,9.45,5,-,-,-,-,-,-,-,-,9.66,-,19.99
Tata Retirement Savings Fund - Conservative Plan - Direct Plan,167.07,66.1,6,40.41,2,26.28,2,28.06,2,27.39,3,22.22,2,16.62,4,17.06,4,16.35,4,13.53,6,9.03,7,10.26,5,9.6,4,8.85,3,10.1,2,10.42,-,4.3
UTI Children's Equity Fund-Direct Plan,1010.49,279.66,1,64.13,1,60.38,1,90.3,1,69.45,1,58.17,1,34.76,1,38.96,1,35.04,1,27.69,1,16.93,1,26.2,1,19.31,1,15.33,1,14.69,1,15.27,-,-
