Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,22042.26,14.64,3,9.07,3,7.27,3,7.07,2,9.47,1,7.88,2,8.56,2,8.06,1,7.85,3,7.62,3,6.11,3,6.09,3,7.32,4,7.4,1,8.02,2,8.2,-,5.54
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,16.91,9.9,7,6.61,9,6.18,9,6.29,7,8,9,6.83,9,7.17,8,7.22,8,6.61,9,6.56,9,4.96,9,4.64,9,5.32,9,-,-,-,-,5.48,-,3.18
Axis Corporate Debt Fund - Direct Plan,5282.11,13.07,4,8.05,5,7.54,1,6.87,3,9.04,2,7.53,6,8.3,3,7.96,2,7.72,4,7.53,4,6.18,2,6.3,1,7.67,1,-,-,-,-,7.42,-,5.09
Bandhan Corporate Bond Fund - Direct Plan,13808.94,17.31,2,9.56,1,6.7,7,6.38,6,8.79,4,7.33,7,7.15,9,7.13,9,7.14,8,6.82,8,5.4,8,5.42,8,6.7,8,6.81,5,-,-,7.28,-,3.98
HDFC Corporate Bond Fund - Direct Plan,28959.05,6.83,9,7.8,6,7.44,2,7.11,1,9.02,3,7.6,4,8.6,1,7.87,4,7.88,1,7.74,2,6.02,4,5.96,5,7.25,5,7.32,3,7.98,3,8.09,-,5.56
ICICI Prudential Corporate Bond Fund - Direct Plan,27285.73,12.98,5,9.16,2,6.8,6,6.82,4,8.37,7,7.65,3,8.01,6,7.68,5,7.86,2,7.9,1,6.38,1,6.25,2,7.37,3,7.35,2,7.94,4,8.19,-,4.61
ICICI Prudential Retirement Fund - Pure Debt Plan - Direct Plan,123.71,19.19,1,8.51,4,6.87,5,5.79,9,8.17,8,7.99,1,8.19,5,7.6,6,7.64,6,7.35,5,5.84,6,6.04,4,7.45,2,-,-,-,-,7.91,-,7.69
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,12541.1,9.02,8,6.96,8,6.23,8,6.19,8,8.56,6,7.55,5,8.25,4,7.9,3,7.64,5,7.3,6,5.96,5,5.89,6,6.88,7,7.19,4,8.13,1,7.97,-,5.19
SBI Corporate Bond Fund - Direct Plan,20025.72,11.75,6,7.72,7,6.92,4,6.49,5,8.62,5,7.28,8,7.9,7,7.54,7,7.35,7,7.04,7,5.7,7,5.45,7,6.91,6,-,-,-,-,7.24,-,4.5
