Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Short Term Fund - Direct Plan,7497.01,13.8,5,8.58,4,7.42,2,7.06,6,8.98,2,7.86,2,8.31,1,8.11,3,7.79,2,7.72,2,6.43,3,6.7,3,7.49,3,7.47,2,8.22,2,8.61,-,4.11
Axis Short Term Fund - Direct Plan,8006.89,14.82,4,8.68,3,7.53,1,6.96,8,8.52,8,7.59,6,8.2,5,8.02,5,7.58,7,7.42,7,6.13,5,6.02,6,7.26,6,7.34,3,7.99,3,8.13,-,3.71
Bandhan Bond Fund Short Term Plan - Direct Plan,8759.17,22.24,1,10.71,1,7.19,4,7.55,1,9.19,1,7.74,3,7.95,9,8.23,1,7.57,8,7.27,8,5.67,10,5.48,10,6.77,10,6.96,7,7.59,8,7.8,-,3.42
DSP Short Term Fund - Direct Plan,2972.58,13.23,6,7.84,11,6.54,11,7.19,4,8.44,11,7.25,11,7.77,11,7.56,12,7.25,12,7.01,11,5.63,11,5.47,11,6.67,11,6.79,9,7.57,9,7.78,-,3.47
HDFC Short Term Debt Fund - Direct Plan,13055.75,9.89,9,8.21,9,6.96,7,7,7,8.68,3,7.69,4,8.2,4,7.93,7,7.73,3,7.53,3,6.08,6,6.15,5,7.3,4,7.33,4,7.85,6,8.03,-,4.06
HSBC Short Duration Fund - Direct Plan,3833.84,15.77,2,9.98,2,7.17,5,7.28,3,8.62,4,7.27,10,7.54,12,7.64,10,7.27,11,6.92,12,5.42,12,5.26,12,6.51,12,6.72,10,7.42,10,7.63,-,3.33
ICICI Prudential Short Term Fund - Direct Plan,18252.31,15.43,3,8.58,5,7.03,6,7.11,5,8.56,6,7.87,1,8.2,3,8.14,2,8.08,1,8.27,1,6.75,2,6.73,2,7.8,2,7.66,1,8.41,1,8.52,-,5.01
Kotak Bond - Short Term Fund - Direct Plan,14949.4,10.64,8,7.85,10,6.78,9,6.92,9,8.48,9,7.64,5,8.22,2,7.91,9,7.71,4,7.44,6,5.96,7,5.86,7,7.06,7,7.21,5,7.89,4,8,-,5
Nippon India Short Term Fund - Direct Plan,5511.4,9.34,10,8.4,8,7.38,3,7.4,2,8.45,10,7.32,9,8.02,7,7.97,6,7.61,6,7.44,5,6.13,4,6.25,4,7.27,5,7.15,6,7.88,5,8.07,-,3.47
SBI Short Term Debt Fund - Direct Plan,12785.19,12.62,7,8.52,7,6.8,8,6.6,11,8.54,7,7.46,8,7.85,10,7.59,11,7.41,10,7.13,10,5.82,9,5.54,9,6.79,9,6.88,8,7.61,7,7.77,-,3.71
Tata Short Term Bond Fund - Direct Plan,2210.08,8.71,11,8.56,6,6.78,10,6.72,10,8.59,5,7.51,7,8.03,6,7.93,8,7.43,9,7.24,9,5.87,8,5.63,8,6.89,8,6.1,11,7.11,11,7.5,-,3.39
UTI Short Duration Fund - Direct Plan,2673.12,1.65,12,4.06,12,4.77,12,5.37,12,7.34,12,6.5,12,8.01,8,8.02,4,7.65,5,7.5,4,7.76,1,7.2,1,8.26,1,5.89,12,7,12,7.36,-,3.2
