Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Savings Fund - Direct Plan,13579.62,9.69,5,10.09,1,8.44,1,7.72,3,7.55,2,7.54,2,7.96,1,7.72,3,7.71,1,7.22,2,6.15,3,5.83,2,6.34,2,6.76,1,7.42,1,7.73,-,0.55
Axis Ultra Short Term Fund - Direct Plan,5152.32,11.34,1,9.63,4,8.43,2,7.85,1,7.62,1,7.58,1,7.89,2,7.73,2,7.67,2,7.28,1,6.18,2,5.81,3,6.19,3,-,-,-,-,6.58,-,0.53
Bandhan Ultra Short Term Fund - Direct Plan,3889.69,9.18,7,9.12,8,7.61,8,7.45,8,7.34,8,7.3,8,7.62,8,7.46,8,7.41,8,6.99,8,5.82,8,5.27,8,5.75,8,-,-,-,-,6.2,-,0.49
DSP Ultra Short Fund - Direct Plan,2684.08,10.18,3,9.86,2,8.17,7,7.75,2,7.5,5,7.4,6,7.7,6,7.78,1,7.67,3,7.15,3,6,4,5.45,6,5.82,7,6.06,5,6.71,5,7.09,-,0.48
HDFC Ultra Short Term Fund - Direct Plan,14314.83,10.16,4,9.45,6,8.17,6,7.7,4,7.5,4,7.52,3,7.8,3,7.59,5,7.54,5,7.12,4,6,6,5.62,4,6.09,4,-,-,-,-,6.48,-,0.49
Kotak Savings Fund - Direct Plan,12840.69,10.33,2,9.57,5,8.33,3,7.68,5,7.51,3,7.43,5,7.75,5,7.49,7,7.48,6,7.1,6,6,5,5.51,5,6,5,6.48,2,7.13,2,7.43,-,0.74
SBI Magnum Ultra Short Duration Fund - Direct Plan,10548.21,9.59,6,9.42,7,8.18,5,7.61,7,7.41,7,7.36,7,7.64,7,7.51,6,7.45,7,7.01,7,5.85,7,5.37,7,5.85,6,6.4,3,6.87,4,7.19,-,0.49
UTI Ultra Short Duration Fund - Direct,2514.62,8.82,8,9.67,3,8.18,4,7.67,6,7.43,6,7.48,4,7.76,4,7.6,4,7.56,4,7.11,5,6.95,1,6.32,1,6.47,1,6.2,4,7.04,3,7.44,-,0.47
