Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,7515.79,1.22,11,2.17,11,4.8,5,9.11,3,10.44,5,15.92,5,24.85,5,24.92,5,29.67,8,22.81,10,13.97,14,13.94,13,10.97,13,11.98,11,13.94,11,13.28,8,15.87,5,18.66,-,15.45,5
Axis Equity Hybrid Fund - Regular Plan,1575.04,1.36,7,2.59,6,5.26,2,8.5,6,9.72,6,13.44,14,20.26,14,20.33,14,22.31,15,18.56,15,11.25,15,13.04,14,-,-,-,-,-,-,-,-,-,-,11.89,-,12.65,14
Canara Robeco Equity Hybrid Fund - Regular Plan,10152.64,1.7,4,2.25,10,3.74,10,7.68,8,9.06,7,14.26,11,24.14,8,24.07,8,27.49,10,23.22,9,14.48,11,15.98,5,13.85,3,13.7,3,14.86,5,14.49,3,16.81,2,12.9,-,13.76,11
DSP Equity & Bond Fund,9131.81,1.77,3,2.78,2,6.73,1,9.61,2,12.49,3,14.78,8,23.81,9,23.81,9,30.64,6,26.22,5,14.62,10,16.36,4,13.42,5,14.06,2,14.62,7,13.62,5,15.8,6,14.96,-,14.27,8
Franklin India Equity Hybrid Fund,1806.96,0.73,15,1.91,14,2.97,14,6.86,13,8.28,11,15.04,6,24.77,7,24.73,6,32.24,5,25.9,7,15.84,6,15.96,6,13.19,8,13.55,5,14.74,6,13.29,7,15.07,8,14.13,-,14.52,6
HDFC Hybrid Equity Fund,23138.21,0.76,14,2.16,12,3.15,13,6.94,12,8.28,10,12.86,15,19.44,15,19.54,15,22.35,14,23.24,8,15.59,7,15.48,7,12.92,9,13.5,6,15.33,3,15.69,2,-,-,15.75,-,12.47,15
HSBC Aggressive Hybrid Fund,5441.86,1.79,2,2.65,5,4.09,8,9.01,4,13.11,1,20.96,1,28.73,1,29.06,1,34.92,2,28.31,2,16.47,5,15.3,8,11.99,11,13.1,8,15.1,4,-,-,-,-,13.49,-,19.67,1
ICICI Prudential Equity & Debt Fund,35122.02,0.79,13,1.88,15,2.43,15,5.02,15,6.43,15,16.84,4,28.41,2,27.65,2,38.09,1,29.96,1,24.45,1,21.21,1,17.27,1,16.38,1,18.14,1,17,1,17.3,1,15.63,-,16.47,4
Kotak Equity Hybrid Fund - Regular Plan,5621.16,1.84,1,2.69,4,5.2,4,10.52,1,12.83,2,19.03,2,27.92,3,27.6,3,33.37,4,25.91,6,17.55,3,18.33,2,14.4,2,13.6,4,14.28,8,13.2,9,15.66,7,14.94,-,18.62,2
Mirae Asset Aggressive Hybrid Fund - Regular Plan,8563.76,1.24,10,2.31,9,4.16,7,7.87,7,8.85,8,13.71,13,22.18,13,22.03,13,26.45,12,22.51,11,14.29,12,14.89,9,13.5,4,-,-,-,-,-,-,-,-,13.28,-,13.34,13
Nippon India Equity Hybrid Fund,3535.42,1.03,12,2,13,3.54,12,6.76,14,8.2,12,14.61,9,24.8,6,24.48,7,30.24,7,26.74,4,17.05,4,12.68,15,10.13,14,11.25,13,13.09,12,12.76,11,-,-,12.79,-,14.18,9
SBI Equity Hybrid Fund,68372.47,1.44,5,2.5,7,3.96,9,7,10,8.49,9,14.34,10,22.33,12,22.3,12,26.8,11,20.99,14,14.07,13,14.7,11,13.41,6,13.41,7,15.68,2,13.51,6,16.57,3,15.79,-,13.86,10
Sundaram Aggressive Hybrid Fund,4643.67,1.25,9,2.47,8,4.54,6,6.97,11,7.85,14,14.98,7,23.67,10,23.44,10,28.12,9,22.44,12,14.99,9,14.87,10,12.75,10,11.89,12,12.9,13,11.54,12,13.08,10,11.11,-,14.47,7
Tata Hybrid Equity Fund - Regular Plan,3740.61,1.42,6,2.71,3,3.65,11,7.17,9,8.15,13,14.22,12,22.85,11,22.61,11,24.9,13,22.37,13,15.51,8,14.4,12,11.67,12,12.06,10,14.22,9,13.99,4,16.38,4,15.19,-,13.72,12
UTI Aggressive Hybrid Fund - Regular Plan,5511.93,1.32,8,2.83,1,5.21,3,8.71,5,10.89,4,17.03,3,27.74,4,27.52,4,34.12,3,27.86,3,19.15,2,17.71,3,13.4,7,12.89,9,14.2,10,13,10,13.91,9,15.29,-,16.78,3
