Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,12683.86,0.15,7,0.25,7,0.75,5,1.39,9,1.82,12,3.89,9,5.74,7,5.77,8,7.8,6,6.78,10,5.62,11,5.21,10,5.48,9,5.86,9,6.34,5,-,-,-,-,6.28,-,4.1,9
Axis Arbitrage Fund - Regular Plan,4938.62,0.15,14,0.25,12,0.74,12,1.37,12,1.86,8,3.97,4,5.81,5,5.84,5,7.73,11,6.65,14,5.71,5,5.2,11,5.44,10,-,-,-,-,-,-,-,-,5.82,-,4.18,4
Bandhan Arbitrage Fund - Regular Plan,6202.72,0.16,5,0.26,2,0.75,4,1.41,5,1.87,3,3.87,10,5.73,10,5.77,9,7.74,10,6.82,7,5.62,10,5.08,14,5.41,11,5.81,10,6.33,7,6.42,4,-,-,6.54,-,4.1,10
DSP Arbitrage Fund - Regular Plan,5226.64,0.16,3,0.26,4,0.74,10,1.34,14,1.81,13,3.8,13,5.63,14,5.65,14,7.63,14,6.8,9,5.57,13,5.09,13,-,-,-,-,-,-,-,-,-,-,5.36,-,4.03,13
Edelweiss Arbitrage Fund - Regular Plan,11768.88,0.15,12,0.25,13,0.74,9,1.41,4,1.86,6,4.01,2,5.83,3,5.86,4,7.91,3,6.9,4,5.81,4,5.36,3,5.62,2,6.1,1,-,-,-,-,-,-,6.12,-,4.22,2
HDFC Arbitrage Fund - Wholesale Plan,12297.96,0.16,2,0.26,3,0.76,3,1.4,6,1.87,4,3.93,5,5.82,4,5.87,3,7.87,5,6.9,5,5.67,8,5.12,12,5.31,12,5.76,11,6.19,9,6.38,6,-,-,6.51,-,4.14,5
HSBC Arbitrage Fund - Regular Plan,2274.14,0.15,11,0.25,6,0.71,13,1.38,11,1.79,14,3.79,14,5.65,13,5.68,13,7.69,13,6.7,13,5.49,14,5.24,8,5.5,8,5.92,7,-,-,-,-,-,-,5.93,-,4.01,14
ICICI Prudential Equity Arbitrage Fund,20894.12,0.15,9,0.25,10,0.74,11,1.39,8,1.84,10,3.87,11,5.7,12,5.73,12,7.79,8,6.86,6,5.7,6,5.24,7,5.5,7,5.93,5,6.56,2,6.58,2,-,-,6.88,-,4.08,11
Invesco India Arbitrage Fund,16489.76,0.15,8,0.25,8,0.75,8,1.44,2,1.87,5,3.9,7,5.79,6,5.83,6,7.9,4,7.14,1,6.02,1,5.44,2,5.59,4,5.96,4,6.33,6,6.38,5,-,-,6.57,-,4.1,8
Kotak Equity Arbitrage Fund - Regular Plan,46307.74,0.18,1,0.26,1,0.78,1,1.46,1,1.95,1,4.11,1,6.02,1,6.06,1,8.15,1,7.12,2,5.98,3,5.45,1,5.71,1,6.08,2,6.59,1,6.69,1,-,-,6.91,-,4.32,1
Nippon India Arbitrage Fund,15157.75,0.15,6,0.26,5,0.71,14,1.36,13,1.85,9,3.89,8,5.73,9,5.76,10,7.76,9,6.75,12,5.66,9,5.23,9,5.59,3,6.02,3,6.54,3,-,-,-,-,6.87,-,4.1,7
SBI Arbitrage Opportunities Fund,31116.02,0.15,13,0.25,9,0.75,7,1.39,7,1.86,7,3.9,6,5.74,8,5.79,7,7.8,7,7.09,3,6.02,2,5.27,6,5.53,6,5.88,8,6.35,4,6.49,3,-,-,6.73,-,4.11,6
Tata Arbitrage Fund - Regular Plan,11828.86,0.16,4,0.24,14,0.75,6,1.38,10,1.82,11,3.86,12,5.71,11,5.75,11,7.72,12,6.77,11,5.58,12,5.34,4,-,-,-,-,-,-,-,-,-,-,5.48,-,4.07,12
UTI Arbitrage Fund - Regular Plan,5258.55,0.15,10,0.25,11,0.77,2,1.41,3,1.89,2,3.97,3,5.85,2,5.87,2,7.93,2,6.82,8,5.68,7,5.28,5,5.56,5,5.92,6,6.28,8,6.34,7,-,-,6.79,-,4.2,3
