Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,210.21,1.39,2,2.06,2,3.53,5,6.7,3,8.86,3,15.57,2,26.28,3,26.21,3,33.53,2,23.59,3,15.04,5,16.55,2,12.87,2,13.24,2,13.88,2,9.45,4,-,-,10.77,-,15.62,2
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,17.92,1.31,4,2.4,1,5.06,1,6.94,1,8.25,4,13.9,5,24.14,5,24.1,5,27.61,5,22.61,5,14.17,7,13.26,4,10.59,5,10.63,5,11.32,5,-,-,-,-,10.73,-,13.63,5
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,6.14,0.55,12,1,10,2,12,3.12,12,3.77,12,6.75,12,11.02,12,11.03,12,12.72,12,11.38,12,7.92,12,7.82,8,7.21,7,8.03,7,8.56,7,-,-,-,-,8.25,-,6.73,12
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,18.44,1.01,6,1.77,4,3.89,2,5.37,6,6.36,6,10.76,7,18.22,7,18.22,7,20.59,9,17.38,9,11.33,10,10.77,6,9.12,6,9.52,6,10.07,6,-,-,-,-,9.73,-,10.59,7
Franklin India Dynamic Asset Allocation Fund of Funds,1294.88,0.68,10,1.45,7,2.22,11,4.54,8,5.68,8,10.07,8,17.28,10,17.38,9,26.64,6,21.63,7,16.62,3,13,5,11.27,4,10.97,4,11.46,4,10.84,3,14.1,1,14.17,-,9.87,9
Franklin India Multi Asset Solution Fund of Funds,53.6,0.78,9,1.17,8,2.93,7,3.99,10,4.89,10,10.07,9,17.52,9,16.98,11,20.21,10,14.86,11,11.85,9,7.92,7,6.96,8,-,-,-,-,-,-,-,-,6.65,-,9.57,11
HDFC Asset Allocator FoF - Regular Plan,3053.79,0.85,8,1.47,6,2.53,9,4.93,7,6.27,7,11.7,6,21.06,6,20.71,6,25.64,7,22.56,6,15.94,4,-,-,-,-,-,-,-,-,-,-,-,-,17.39,-,11.55,6
ICICI Prudential Asset Allocator (FOF) Fund #,21776.9,0.55,11,0.91,12,2.93,6,3.6,11,4.84,11,9.82,11,17.19,11,17.19,10,21.53,8,18.31,8,13.91,8,14.16,3,12.59,3,12.4,3,12.51,3,12.15,2,12.85,2,12.35,-,9.94,8
Kotak Multi Asset Allocator FoF -  Dynamic Regular Plan,1453.75,0.91,7,1,11,2.79,8,6.82,2,8.99,2,17.3,1,26.82,1,26.71,1,32.24,3,30.04,1,20.25,1,21.48,1,16.71,1,15.04,1,16.79,1,14.57,1,-,-,16.73,-,16.88,1
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,65.57,1.33,3,1.69,5,3.68,4,6.57,5,7.42,5,14.41,4,26.04,4,25.48,4,28.07,4,23.27,4,14.6,6,-,-,-,-,-,-,-,-,-,-,-,-,15.47,-,13.96,4
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,41.39,1.06,5,1.09,9,2.33,10,4.37,9,5.27,9,10.01,10,17.94,8,17.62,8,19.66,11,16.7,10,10.85,11,-,-,-,-,-,-,-,-,-,-,-,-,11.44,-,9.8,10
Nippon India Asset Allocator FoF - Regular Plan,223.94,1.57,1,1.84,3,3.84,3,6.61,4,9.33,1,15.48,3,26.51,2,26.39,2,34.69,1,28.32,2,19.5,2,-,-,-,-,-,-,-,-,-,-,-,-,21.56,-,15.49,3
