Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,994.54,1.29,16,2.57,12,4.6,18,8.48,19,11.57,13,16.49,14,24.73,18,24.57,18,32.14,17,27,13,14.17,15,13.38,17,-,-,-,-,-,-,-,-,-,-,13.25,-,15.87,14
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,20473.4,1.17,18,2.42,17,5.86,10,9.18,14,11.24,15,17.6,12,29.72,11,29.29,12,36.58,10,29.57,9,16.85,10,18.04,9,14.28,9,14.78,7,17.79,3,15.26,6,18.9,4,21.91,-,17.11,12
Axis Flexi Cap Fund - Regular Plan,12011.72,1.47,13,2.08,20,5.62,12,9.88,11,12.69,7,20.73,6,31.6,8,31.8,7,34.16,12,26.18,16,14.46,14,16.33,15,-,-,-,-,-,-,-,-,-,-,15.23,-,19.37,6
Bandhan Flexi Cap Fund - Regular Plan,6979.84,1.7,8,3.03,7,5.27,14,8.63,16,11.74,11,18.95,8,29.65,12,29.83,11,37.08,9,29.2,11,17.91,7,16.55,11,12.65,14,13.34,12,16.08,8,16.59,3,-,-,17.35,-,17.41,11
Canara Robeco Flexi Cap Fund - Regular Plan,12447.99,1.78,7,2.55,13,5.6,13,10.51,9,11.19,16,18.39,10,30.49,10,30.45,10,33.6,13,27.89,12,16.95,9,18.68,7,16.47,4,14.38,9,15.74,9,15.41,5,18.08,5,18.22,-,17.59,10
DSP Flexi Cap Fund,10558.54,2.14,3,3.33,2,7.25,5,12.08,1,16.3,1,18.76,9,30.53,9,30.52,9,39.75,8,33.53,5,17.74,8,19.92,4,16.53,3,15.31,6,16.84,6,15.6,4,19.93,2,19.55,-,18.07,8
Franklin India Flexi Cap Fund,15468.09,1.4,14,3.08,6,4.57,19,9.25,13,11.55,14,19.62,7,34.09,5,34.28,4,45.45,3,34.88,4,23.02,2,21.7,1,16.63,2,16.43,2,17.85,2,16.63,2,19.25,3,18.52,-,19.13,7
HDFC Flexi Cap Fund,54692.16,0.92,20,2.49,16,5.04,17,10.19,10,12.26,10,21.25,4,36.94,3,36.48,3,44.59,4,37.71,1,26.95,1,20.94,2,17.92,1,15.52,4,17.63,4,16.77,1,20.15,1,19.28,-,21,3
HSBC Flexi Cap Fund,4435.44,2.27,2,3.3,3,6.97,7,11.79,3,14.41,3,25.19,2,39.41,2,38.83,2,48.83,2,36.88,3,22.21,3,19.46,5,15.17,7,14.46,8,16.11,7,15.2,7,17.96,6,17.34,-,24.95,2
ICICI Prudential Flexicap Fund,14913.29,1.07,19,2.05,21,6.36,9,9.61,12,10.7,17,21.03,5,34.38,4,34.08,5,40.28,6,32.06,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.68,-,20.13,5
Kotak Flexicap Fund - Regular Plan,48469.47,1.79,6,2.54,15,3.5,21,10.6,8,13.22,6,21.54,3,32.95,6,32.89,6,40.06,7,32.06,7,19.16,4,17.57,10,15.18,6,16.14,3,17.91,1,-,-,-,-,15.28,-,20.37,4
