Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,7181.78,0.86,15,1.55,14,3.21,7,6.1,5,7.76,5,11.96,9,18.92,9,18.76,9,22.06,10,19.05,8,12.28,8,12.84,6,10.53,5,11.05,5,12.17,5,11.06,4,12.74,2,9.92,-,11.69,9
Axis Balanced Advantage Fund - Regular Plan,2183.67,1.13,7,2.24,3,3.37,6,8.09,1,8.21,3,14.79,2,23.99,3,24.15,2,28.2,3,21.02,4,13.79,3,12.06,10,-,-,-,-,-,-,-,-,-,-,10.24,-,13.92,2
Bandhan Balanced Advantage Fund - Regular Plan,2216.86,0.99,10,1.58,13,2.5,11,4.6,17,6.58,13,10.9,12,16.36,18,16.51,18,19,17,17.21,14,10.26,13,11.12,11,9.93,6,-,-,-,-,-,-,-,-,8.89,-,10.62,13
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,3833.86,0.87,14,1.34,15,2.12,16,4.99,14,6.72,11,12.38,5,21.81,5,21.74,5,25.16,6,23.8,2,14.98,2,16.41,2,-,-,-,-,-,-,-,-,-,-,15.81,-,11.97,7
DSP Dynamic Asset Allocation Fund - Regular Plan,3125.59,0.62,16,1.1,17,2.59,9,5.79,8,8.27,2,10.02,18,17.24,16,17.24,15,21.11,14,16.99,15,9.99,14,10.88,12,9.24,8,9.1,7,-,-,-,-,-,-,9.48,-,9.96,16
Edelweiss Balanced Advantage Fund - Regular Plan,11281.66,1.26,4,1.8,10,2.18,15,4.89,15,7.2,8,13.46,3,22.29,4,22.2,4,25.45,5,20.89,5,13.67,4,15.44,3,12.88,2,11.91,2,12.44,4,-,-,-,-,11.29,-,12.83,3
Franklin India Balanced Advantage Fund - Regular Plan,1912.01,0.39,19,1.24,16,2.5,10,5.32,11,6.8,10,12.32,6,19.7,7,19.77,7,26.17,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.32,-,12.06,6
HDFC Balanced Advantage Fund,86471.32,1.13,8,1.94,9,0.96,19,5.82,7,8.69,1,16.22,1,29.83,1,29.6,1,40.73,1,33.23,1,24.41,1,19.07,1,15.9,1,14.54,1,16.43,1,16.38,1,18.67,1,18.69,-,16.49,1
HSBC Balanced Advantage Fund,1389.99,0.94,13,2.08,6,4.12,3,4.72,16,5.84,16,10.87,14,18.72,10,18.43,10,23.05,9,17.85,12,11.36,10,10.86,13,9.55,7,9.43,6,11.98,6,-,-,-,-,11.12,-,10.63,12
ICICI Prudential Balanced Advantage Fund,56750.35,0.48,18,0.83,19,2.47,12,4.21,18,4.79,19,10.16,17,17.35,15,17.18,16,21.48,13,17.63,13,13.45,5,13.24,5,11.75,3,11.64,3,13.38,2,13.06,2,-,-,11.53,-,9.84,18
Kotak Balanced Advantage Fund - Regular Plan,15830.08,1.29,3,2.01,7,3.9,5,6.74,2,7.8,4,11.86,10,18.52,11,18.28,11,21.01,15,18.26,10,12.09,9,12.66,7,-,-,-,-,-,-,-,-,-,-,11.81,-,11.48,10
LIC MF Balanced Advantage Fund - Regular Plan,868.01,1.63,2,2.65,1,4.02,4,6.3,4,7.29,7,9.74,19,15.48,19,15.19,19,16.5,19,16.1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.28,-,9.32,19
Mirae Asset Balanced Advantage Fund - Regular Plan,1589.97,0.98,11,1.75,11,2.91,8,5.39,10,6.67,12,10.19,16,17.4,14,17.31,14,21.7,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.13,-,10.02,15
Nippon India Balanced Advantage Fund,8042.99,1.1,9,1.95,8,2.42,13,5.27,12,7.03,9,12.13,7,20.52,6,20.45,6,24.99,7,19.46,7,13.1,7,12.49,9,10.85,4,11.06,4,13.23,3,12.53,3,-,-,15.42,-,11.85,8
NJ Balanced Advantage Fund - Regular Plan,3860.71,2.62,1,2.46,2,4.17,2,5.94,6,6.11,15,12.45,4,24.25,2,23.81,3,30.27,2,22.4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.56,-,12.17,4
