Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,3069.78,1.26,9,3.72,2,5.88,4,7.13,9,10.39,9,13.25,9,18.38,11,18.75,11,24.98,8,30.82,6,16.56,8,13.36,6,12.25,6,15.06,3,-,-,-,-,-,-,17.91,-,12.89,8
HDFC Banking & Financial Services Fund - Regular Plan,3294.6,1.29,7,3.07,5,5.58,7,8.32,6,12.36,4,13.5,7,24.77,4,24.59,5,25.41,7,31.45,5,16.99,5,-,-,-,-,-,-,-,-,-,-,-,-,16.71,-,13.07,6
ICICI Prudential Banking and Financial Services Fund,7107.43,1.53,3,3.94,1,7.36,2,9.8,1,11.84,6,14.07,6,22.06,9,21.4,9,22.61,11,26.5,10,14.61,10,11.83,7,11.44,7,14.53,4,17.31,1,16.52,1,-,-,17.01,-,12.92,7
Invesco India Financial Services Fund,908.75,1.04,10,2.43,11,4.33,10,5.86,11,10.22,11,16.3,2,32.31,2,32.69,1,35.33,1,35.34,2,18.94,3,15.29,2,14.22,3,15.74,1,16.61,2,16.26,2,-,-,16.99,-,16.16,2
Kotak Banking & Financial Services Fund - Regular Plan,854.26,0.97,11,2.89,7,5.15,8,8.36,5,12.27,5,14.49,4,23.03,7,23.05,7,24.27,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.58,-,13.77,5
Mirae Asset Banking and Financial Services Fund - Regular Plan,1671.29,1.31,5,3.5,4,6.77,3,8.78,2,13.34,1,15.58,3,23.47,6,23.35,6,27.48,4,30.72,7,17.82,4,-,-,-,-,-,-,-,-,-,-,-,-,19.68,-,14.82,3
Nippon India Banking & Financial Services Fund,5462.71,1.34,4,3.07,6,5.65,6,7.78,8,10.28,10,12.35,10,22.81,8,22.94,8,26.9,5,32.43,3,19.88,2,13.71,5,12.67,5,14.21,5,15.89,3,16.01,3,19.13,1,21.11,-,12.12,10
SBI Banking & Financial Services Fund - Regular Plan,5387.33,1.85,2,3.61,3,4.55,9,8.62,4,12.85,2,19.11,1,32.32,1,32.27,2,33.54,3,30.55,8,16.72,7,14.68,3,15.42,1,-,-,-,-,-,-,-,-,15.28,-,18.83,1
Sundaram Financial Services Opportunities Fund - Regular Plan,1268.85,1.29,8,2.49,10,4.05,11,6.9,10,10.77,8,14.43,5,28.17,3,27.97,3,34.98,2,37.28,1,21.52,1,17.38,1,15.18,2,15.16,2,15.51,4,14.2,4,-,-,15.41,-,14,4
Tata Banking and Financial Services Fund - Regular Plan,2048.3,1.9,1,2.72,9,7.36,1,8.66,3,12.62,3,10.74,11,19.74,10,20.04,10,24.96,9,32.08,4,16.72,6,14.11,4,13.44,4,-,-,-,-,-,-,-,-,17.33,-,10.56,11
UTI Banking and Financial Services Fund - Regular Plan,1056.18,1.31,6,2.85,8,5.67,5,8.04,7,11.17,7,13.36,8,24.76,5,24.92,4,25.68,6,29.84,9,16.27,9,10.96,8,9.75,8,11.64,6,12.76,5,12.87,5,16.44,2,15.14,-,12.85,9
