Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,1701.46,1.44,5,3.42,1,6.78,1,11.03,3,11.7,4,18.88,7,29.37,7,29.26,7,33.94,7,27.47,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.39,-,17.93,7
Axis Business Cycles Fund - Regular Plan,2699.44,2.21,2,3.06,2,4.6,6,9.86,4,11.99,3,21.14,5,33.89,5,33.89,5,42,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.26,-,19.7,6
Baroda BNP Paribas Business Cycle Fund - Regular Plan,527.46,2.27,1,2.7,4,5.97,3,9.27,5,11.59,5,20.68,6,39.59,3,39.57,2,47.45,4,35.1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.37,-,21.07,5
HDFC Business Cycle Fund - Regular Plan,2906.75,0.83,7,2.39,6,5.18,5,9.23,6,9.89,7,14.02,8,26.49,8,26.78,8,31.64,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.57,-,13.42,8
HSBC Business Cycles Fund - Regular Plan,856.13,1.77,3,3.04,3,5.42,4,12.34,2,18.66,1,32.94,1,46.4,1,46.42,1,53.93,1,42.65,1,26.58,1,21.09,1,15.55,1,-,-,-,-,-,-,-,-,15.62,-,32.45,1
ICICI Prudential Business Cycle Fund,9663.24,1.3,6,2.53,5,2.81,8,6.48,8,8.21,8,22.89,2,39.62,2,38.76,3,47.91,3,36.39,3,25.35,2,-,-,-,-,-,-,-,-,-,-,-,-,26.69,-,22.35,2
Kotak Business Cycle Fund - Regular Plan,2470.51,0.54,8,1.7,8,6.45,2,12.48,1,15.37,2,22.38,3,31.14,6,31.11,6,36.61,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.04,-,21.85,4
Tata Business Cycle Fund - Regular Plan,2311.19,1.56,4,2.35,7,3.64,7,9.09,7,11.26,6,21.92,4,37.15,4,37.28,4,52.03,2,41.3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.46,-,21.86,3
