Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,1386.89,0.5,6,0.86,5,1.68,6,3.61,6,4.48,4,7.11,9,10.62,10,10.62,10,12.86,10,12.21,9,9.89,7,10.11,7,8.35,8,10.34,4,-,-,-,-,-,-,10.77,-,6.86,10
Axis Regular Saver Fund - Direct Plan,330.09,0.47,8,0.79,9,2.23,3,3.92,4,4.08,7,6.47,11,9.67,11,9.7,11,11.35,11,11.02,11,8.09,12,9.75,8,8.17,9,8.69,10,-,-,-,-,-,-,9.22,-,6.11,11
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,646.32,0.56,2,0.92,3,1.6,7,2.99,10,3.92,8,7.61,8,12.29,5,12.34,5,14.67,8,13.1,8,9.42,8,9.42,9,8.95,6,9.6,6,-,-,-,-,-,-,9.79,-,7.51,8
Canara Robeco Conservative Hybrid Fund - Direct Plan,972.98,0.55,3,1.05,1,1.77,5,3.64,5,4.48,5,7.1,10,10.97,9,10.96,9,13.51,9,12.07,10,8.92,11,10.66,5,9.55,4,9.55,7,-,-,-,-,-,-,10.02,-,6.95,9
Franklin India Debt Hybrid Fund - Direct Plan,238.4,0.36,11,0.84,6,1.44,8,3.33,7,4.23,6,7.62,7,12.14,7,12.18,6,15.49,6,13.4,6,9.36,9,9.17,10,8.13,10,9.11,9,-,-,-,-,-,-,9.46,-,7.51,7
HDFC Hybrid Debt Fund - Direct Plan,3182.24,0.48,7,0.81,8,0.95,11,3.16,9,3.92,9,8.07,5,13.12,2,13.06,2,16.66,3,15.29,2,11.39,4,11.08,3,9.27,5,9.8,5,-,-,-,-,-,-,10.29,-,8.12,5
ICICI Prudential Regular Savings Fund - Direct Plan,3337.8,0.47,9,0.84,7,1.98,4,3.31,8,3.89,10,7.79,6,12.16,6,12.05,7,15.07,7,13.2,7,10.8,6,10.75,4,9.87,2,10.76,2,-,-,-,-,-,-,10.93,-,7.83,6
Kotak Debt Hybrid Fund - Direct Plan,2477.8,0.46,10,0.62,11,1.3,9,3.94,3,4.94,3,8.72,2,15.04,1,14.92,1,18.17,2,16.2,1,12.37,1,13.15,1,11.02,1,11.44,1,-,-,-,-,-,-,11.33,-,8.76,2
Nippon India Hybrid Bond Fund - Direct Plan,813.88,0.34,12,0.65,10,1.07,10,2.14,12,2.64,12,5.18,12,8.1,12,8.1,12,10.07,12,10.66,12,8.99,10,5.09,11,5.04,11,6.94,11,-,-,-,-,-,-,7.5,-,5.13,12
Parag Parikh Conservative Hybrid Fund - Direct Plan,1986.62,0.58,1,0.53,12,0.84,12,2.31,11,3.38,11,8.17,4,12.92,4,12.83,4,18.46,1,14.19,4,11.63,2,-,-,-,-,-,-,-,-,-,-,-,-,11.26,-,8.55,3
SBI Conservative Hybrid Fund - Direct Plan,9823.59,0.51,5,0.88,4,2.27,2,4.32,2,5.41,2,8.91,1,12.04,8,11.98,8,15.74,5,14.39,3,11.43,3,11.88,2,9.61,3,10.65,3,-,-,-,-,-,-,10.36,-,8.84,1
UTI Conservative Hybrid Fund - Direct Plan,1588.2,0.54,4,1.01,2,2.38,1,4.66,1,5.5,1,8.62,3,13.06,3,13.01,3,15.85,4,13.71,5,11.08,5,10.3,6,8.81,7,9.53,8,-,-,-,-,-,-,9.99,-,8.42,4
