Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,1366.05,2.36,1,2.92,3,4.96,4,8.65,6,11.03,6,19.54,6,39.05,5,38.42,5,51.93,3,41.47,1,24.51,4,23.42,4,15.32,5,13.88,5,15.06,4,15.44,3,16.81,1,19.54,-,18.88,7
HDFC Dividend Yield Fund - Regular Plan,5144.72,2.07,3,3.5,1,5.39,3,9.78,3,11.88,4,19.06,7,34.9,7,34.53,7,48.06,5,38.06,4,26.72,2,-,-,-,-,-,-,-,-,-,-,-,-,29.61,-,19,6
ICICI Prudential Dividend Yield Equity Fund,3930.84,1.29,9,2.63,4,3.44,6,6.85,8,8.83,9,22.43,3,40.98,2,40.15,2,53.52,2,40.28,3,29.41,1,24.52,1,16.87,3,15.98,2,-,-,-,-,-,-,17.1,-,22.33,3
LIC MF Dividend Yield Fund - Regular Plan,189.29,1.88,5,3.06,2,6.75,1,12.79,2,17.13,1,31.48,1,48.9,1,49.1,1,59.96,1,40.31,2,24.72,3,24.22,2,-,-,-,-,-,-,-,-,-,-,23.02,-,31.2,1
SBI Dividend Yield Fund - Regular Plan,7629.65,1.65,7,2.12,8,4.48,5,9.72,4,11.27,5,20.12,5,32.07,9,31.76,9,38.15,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.57,-,19.04,5
Sundaram Dividend Yield Fund,872.3,1.75,6,2.32,6,3.04,7,7.38,7,9.03,8,17.59,9,35.85,6,35.43,6,44.3,8,32.51,7,20.65,8,20.9,6,16.89,2,15.27,3,16.21,2,15.45,2,-,-,14.21,-,17.47,9
Tata Dividend Yield Fund - Regular Plan,927.04,1.6,8,2.28,7,2.65,8,9.68,5,13.16,3,18.78,8,33.28,8,33.74,8,45.43,7,35.79,5,21.67,6,-,-,-,-,-,-,-,-,-,-,-,-,21.67,-,18.64,8
Templeton India Equity Income Fund,2210.68,2.06,4,2.07,9,1.77,9,6.8,9,9.06,7,21.21,4,40.5,3,39.85,3,48,6,32.27,8,23.54,5,24.22,3,18.61,1,16.59,1,17.83,1,16.63,1,-,-,15.61,-,21.33,4
UTI Dividend Yield Fund - Regular Plan,3776.13,2.21,2,2.63,5,6.74,2,12.82,1,15.7,2,23.62,2,39.32,4,38.96,4,50.78,4,35.12,6,21.23,7,21.4,5,16.86,4,14.47,4,15.15,3,14.93,4,-,-,15.96,-,23.17,2
