Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,15481.43,1.23,13,2.63,12,5.4,11,10.29,6,12.95,9,19.44,10,29.63,13,29.38,13,35.21,13,26,18,13.48,18,13.45,18,11.35,18,13.36,15,15.78,15,13.66,14,15.66,8,22.06,-,19.21,10
Axis ELSS Tax Saver Fund,34895.64,1.06,17,1.68,19,6.05,5,7.47,18,7.76,19,16.86,16,27.91,15,28.27,15,29.84,19,25.04,19,11.22,19,14.64,17,14.06,16,14.52,10,17.8,4,-,-,-,-,16.55,-,16.39,15
Bandhan ELSS Tax Saver Fund - Regular Plan,6433.56,1.77,9,2.69,10,5.29,12,8.26,15,9.05,17,17.34,13,27.28,17,27.14,17,35.45,12,31.43,10,20.55,10,21.54,4,17.09,5,16.96,3,18.99,2,17.35,2,-,-,19.15,-,16.64,14
Canara Robeco ELSS Tax Saver Fund - Regular Plan,7925.68,2.06,7,3,8,4.75,17,10.09,9,12.02,12,18.15,12,31.02,10,30.92,10,34.81,14,28.95,12,17.74,15,20.32,7,17.75,4,15.57,8,16.81,9,16.36,6,19.83,2,15.54,-,17.51,12
DSP ELSS Tax Saver Fund,15161.2,2.33,2,3.42,3,6.01,6,12.18,2,16.59,2,23.07,5,38.91,5,38.33,5,48.48,3,35.08,6,21.85,6,22.05,3,17.81,3,17.27,1,19.32,1,17.51,1,-,-,16.01,-,22.73,5
Franklin India ELSS Tax Saver Fund,6397.51,1.49,12,3.18,6,4.87,15,9.53,14,11.66,14,20.03,9,34.92,8,35.1,8,46.32,6,35.57,5,22.35,5,19.79,9,15.8,9,15.76,7,17.18,7,16.43,5,18.49,5,21.72,-,19.54,9
HDFC ELSS Tax Saver Fund,14752.93,0.91,18,2.32,13,4.84,16,10.25,7,12.47,11,21.54,7,39.33,4,38.66,4,47.42,4,37.38,4,26.73,2,19.85,8,15.25,11,13.71,13,16.19,12,15.61,10,19.33,3,23.96,-,21.29,7
HSBC ELSS Tax Saver Fund,3949.85,2.13,5,3,7,6.45,4,12.23,1,17.24,1,29.15,1,41.87,3,42.08,3,47.22,5,37.89,3,21.28,9,19.05,10,14.55,13,15.08,9,16.51,11,15.8,9,-,-,15.03,-,28.38,2
ICICI Prudential ELSS Tax Saver,13110.65,1.19,15,2.67,11,5.81,8,7.27,19,8.71,18,16.49,18,27.9,16,27.64,16,33.5,17,27.39,16,18.43,13,17.42,16,15.24,12,13.87,11,16.66,10,16.6,4,19.26,4,19.66,-,15.83,18
