Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
360 ONE Focused Equity Fund - Regular Plan,7215.17,1.72,5,3.49,2,4.95,15,9.6,10,13.44,4,21.55,4,32.49,9,32.67,9,39.34,7,35.04,4,21.46,5,23.07,1,19.43,1,-,-,-,-,-,-,-,-,17.5,-,20.59,5
Aditya Birla Sun Life Focused Fund - Regular Plan,7151.96,1.34,10,3.04,6,5.31,13,9.22,13,10.09,15,19.17,7,30.7,11,30.35,11,36.04,11,27.76,14,17.57,11,16.93,9,14.1,8,13.57,8,16.13,5,14.95,6,-,-,14.91,-,17.99,9
Axis Focused Fund,13341.11,0.42,18,0.96,18,4.16,18,5.82,17,5.8,18,13.97,17,24.15,17,24.3,17,24.6,17,19.35,17,8.03,17,12.68,12,12.42,11,13.34,9,-,-,-,-,-,-,14.77,-,13.25,17
Bandhan Focused Equity Fund - Regular Plan,1505.55,2.07,2,2.82,9,9.13,1,10.1,6,12.6,6,18.63,10,34.81,4,35.03,4,37.12,10,30.09,9,17.75,10,16.88,10,12.98,10,12.49,10,13.3,9,11.68,8,-,-,12.09,-,17.96,10
Canara Robeco Focused Equity Fund - Regular Plan,2293.3,1.99,3,3.02,7,5.5,9,9.26,12,10.24,14,19,8,30.11,12,30.2,12,34.87,14,30.12,8,19.53,8,-,-,-,-,-,-,-,-,-,-,-,-,21.52,-,18.09,8
DSP Focus Fund,2338.45,1.99,4,2.57,12,5.89,8,12.2,2,16.25,1,18.84,9,33.77,5,33.91,5,44.03,4,32.93,6,17,13,16.74,11,13.92,9,13.94,7,15.58,8,-,-,-,-,12.45,-,18.14,7
Franklin India Focused Equity Fund,11442.54,1.44,9,3.09,5,6.07,7,9.85,8,12.43,8,22.14,3,32.99,7,32.73,8,39.72,6,32.98,5,22.07,4,20.01,4,16.74,3,17.12,1,19.87,1,17.98,2,-,-,14.99,-,21.81,3
HDFC Focused 30 Fund,11945.94,0.7,16,2.28,13,5.37,11,10.04,7,12.59,7,21.49,5,37.41,3,36.9,3,44.51,3,37.43,2,29.18,1,21.24,3,15.85,6,14.08,6,15.9,7,15.15,4,-,-,16.64,-,21.38,4
HSBC Focused Fund - Regular Plan,1595.84,0.62,17,1.59,17,4.39,17,4.7,18,7.01,17,15.22,16,28.45,13,28.16,14,35.93,12,27.58,15,15.9,14,-,-,-,-,-,-,-,-,-,-,-,-,22.61,-,14.3,16
