Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life India GenNext Fund - Regular Plan,5026.93,0.93,6,1.43,5,7.24,6,9.08,6,12.36,5,15.94,5,27.32,8,27.02,8,32.57,9,28.19,8,19.45,7,19.72,6,16.31,5,17.48,3,19.05,1,18.45,1,-,-,17.37,-,15.71,5
Baroda BNP Paribas India Consumption Fund - Regular Plan,1268.35,0.98,5,1.02,6,7.45,4,9.74,3,12.5,4,17.36,4,30.03,4,30.07,4,34.43,5,29.64,6,20.12,6,20.94,4,-,-,-,-,-,-,-,-,-,-,21.15,-,17.33,4
Canara Robeco Consumer Trends Fund - Regular Plan,1486.28,1.2,4,1.47,4,6.37,8,6.83,9,11.15,8,17.8,3,30.8,3,30.97,3,35.21,4,31.69,4,21,4,21.58,2,17.95,1,17.92,1,18.73,3,-,-,-,-,17.26,-,18.24,3
ICICI Prudential Bharat Consumption Fund,2349.54,0.66,8,0.7,9,4.92,9,7.1,8,8,9,13.6,8,27.76,7,27.29,7,37.6,2,28.61,7,23.71,2,19.5,7,-,-,-,-,-,-,-,-,-,-,18.5,-,13.92,8
Mirae Asset Great Consumer Fund - Regular Plan,3409.2,1.58,2,2.04,2,7.76,2,9.63,4,13.08,3,15.4,6,29.32,5,29.19,6,34.43,6,32.21,2,22.29,3,20.95,3,17.84,2,17.49,2,19.02,2,-,-,-,-,18.02,-,14.98,6
Nippon India Consumption Fund,833.95,0.87,7,0.99,7,6.53,7,9.82,1,13.85,1,19.41,2,32.27,1,32.35,1,40.69,1,33.25,1,25.04,1,24.88,1,17.38,3,14.86,5,17.54,4,16.65,2,-,-,16.24,-,20.18,1
Sundaram Consumption Fund - Regular Plan,1393.03,1.49,3,2.14,1,7.68,3,9.78,2,11.65,7,12.31,9,24.33,9,24.37,9,33.13,8,29.69,5,19.23,8,17.28,9,12.57,7,15.38,4,16.66,5,15.25,3,-,-,12.97,-,12.09,9
Tata India Consumer Fund - Regular Plan,1941.77,1.61,1,1.87,3,9.04,1,8.87,7,12.13,6,14.44,7,28.7,6,29.46,5,36.94,3,32.12,3,20.8,5,19.99,5,16.41,4,-,-,-,-,-,-,-,-,18.31,-,14.46,7
UTI India Consumer Fund - Regular Plan,602.97,0.49,9,0.96,8,7.35,5,9.33,5,13.26,2,19.95,1,31.11,2,31.09,2,34.17,7,26.58,9,17.46,9,17.66,8,13.51,6,12.16,6,13.55,6,13.59,4,-,-,10.8,-,19.32,2
