Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,1146.32,1.47,11,2.67,10,1.77,12,11.48,10,15.34,10,30.43,11,43.11,14,44.13,14,62.29,13,53.1,10,30.25,12,24.63,11,16.89,12,15.49,12,17.58,8,14.13,5,-,-,13.37,-,30.96,10
Bandhan Infrastructure Fund - Regular Plan,1342.96,2.85,1,4.56,1,6.71,1,19.1,1,23.81,2,49.03,1,69.99,1,70.97,1,90.83,1,63.25,2,36.62,7,28.7,4,19.41,9,18.03,6,16.81,11,-,-,-,-,13.75,-,49.91,1
DSP India T.I.G.E.R. Fund - Regular Plan,4385.95,2.09,3,3.59,2,3.66,7,14.62,6,22.85,3,38.25,5,58.74,4,58.91,4,81.57,4,58.47,4,38.08,4,28.42,5,21.22,3,18.47,4,19.39,4,15.47,3,19.11,2,19.15,-,38.57,5
Franklin Build India Fund,2530.26,0.81,14,3,8,2.35,11,10.32,13,16.57,9,32.96,8,54.79,7,54.92,7,78.51,6,56.55,5,36.17,9,27.04,8,21.21,4,21.13,1,23.49,1,-,-,-,-,19.71,-,33.5,8
HDFC Infrastructure Fund,2054.8,1.59,9,2.54,11,4.58,4,10.45,12,15.29,11,29.3,12,52.03,10,52.93,8,78.54,5,60.33,3,38.89,3,22.91,13,14.21,14,12.38,14,14.16,14,12,10,-,-,10.23,-,29.83,12
HSBC Infrastructure Fund,2620.55,2.02,5,3.11,6,3.26,9,18.2,2,24.64,1,38.11,6,52.5,9,52.91,9,72.01,8,56.38,6,36.57,8,26.6,10,18.69,10,17.8,7,18.59,5,13.94,7,-,-,10.36,-,36.74,7
ICICI Prudential Infrastructure Fund,5034.14,1.67,8,2.84,9,3.39,8,9.65,14,13.36,14,31.75,9,53.03,8,52.77,10,68.55,9,55.56,7,40.39,1,28.84,3,21.59,2,17.31,9,18.49,6,14.65,4,-,-,16.98,-,32.09,9
Invesco India Infrastructure Fund,1470.37,2.06,4,2.07,14,3.03,10,16.65,3,21.35,5,40.7,2,64.3,2,65.21,2,84.02,2,55.52,8,36.06,10,30.97,1,23.22,1,19.39,2,21,2,16.84,1,-,-,12.26,-,40.35,2
Kotak Infrastructure and Economic Reform Fund - Standard Plan,1989.53,1.78,7,3.13,5,6.35,2,16.16,4,22.72,4,39.94,3,55.39,6,55.76,6,66.26,11,51.77,11,37.01,5,27.75,7,19.96,8,18.7,3,19.75,3,16.62,2,-,-,12.79,-,39.82,3
Nippon India Power & Infra Fund,5697.01,1.52,10,3.45,3,4.2,5,14.82,5,18.52,6,37.21,7,60.33,3,60.84,3,83.67,3,64.55,1,40.08,2,29.38,2,21.08,5,16.96,10,17.39,10,12.32,9,19.98,1,19.68,-,36.76,6
SBI Infrastructure Fund,3087.55,1.05,12,2.52,12,6.16,3,11.39,11,14.18,13,28.24,13,50.21,11,50.76,11,68.4,10,50.81,12,34.14,11,26.63,9,20.39,7,17.58,8,17.4,9,12.43,8,-,-,10.31,-,28.67,13
Sundaram Infrastructure Advantage Fund - Regular Plan,998.37,1.93,6,3.38,4,1.21,14,12.1,9,16.69,8,31.05,10,48.85,12,49.01,12,64.01,12,46.35,13,30.02,13,23.5,12,17.33,11,15.97,11,15.29,12,11.11,11,-,-,12.92,-,30.32,11
Tata Infrastructure Fund - Regular Plan,2245.06,2.38,2,3.03,7,4.05,6,13.97,7,17.64,7,38.47,4,56.89,5,57.37,5,74.57,7,53.43,9,36.83,6,27.82,6,20.78,6,18.38,5,17.97,7,13.95,6,-,-,16.64,-,38.67,4
UTI Infrastructure Fund - Regular Plan,2287.67,0.95,13,2.14,13,1.36,13,12.27,8,14.47,12,28.04,14,46.66,13,47.07,13,59.52,14,45.73,14,28,14,21.4,14,16.28,13,14.12,13,15.2,13,10.88,12,16.08,3,14.7,-,27.73,14
