Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,5761.97,1.43,15,2.52,13,5.03,17,9.87,14,13,13,18,18,28.76,19,29.02,19,36.95,18,28.91,19,14.14,20,16.78,19,12.46,17,14.02,14,16.78,12,14.04,13,16.26,6,17.3,-,17.33,19
Axis Growth Opportunities Fund - Regular Plan,12424.49,1.62,12,1.86,17,5.04,16,9.87,13,11.32,18,23.49,11,34.25,14,34.48,14,39.15,16,32.26,14,18.31,18,22.8,2,-,-,-,-,-,-,-,-,-,-,22.14,-,22.62,11
Bandhan Core Equity Fund - Regular Plan,4680.59,2.1,6,3.54,3,5.73,11,9.68,17,14.4,9,25.32,5,43.46,2,43.38,2,56.66,1,42.6,2,26.06,3,22.67,4,17.31,7,16.45,8,17.23,8,14.53,11,-,-,14.39,-,25.97,4
Canara Robeco Emerging Equities Fund - Regular Plan,21796.83,1.69,10,2.11,15,7.68,4,12.62,3,14.82,6,23.76,10,35.31,13,35.66,13,41.14,13,30.72,17,19.2,16,21.03,12,16.49,10,18.64,2,21.65,2,21.19,1,-,-,18.05,-,22.62,10
DSP Equity Opportunities Fund,11991.26,2.27,4,3.14,6,6.4,7,12.08,5,17.39,3,24.09,9,40.39,7,40.11,7,51.75,4,37.65,8,21.68,10,22,7,17.18,8,17.06,5,18.75,4,16.59,3,19.1,2,18.49,-,23.91,8
Edelweiss Large & Mid Cap Fund - Regular Plan,3046.54,2.39,3,3.47,4,7.62,5,12.61,4,13.88,11,22.31,12,35.5,12,36.1,10,43.69,12,34.17,11,21.18,12,21.23,9,17.76,4,15.83,9,17.1,11,15.51,9,-,-,13.32,-,21.27,13
Franklin India Equity Advantage Fund,3203.2,1.85,8,2.84,8,8.71,1,11.89,6,13.45,12,18.54,16,31.11,16,31.11,16,37.69,17,27.58,20,16.95,19,17.39,18,13.67,16,13.68,16,15.95,15,14.81,10,-,-,16.13,-,17.69,18
HDFC Large and Mid Cap Fund - Regular Plan,19454.33,1.53,14,2.08,16,5.12,15,9.7,16,12.65,15,20.06,14,35.81,11,35.86,12,48.09,9,38.87,5,26.19,2,23.36,1,18.11,1,14.9,13,16,14,13.81,15,15.74,8,13.32,-,20.24,14
HSBC Large and Mid Cap Fund - Regular Plan,3118.58,2.21,5,2.8,9,5.34,12,11.74,7,18.14,2,31.31,1,40.95,4,41.56,4,51.66,6,40.18,3,23.96,6,21.03,11,-,-,-,-,-,-,-,-,-,-,20.05,-,30.51,1
