Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,27274.77,1.27,11,2.65,11,5.18,6,9.77,4,10.74,4,17.42,6,28.63,7,28.28,7,32.89,6,28.12,6,18.26,4,17.09,5,13.9,11,13.66,7,16.09,5,14.76,4,18.36,2,19.66,-,16.64,6
Axis Bluechip Fund,32707.97,1.17,13,2.17,13,4.84,8,7.4,11,7.53,12,16.11,8,26.74,9,26.71,9,28.2,10,22.57,13,12.01,13,14.28,13,14.77,6,13.01,10,15.43,7,-,-,-,-,13.02,-,14.95,8
Canara Robeco Bluechip Equity Fund - Regular Plan,12976.74,1.68,6,3.06,2,4.75,9,9.55,5,10.22,7,17.75,5,29.27,5,28.97,5,31.6,7,27.27,7,16.36,8,18.45,3,16.32,3,14.4,6,15.42,8,-,-,-,-,13.78,-,16.97,5
DSP Top 100 Equity Fund - Regular Plan,3716.97,1.92,1,2.76,10,6.19,3,8.8,8,12.36,1,19.09,2,31.87,3,31.1,3,37.45,3,30.74,4,17.1,6,15.49,10,13.11,12,11.78,13,13.35,13,12.52,10,16.79,4,19.44,-,18.44,2
Franklin India Bluechip Fund,7646.59,1.76,4,2.94,7,7.1,1,10.34,2,10.57,6,16.86,7,28.28,8,27.64,8,30.88,8,24.37,10,14.35,12,15.81,9,12.71,13,12.46,12,13.56,12,13.06,9,16.29,5,19.5,-,15.77,7
HDFC Top 100 Fund,33488.5,1.38,8,2.87,9,2.82,13,7.21,12,8.02,11,14.61,10,29.1,6,28.46,6,35.3,4,31.12,3,21.3,3,16.52,8,15,5,13.37,8,15.36,9,14.41,5,18.6,1,19.34,-,14.14,9
ICICI Prudential Bluechip Fund,55459.29,1.64,7,2.98,4,3.72,12,7.53,10,8.5,10,18.72,4,32.57,2,31.9,2,39.19,2,31.5,2,21.75,2,19.08,2,16.45,2,15.04,2,16.73,3,16.17,2,-,-,15.67,-,17.77,4
Kotak Bluechip Fund - Regular Plan,8199.81,1.77,3,3.04,3,5.2,5,10.39,1,12.06,2,18.78,3,30.7,4,30.15,4,34.58,5,28.13,5,17.48,5,18.26,4,15.07,4,14.41,5,15.6,6,13.91,7,17.29,3,18.42,-,17.79,3
Mirae Asset Large Cap Fund - Regular Plan,37631.07,1.69,5,3.42,1,5.87,4,9.93,3,10.87,3,14.58,11,23.14,13,22.7,13,26.46,12,22.95,12,14.59,11,15.37,12,14.13,9,14.78,3,17.14,2,16.78,1,-,-,15.74,-,13.56,11
Nippon India Large Cap Fund,26925.1,1.84,2,2.97,6,4.22,10,8.48,9,10.11,9,19.78,1,32.73,1,32.51,1,40.51,1,36.07,1,25.33,1,19.26,1,16.69,1,15.66,1,17.48,1,15.46,3,-,-,13.66,-,19.64,1
SBI Bluechip Fund,46084.82,1.27,12,2.33,12,4.94,7,9.52,6,10.17,8,14.45,12,23.95,11,23.63,11,26.25,13,25.91,8,17.06,7,16.72,6,14.07,10,14.42,4,16.59,4,14.29,6,-,-,12.59,-,13.55,12
Sundaram Large Cap Fund - Regular Plan,3376.64,1.38,9,2.92,8,3.82,11,7.15,13,7.23,13,13.18,13,23.72,12,23.3,12,27.74,11,25.03,9,15.98,9,15.4,11,14.33,7,12.53,11,14.03,11,12.01,11,15.79,6,18.07,-,12.08,13
UTI Large Cap Fund - Regular Plan,12365.73,1.27,10,2.98,5,6.3,2,9.51,7,10.64,5,15.36,9,25,10,24.72,10,28.92,9,23.98,11,15.08,10,16.65,7,14.25,8,13.23,9,14.58,10,13.51,8,15.34,7,17.48,-,13.83,10
