Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,3370.93,1.28,5,1.59,6,3.76,3,7.41,2,9.13,2,14.61,7,22.54,7,22.26,6,25.41,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.36,-,14.22,7
Axis Multi Asset Allocation Fund - Regular Plan,1197.41,1.68,4,2.36,2,3.59,4,7.26,4,9.05,3,13.9,8,20.42,9,20.33,8,21.98,8,17.62,6,10.25,6,13.14,4,11.69,4,10.34,3,10.33,3,-,-,-,-,9.98,-,12.93,8
Bank of India Multi Asset Allocation Fund - Regular Plan,332.43,1.12,7,1.36,9,1.94,10,4.42,10,6.84,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.37,-,-,-
Baroda BNP Paribas Multi Asset Fund - Regular Plan,1180.31,1.77,1,2.77,1,4.27,1,7.3,3,9.03,4,17.3,1,29.45,3,28.78,3,33.78,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.44,-,16,4
HDFC Multi Asset Fund,2897.11,0.9,10,1.43,8,3.16,5,5.35,7,6.29,9,11.94,9,21.2,8,20.67,7,23.86,7,19.87,5,14.14,5,15.09,3,12.07,2,11.02,2,11.36,2,11.27,2,-,-,10.5,-,11.94,9
ICICI Prudential Multi Asset Fund,41159.52,1.05,8,1.53,7,2.79,7,4.99,8,6.65,8,15.45,5,25.71,5,24.87,4,33.09,4,27.92,2,23.6,1,20.05,1,16.49,1,14.91,1,16.83,1,16.4,1,20.29,1,21.52,-,15.11,5
Kotak Multi Asset Allocation Fund - Regular Plan,6089.4,1.74,2,1.69,4,3.84,2,7.97,1,9.96,1,16.77,4,27.27,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.64,-,16.64,3
Nippon India Multi Asset Fund - Regular Plan,3313.76,1.72,3,2.15,3,3.15,6,6.07,6,7.91,5,17.16,2,30.3,2,29.39,2,33.86,2,25.45,3,17.34,3,-,-,-,-,-,-,-,-,-,-,-,-,19.21,-,16.74,2
Tata Multi Asset Opportunities Fund - Regular Plan,2863.37,1.14,6,1.62,5,2.69,8,6.27,5,7.42,6,14.84,6,23.52,6,23.32,5,27.94,5,23.23,4,15.95,4,-,-,-,-,-,-,-,-,-,-,-,-,20.29,-,14.58,6
UTI Multi Asset Allocation Fund - Regular Plan,2026.51,1.04,9,1.33,10,2.35,9,4.62,9,6.21,10,17.02,3,32.5,1,32.12,1,37.32,1,30.46,1,18.32,2,15.33,2,11.77,3,9.94,4,10.25,4,10.78,3,-,-,13.2,-,17.05,1
