Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,5583.9,1.8,9,2.94,5,6.17,8,11.13,2,13.75,9,21.81,8,32.26,12,32.35,12,41.48,12,31.73,11,20.47,6,-,-,-,-,-,-,-,-,-,-,-,-,23.08,-,21.27,8
Axis Multicap Fund - Regular Plan,5473.59,2.12,4,2.99,4,6.91,4,13.46,1,15.96,1,26.29,2,41.8,3,42.4,3,53.27,3,39.26,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.75,-,24.98,5
Bandhan Multi Cap Fund - Regular Plan,2105.34,1.61,12,2.5,10,7.19,1,9.24,11,12.26,11,19.87,10,33.06,10,33.35,10,42.39,11,34.99,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.28,-,20.38,10
Baroda BNP Paribas Multi Cap Fund,2458.87,2.1,5,2.21,11,5.56,11,8.96,13,13.82,7,25.44,4,41.4,4,41.65,4,48.62,7,36.93,6,23.63,4,22.43,3,17.04,3,15.75,4,16.9,5,14.56,5,16.28,2,16.19,-,25.28,4
HDFC Multi Cap Fund - Regular Plan,13815.44,1.77,10,2.63,8,7.09,2,11.03,3,14.46,3,21.95,7,37.47,7,38,7,49.99,6,42.75,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.02,-,21.81,7
HSBC Multi Cap Fund - Regular Plan,3109.33,2.04,7,2.77,6,6.28,7,9.9,10,13.76,8,26.51,1,44.56,1,45.1,1,61.64,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.67,-,26.24,2
ICICI Prudential Multicap Fund,12047.86,1.42,13,2.69,7,6.17,9,9.01,12,10.58,14,19.86,11,36.57,8,36.11,8,46.49,8,36.78,7,23.68,3,20.31,5,16.8,4,16.03,3,17.9,4,16.11,3,18.44,1,15.66,-,20.35,11
Invesco India Multicap Fund,3623.18,2.13,3,2.51,9,6.99,3,10.04,9,14.13,5,21.52,9,34.21,9,35.05,9,46.41,9,35.65,8,19.88,7,21.7,4,16.09,5,16.34,2,19.72,1,20.14,1,-,-,16.82,-,20.64,9
Kotak Multicap Fund - Regular Plan,11371.74,1.92,8,2.05,13,6.38,5,10.5,8,12.49,10,24.49,5,42.53,2,42.56,2,58.08,2,44.94,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.4,-,25.3,3
Mahindra Manulife Multi Cap Fund - Regular Plan,3670.19,2.61,1,4.39,1,5.45,13,10.7,6,14.04,6,23.28,6,38.33,6,38.32,6,51.77,5,38.86,5,24.63,2,25.66,1,19.21,2,-,-,-,-,-,-,-,-,19.16,-,24.05,6
Nippon India Multi Cap Fund,31963.02,1.71,11,2.17,12,5.49,12,10.8,5,15.89,2,26.19,3,38.9,5,38.85,5,52.71,4,44.76,2,32.37,1,23.57,2,19.46,1,16.67,1,18.61,2,19.3,2,-,-,19.12,-,27.05,1
SBI Multicap Fund - Regular Plan,15785.91,1.16,14,1.85,14,6,10,8.82,14,11.81,13,18.89,13,28.54,13,28.8,13,36.91,13,28.26,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.17,-,19.46,12
Sundaram Multi Cap Fund,2566.75,2.28,2,3.72,2,4.75,14,10.51,7,14.29,4,18.91,12,32.62,11,32.99,11,43.85,10,32.1,10,20.62,5,19.47,6,15.32,6,15.19,5,18,3,15.38,4,15.84,3,16.2,-,18.58,13
Tata Multicap Fund - Regular Plan,2913.19,2.04,6,3.04,3,6.31,6,10.94,4,12.24,12,15.65,14,25.2,14,25.66,14,35.15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.62,-,15.51,14
