Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
360 ONE Quant Fund - Regular Plan,236.19,3.6,1,2.84,11,4.21,36,11.21,11,13.47,16,27.05,11,49.63,9,49.2,8,60.81,7,47.53,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.2,-,26.85,11
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,1701.46,1.44,27,3.42,3,6.78,10,11.03,12,11.7,24,18.88,30,29.37,34,29.26,34,33.94,35,27.47,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.39,-,17.93,33
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,1005.6,2.03,11,2.55,17,6.26,13,10.98,13,15.77,9,24.78,14,41.48,15,40.99,14,51.31,15,35.73,22,18.38,22,20.34,18,13.61,13,-,-,-,-,-,-,-,-,13.22,-,24.83,13
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,714.83,1.49,25,2.43,25,6.67,11,9.08,27,12.14,21,19.66,27,33.05,27,32.82,28,42.97,29,30.53,31,18.48,21,-,-,-,-,-,-,-,-,-,-,-,-,25.56,-,19.47,26
Axis Innovation Fund - Regular Plan,1208.96,1.59,21,2.46,23,7.9,4,11.39,10,12.72,18,25.17,13,35.09,24,34.89,24,38.01,31,28.25,35,15.79,28,-,-,-,-,-,-,-,-,-,-,-,-,17.95,-,24.39,14
Axis Quant Fund - Regular Plan,1044.96,1.16,34,1.79,34,3.12,38,5.22,42,6.85,42,16.41,35,31.92,30,31.61,31,34.28,34,31.9,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.17,-,16.24,35
Baroda BNP Paribas Business Cycle Fund - Regular Plan,527.46,2.27,7,2.7,13,5.97,16,9.27,25,11.59,25,20.68,23,39.59,18,39.57,16,47.45,21,35.1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.37,-,21.07,21
DSP Quant Fund - Regular Plan,1132.41,1.36,30,2.37,27,7.03,9,9.01,28,7.74,40,11.51,40,21.64,41,21.13,41,22.6,41,21.13,42,11.75,31,16.21,22,-,-,-,-,-,-,-,-,-,-,15.78,-,10.15,41
Edelweiss Recently Listed IPO Fund  - Regular Plan,890.55,1.54,24,2.14,32,10.26,1,9.44,23,12.81,17,18.18,32,23.91,39,25.54,36,41.13,30,29.45,33,15.62,29,23.61,6,-,-,-,-,-,-,-,-,-,-,16.44,-,18.53,31
Franklin India Opportunities Fund,3933.36,0.6,43,2.87,10,6.48,12,12.91,6,21,1,34.45,3,56.43,3,57.18,1,77.39,1,54.93,1,30.95,3,26.59,3,20.16,1,18.69,1,19.47,3,16.43,5,18.55,4,14.03,-,34.36,3
HDFC Housing Opportunities Fund - Regular Plan,1444.4,1.07,38,2.67,14,4.27,35,10.69,15,14.52,12,23.17,17,46.2,11,46.57,10,61.52,6,46.63,7,27.42,7,19.59,19,-,-,-,-,-,-,-,-,-,-,14.44,-,23.8,16
HSBC Business Cycles Fund - Regular Plan,856.13,1.77,18,3.04,7,5.42,19,12.34,7,18.66,2,32.94,7,46.4,10,46.42,11,53.93,12,42.65,8,26.58,8,21.09,15,15.55,12,-,-,-,-,-,-,-,-,15.62,-,32.45,7
ICICI Prudential Business Cycle Fund,9663.24,1.3,32,2.53,18,2.81,39,6.48,38,8.21,36,22.89,19,39.62,17,38.76,19,47.91,18,36.39,20,25.35,10,-,-,-,-,-,-,-,-,-,-,-,-,26.69,-,22.35,19
ICICI Prudential Commodities Fund,2370.77,2.85,3,3.19,4,4.94,27,8.35,31,11.81,23,23.05,18,38.81,19,38.76,18,49.02,17,40.85,12,24.6,12,-,-,-,-,-,-,-,-,-,-,-,-,36.44,-,22.63,18
ICICI Prudential Exports and Services Fund,1284.6,1.11,36,2.93,8,5.55,18,8.89,29,10.07,29,20.93,22,33.81,26,33.15,27,44.2,28,32.24,26,23.69,13,21.43,11,16.14,11,16.4,5,20.35,2,17.91,3,-,-,15.74,-,20.48,24
ICICI Prudential FMCG Fund,1509.7,0.86,40,0.65,40,4.84,29,6.57,37,8.02,39,2.26,42,10.18,43,9.68,43,9.58,43,19.07,43,17.87,23,15.05,23,12.7,15,14.36,11,14.96,10,18.54,2,20.75,1,16.61,-,2.72,42
ICICI Prudential Housing Opportunities Fund,2555.16,1.86,15,3.66,1,4.87,28,10.17,20,12.06,22,20.14,25,34.07,25,33.96,25,44.68,26,33.33,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.12,-,19.3,27
ICICI Prudential India Opportunities Fund,19792.23,1.43,28,2.41,26,5.56,17,8.22,32,9.19,32,18.72,31,31.85,31,30.9,32,46.33,23,38.87,17,29.43,6,24.7,4,-,-,-,-,-,-,-,-,-,-,24.16,-,18.72,29
ICICI Prudential Manufacturing Fund,4841.52,2.12,9,2.5,19,5.35,21,13.54,2,16.21,8,33.31,6,56.17,4,55.16,4,70.42,2,49.5,3,32.52,2,27.78,2,-,-,-,-,-,-,-,-,-,-,25.08,-,33.36,5
ICICI Prudential Nifty Auto ETF,66.37,0.65,41,-0.79,43,5.14,24,11.89,8,17,6,37.66,1,57.63,1,55.73,2,67.88,3,47.19,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.33,-,35.44,1
ICICI Prudential Nifty FMCG ETF,153.35,1.25,33,0.92,39,5.38,20,6.23,40,7.03,41,1.25,43,13.17,42,12.55,42,10.11,42,22.98,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.33,-,1.65,43
