Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,683.18,1.26,8,-0.15,8,4.16,7,2.98,8,2.94,8,12.43,7,28.52,5,27.98,6,44.04,4,29.03,7,12.63,7,-,-,-,-,-,-,-,-,-,-,-,-,22.32,-,15.67,6
DSP Healthcare Fund - Regular Plan,2363.39,2.96,1,1.6,2,6.66,1,3.78,6,3.95,6,12.62,6,29.45,3,29.22,3,42.94,6,32.12,3,15.18,3,28.01,1,-,-,-,-,-,-,-,-,-,-,24.43,-,14.8,7
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund,3925.29,1.94,3,1.78,1,6.05,4,5.98,1,6.26,1,16.8,1,34.42,1,33.81,1,50.55,1,34.18,1,16.18,1,27.44,2,-,-,-,-,-,-,-,-,-,-,21.86,-,20.38,1
Mirae Asset Healthcare Fund - Regular Plan,2201.96,2.27,2,1.36,3,6.06,3,4.97,3,5.04,3,12.9,4,27.27,8,26.35,8,42.95,5,27.55,8,12.97,6,26.83,4,-,-,-,-,-,-,-,-,-,-,21.96,-,16,4
Nippon India Pharma Fund,7160.93,1.26,7,0.34,7,3.85,8,4.25,5,3.98,5,10.66,8,27.82,7,27.36,7,42.58,7,30.51,5,13.11,5,25.9,5,19.49,1,16.26,1,18.42,1,20.88,1,20.91,1,20.85,-,14.14,8
SBI Healthcare Opportunities Fund,2612.73,1.46,6,0.91,6,5.97,5,3.72,7,3.92,7,13.99,3,28.09,6,28.15,4,40.43,8,33.86,2,15.3,2,26.91,3,16.16,3,14.48,2,17.81,2,19.05,2,17.4,2,16.6,-,17.18,3
Tata India Pharma & Healthcare Fund - Regular Plan,899.17,1.78,5,1.14,4,5.79,6,4.32,4,4.85,4,14.09,2,31.37,2,30.55,2,46.23,2,30.54,4,14.75,4,24.89,6,17.16,2,-,-,-,-,-,-,-,-,12.13,-,17.21,2
UTI Healthcare Fund - Regular Plan,938.43,1.78,4,0.97,5,6.55,2,5.56,2,5.73,2,12.67,5,28.61,4,28.1,5,45.41,3,29.84,6,12.29,8,24.47,7,15.94,4,13.23,3,15.62,3,17.28,3,15.8,3,14.75,-,15.93,5
