Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan,374.66,1.11,8,2.21,6,3.75,7,9.2,6,12.05,4,17.13,8,26.89,8,26.8,8,33.15,8,26.11,6,14.07,6,13.45,5,-,-,-,-,-,-,-,-,-,-,12.7,-,16.43,8
Axis Retirement Savings Fund - Dynamic Plan - Regular Plan,346.79,1.4,6,2.34,5,5.38,5,8.73,7,9.81,8,19.75,3,31.1,3,31.19,3,34.19,6,24.13,7,12.97,7,-,-,-,-,-,-,-,-,-,-,-,-,14.92,-,19.29,3
HDFC Retirement Savings Fund Equity Plan - Regular Plan,5159.41,1.27,7,2,7,5.12,6,9.33,5,10.87,6,18.2,6,31.01,4,30.79,5,38.21,5,34.82,3,23.25,2,23.31,1,18.42,1,-,-,-,-,-,-,-,-,21.03,-,18.09,5
ICICI Prudential Retirement Fund - Pure Equity Plan,795.85,1.52,4,1.73,8,2.42,8,7.63,8,10.73,7,23.67,1,43.87,1,43.39,1,55.81,1,37.49,1,30.72,1,22.95,2,-,-,-,-,-,-,-,-,-,-,22.82,-,23.72,1
Nippon India Retirement Fund - Wealth Creation Scheme,3102.31,2.03,3,3.82,1,6.18,2,11.08,3,13.38,2,21.47,2,34.62,2,34.59,2,45.61,2,35.4,2,21.95,3,15.82,4,12.99,3,-,-,-,-,-,-,-,-,11.88,-,20.74,2
SBI Retirement Benefit Fund - Aggressive Plan - Regular Plan,2413.54,1.4,5,2.68,4,5.8,3,12.44,1,13.32,3,18.14,7,27.86,7,27.6,7,33.41,7,30.09,4,21.77,4,-,-,-,-,-,-,-,-,-,-,-,-,23.67,-,16.8,7
Tata Retirement Savings Fund - Progressive Plan - Regular Plan,1866.16,2.12,1,2.83,3,6.37,1,11.27,2,14.31,1,18.82,4,30.99,5,31.12,4,40.26,3,29.94,5,17.13,5,16.57,3,14.12,2,15.18,1,16.01,1,-,-,-,-,15.8,-,18.03,6
Union Retirement Fund - Regular Plan,126.74,2.07,2,3.8,2,5.66,4,9.44,4,11.92,5,18.6,5,30.55,6,30.66,6,40.11,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.97,-,18.24,4
