Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Small Cap Fund - Regular Plan,4762.46,2.54,6,4.07,6,10.18,6,12.51,10,17.52,7,21.7,10,32.29,12,32.74,12,48.52,8,38.07,10,20.12,18,21.44,16,13.26,12,16.07,12,18.46,9,17.48,7,-,-,13.59,-,22.04,10
Axis Small Cap Fund - Regular Plan,20504.37,2.68,4,3.13,12,8.67,14,12.74,8,14.75,17,20.22,12,31.04,14,31.67,14,41.8,19,34.83,17,24.51,14,28.34,10,21.89,2,20.62,6,-,-,-,-,-,-,24.48,-,19.21,14
Bandhan Small Cap Fund - Regular Plan,5165.54,3.22,2,4.53,2,10.36,4,11.74,14,17.73,6,27.61,1,48.91,1,49.82,1,73.81,1,48.27,3,27.64,6,-,-,-,-,-,-,-,-,-,-,-,-,39.18,-,28.8,1
Canara Robeco Small Cap Fund - Regular Plan,10429.89,2.29,9,3.19,11,8.78,13,14.31,3,16.96,9,21.61,11,34.06,10,34.74,10,46.34,11,35.37,14,27.97,4,31.56,2,-,-,-,-,-,-,-,-,-,-,29.24,-,21.83,11
DSP Small Cap Fund - Regular Plan,13781.07,1.61,18,3.9,7,12.15,2,11.45,15,15.36,16,16.83,17,29.52,17,30.21,17,44.22,15,37.09,11,25.31,11,27.74,13,17.4,10,21.01,3,23.24,4,23.16,1,-,-,18.77,-,17.55,16
Edelweiss Small Cap Fund - Regular Plan,3421.55,1.96,13,2.4,20,9.56,9,12.06,12,15.61,14,20.08,13,34.26,9,35.55,9,50.46,7,40.83,8,26.93,8,31.21,3,-,-,-,-,-,-,-,-,-,-,31.15,-,20.07,12
Franklin India Smaller Companies Fund,12797.29,1.59,19,3.1,14,9.01,11,13.63,5,19.55,2,24.81,5,43.41,4,44.4,4,61.62,3,51.22,1,32.19,2,27.98,12,18.93,8,20.21,8,24.08,3,21.69,2,-,-,17.02,-,25.24,6
HDFC Small Cap Fund - Regular Plan,29175.05,1.76,17,2.88,15,8.31,17,8.33,20,11.16,20,16.97,16,27.91,18,28.98,18,43.09,17,44.01,6,26.54,9,26.07,15,20.3,5,20.22,7,21.15,6,19.08,4,-,-,17.38,-,17.13,17
HSBC Small Cap Fund,14787.25,1.92,14,3.5,10,9.82,7,13.74,4,19.19,4,25.9,2,38.59,6,39.34,6,57.66,5,44.9,4,31.18,3,29.17,8,19.98,6,20.62,5,-,-,-,-,-,-,22.9,-,25.18,7
