Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Pure Value Fund - Regular Plan,5775.03,2.48,1,3.86,1,6.53,2,7.78,10,9.09,10,17.92,11,33.55,9,33.62,9,51.93,4,41.52,2,23.11,7,19.93,8,13.18,10,13.86,9,18.72,6,17.42,4,-,-,16.84,-,18.23,9
Bandhan Sterling Value Fund - Regular Plan,9019.36,1.56,7,2.34,8,5.28,4,8.98,8,10.82,9,20.85,8,32.83,10,32.82,10,42.89,8,36.03,6,24.79,6,24.01,2,17.33,4,17.44,2,18.92,4,18.76,2,-,-,17.98,-,20.64,7
Canara Robeco Value Fund - Regular Plan,1183.15,1.82,3,2.57,6,4.06,11,9.06,7,11.44,8,18.35,9,33.61,8,33.81,8,40.41,11,35.44,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.89,-,17.73,11
HDFC Capital Builder Value Fund,6823.27,0.96,11,2.17,10,5.21,6,10.5,3,13.34,4,20.85,7,38.05,4,37.8,4,45.64,7,35.41,8,22.57,8,19.41,9,15.74,8,15.31,7,17.19,8,16.64,5,18.79,2,15.03,-,20.67,6
HSBC Value Fund,12373.16,1.36,9,2.55,7,5.26,5,12.05,2,15.17,3,27.45,1,43.92,3,44.35,1,61.13,1,46.19,1,28.46,1,24.28,1,17.8,3,18.79,1,21.48,1,-,-,-,-,17.88,-,27.19,1
ICICI Prudential Value Discovery Fund,42669.05,1.7,6,3.14,4,4.71,9,7.43,11,8.44,11,18.1,10,32.37,11,31.29,11,42.56,9,34.8,9,26.14,5,23.93,4,18.28,2,16.75,4,19.77,2,20.12,1,-,-,20.84,-,18.19,10
Nippon India Value Fund,7651.64,1.53,8,2.26,9,4.17,10,8.94,9,12.57,7,20.9,6,44.73,1,44.19,2,55.93,2,41.05,3,26.26,4,23.76,5,19,1,17.3,3,18.74,5,16.53,6,-,-,17.58,-,20.82,5
Quantum Long Term Equity Value Fund - Regular Plan,1084.59,1.17,10,2.11,11,6.31,3,10.32,5,13,6,21.53,5,35.58,7,34.86,7,42.02,10,31.73,11,19.44,10,16.96,10,13.82,9,13.1,10,15.07,10,15.4,8,-,-,14.46,-,20.5,8
Tata Equity PE Fund - Regular Plan,7904.83,2.39,2,3.66,2,4.92,8,10.21,6,15.51,2,24.25,2,44.41,2,43.93,3,52.22,3,40.28,4,26.75,3,21.32,6,16.33,7,16.74,5,18.99,3,17.62,3,19.49,1,19.57,-,24.22,2
Templeton India Value Fund,1978.03,1.79,4,2.92,5,4.96,7,10.39,4,13.02,5,21.82,4,37.83,5,37.18,6,48.68,5,39.92,5,27.42,2,23.94,3,17.18,6,16.33,6,17.3,7,15.72,7,18.01,3,17.2,-,21.92,4
UTI Value Fund - Regular Plan,9125.24,1.78,5,3.45,3,8.06,1,13.94,1,16.95,1,22.96,3,37.57,6,37.36,5,45.97,6,33.76,10,20.83,9,21.21,7,17.2,5,14.16,8,15.54,9,15.18,9,-,-,15.8,-,22.17,3
