Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Banking & PSU Debt Fund - Dir - Growth,349.38,03-Jul-2024,1792.15,May 2024,10110.5459, May 2024 ,13.58,7,9.61,7,7.72,4,7.13,6,8.98,3,7.47,4,7.95,12,7.72,6,7.41,7,7.14,7,5.88,5,5.8,5,7.05,8,7.16,7,8.12,1,8.44,1
Axis Banking & PSU Debt Fund - Dir - Growth,2497.11,03-Jul-2024,1054.85,May 2024,13660.3183, May 2024 ,10.53,12,7.6,19,7.02,15,6.55,14,7.46,22,6.57,19,7.35,22,7.17,21,7.01,20,6.57,20,5.56,13,5.42,11,6.72,10,7.18,6,7.58,9,7.79,10
Bajaj Finserv Banking and PSU Debt Fund - Dir - Growth,10.53,03-Jul-2024,1679,May 2024,97.1439, May 2024 ,3.47,20,8.83,14,7.93,3,6.96,7,8.73,10,6.56,20,7.93,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.24,2
Bandhan Banking & PSU Debt Fund - Dir - Growth,23.33,03-Jul-2024,1095,May 2024,14279.5675, May 2024 ,15.5,3,10.01,3,7.03,13,6.9,9,8.31,16,7.09,10,7.51,20,7.33,19,7.08,16,6.85,19,5.64,11,5.55,8,7.08,7,7.36,2,7.55,10,7.76,11
Baroda BNP Paribas Banking and PSU Bond Fund - Dir - Growth,11.84,03-Jul-2024,1814.05,May 2024,27.7409, May 2024 ,-6.17,22,4.76,22,7.2,10,5.93,21,8.83,6,6.45,22,7.97,11,7.33,18,7.3,9,6.89,15,5.19,17,--,--,--,--,--,--,--,--,4.87,22
Canara Robeco Banking and PSU Debt Fund - Dir - Growth,11.25,03-Jul-2024,1558.55,May 2024,380.184, May 2024 ,8.44,14,6.5,21,6.62,17,6.57,13,8.33,15,7.12,9,7.89,15,7.35,17,7.02,19,--,--,--,--,--,--,--,--,--,--,--,--,6.51,18
DSP Banking & PSU Debt Fund - Dir - Growth,22.91,03-Jul-2024,3098.85,May 2024,2505.1808, May 2024 ,19.13,1,10.15,2,9.09,1,8.86,1,10.37,1,7.63,2,9.18,1,8.21,1,7.66,2,7.12,8,5.71,8,5.45,9,6.92,9,6.97,11,7.72,6,7.97,6
Edelweiss Banking & PSU Debt Fund - Dir - Growth,23.36,03-Jul-2024,1861.5,May 2024,280.7015, May 2024 ,16.73,2,9.1,13,7.11,11,6.53,15,8.83,5,6.53,21,8.08,8,7.47,13,6.88,21,7.54,2,5.67,9,5.67,7,7.51,1,7.62,1,7.99,3,8.16,4
Franklin India Banking & PSU Debt Fund - Dir - Growth,21.55,03-Jul-2024,1189.9,May 2024,624.2537, May 2024 ,11.01,9,9.86,4,8.04,2,7.14,5,7.9,19,6.98,15,7.66,16,7.45,14,7.26,12,7.04,11,5.67,10,5.45,10,6.71,11,7.11,8,7.71,7,7.82,9
HDFC Banking and PSU Debt Fund - Dir - Growth,21.98,03-Jul-2024,1635.2,May 2024,6297.8934, May 2024 ,10.8,10,8.74,15,7.33,8,6.76,11,8.75,9,7.15,8,7.99,10,7.63,9,7.45,6,7.21,5,5.82,7,5.91,4,7.11,6,7.19,5,7.91,4,7.96,7
HSBC Banking and PSU Debt Fund - Dir - Growth,23.52,03-Jul-2024,678.9,May 2024,4731.5492, May 2024 ,10.56,11,9.71,6,7.48,7,7.34,4,7.8,20,6.96,16,7.45,21,7.37,16,7.06,17,6.92,14,4.91,20,4.93,14,6.47,13,6.6,13,7.28,11,7.48,13
ICICI Prudential Banking & PSU Debt Fund - Dir - Growth,31.38,03-Jul-2024,2091.45,May 2024,9403.8042, May 2024 ,14.31,6,9.26,9,6.61,18,6.93,8,8.57,13,7.57,3,8.06,9,7.69,8,7.8,1,7.81,1,6.42,2,6.31,2,7.21,4,7.09,9,8.04,2,8.19,3
Invesco India Banking and PSU Fund - Dir - Growth,2225.64,03-Jul-2024,2065.9,May 2024,122.8639, May 2024 ,7.72,15,9.81,5,7.27,9,6.28,18,8.99,2,7.01,13,8.33,3,7.95,2,7.46,5,7.05,10,4.92,19,4.87,16,6.16,15,6.55,14,6.94,14,7.16,15
