Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Corporate Bond Fund - Dir - Growth,105.27,03-Jul-2024,2022.1,May 2024,22042.2568, May 2024 ,14.64,3,9.07,6,7.27,7,7.07,5,9.47,2,7.88,2,8.56,3,8.06,2,7.83,3,7.62,4,6.11,4,6.09,4,7.32,3,7.4,1,8.02,3,8.19,2
Axis Corporate Debt Fund - Dir - Growth,16.48,03-Jul-2024,1857.85,May 2024,5282.1078, May 2024 ,13.07,5,8.05,9,7.54,4,6.87,8,9.04,3,7.53,6,8.3,5,7.96,4,7.7,5,7.53,5,6.18,3,6.3,2,7.67,1,--,--,--,--,7.42,12
Bandhan Corporate Bond Fund - Dir - Growth,18.15,03-Jul-2024,1452.7,May 2024,13808.9443, May 2024 ,17.31,1,9.56,4,6.7,15,6.38,14,8.79,7,7.33,9,7.15,21,7.13,21,7.12,16,6.82,17,5.4,16,5.42,13,6.7,14,6.81,10,--,--,7.28,14
Baroda BNP Paribas Corporate Bond Fund -  Dir - Growth,26.61,03-Jul-2024,1992.9,May 2024,149.1666, May 2024 ,4.39,20,5.34,21,6.72,14,5.88,19,8.52,11,6.73,20,8.22,7,7.69,8,7.25,11,7.23,9,5.09,18,5.06,17,6.39,17,5.23,13,6.64,12,6.84,18
Canara Robeco Corporate Bond Fund - Dir - Growth,21.48,03-Jul-2024,1467.3,May 2024,143.4014, May 2024 ,12.41,8,7.19,17,6.47,18,7.13,3,8.24,17,7.32,10,7.99,12,7.58,11,7.16,15,6.79,18,5.45,14,5.34,14,6.5,16,6.64,11,7.41,10,7.62,7
DSP Corporate Bond Fund - Dir - Growth,14.94,03-Jul-2024,1007.4,May 2024,2620.4588, May 2024 ,12.95,7,8.6,8,7.17,8,7.13,2,7.92,20,6.83,18,7.59,18,7.36,19,7.04,18,7.13,10,4.93,19,4.9,18,6.33,18,--,--,--,--,7.15,17
Franklin India Corporate Debt Fund - Dir - Growth,97.67,03-Jul-2024,1149.75,May 2024,760.9793, May 2024 ,9.79,12,9.76,2,7.64,1,6.97,6,7.92,21,7.26,12,7.56,19,7.39,18,7.21,12,6.93,14,5.69,10,5.93,7,6.61,15,7.11,7,8.07,2,8.32,1
HDFC Corporate Bond Fund - Dir - Growth,30.48,03-Jul-2024,2029.4,May 2024,28959.046, May 2024 ,6.83,17,7.8,13,7.44,5,7.11,4,9.02,4,7.6,4,8.6,2,7.87,6,7.86,1,7.74,2,6.02,5,5.96,5,7.25,4,7.32,3,7.98,5,8.09,4
HSBC Corporate Bond Fund - Dir - Growth,71.22,03-Jul-2024,1657.1,May 2024,5965.2727, May 2024 ,7.48,16,9.6,3,7.58,2,6.69,10,8.87,5,6.78,19,8.01,11,7.52,14,6.98,21,7.42,7,5.52,12,5.3,15,7.13,6,7.32,4,7.78,7,7.59,8
ICICI Prudential Corporate Bond Fund - Dir -  Growth,28.7,03-Jul-2024,1682.65,May 2024,27285.7316, May 2024 ,12.98,6,9.16,5,6.8,11,6.82,9,8.37,15,7.65,3,8.01,10,7.68,9,7.84,2,7.9,1,6.38,2,6.25,3,7.37,2,7.35,2,7.94,6,8.19,3
Invesco India Corporate Bond Fund - Dir - Growth,3115.8,03-Jul-2024,1700.9,May 2024,3488.2441, May 2024 ,9.5,13,7.87,12,6.64,16,6.39,13,8.83,6,7.33,8,8.09,9,7.78,7,7.43,8,7.06,11,5.58,11,5.51,10,6.86,12,6.34,12,7.41,11,7.35,13
Kotak Corporate Bond Fund - Dir - Growth,3602.37,03-Jul-2024,1981.95,May 2024,12541.1013, May 2024 ,9.02,14,6.96,18,6.23,19,6.19,17,8.56,10,7.55,5,8.25,6,7.9,5,7.62,7,7.3,8,5.96,6,5.89,8,6.88,11,7.19,5,8.13,1,7.97,5
Mirae Asset Corporate Bond Fund - Dir - Growth,11.92,03-Jul-2024,1748.35,May 2024,47.0769, May 2024 ,4.9,19,8.85,7,6.75,13,6.17,18,8.47,12,7.23,13,8.18,8,7.44,17,7.02,19,6.88,16,5.44,15,--,--,--,--,--,--,--,--,5.48,21
