Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Credit Risk Fund - Dir - Growth,20.84,03-Jul-2024,1467.3,May 2024,927.0498, May 2024 ,16.64,2,9.12,1,7.21,8,15.73,1,13.57,1,11.1,1,10.05,1,9.2,4,8.72,4,9.62,3,8.04,6,8.64,5,7.69,7,7.49,4,--,--,8.29,5
Axis Credit Risk Fund - Dir - Growth,21.84,03-Jul-2024,868.7,May 2024,452.6463, May 2024 ,12.03,9,7.17,11,7.71,4,7.34,7,8.8,7,8.03,7,8.42,7,8.17,9,7.97,9,7.86,8,6.77,10,7.3,11,7.69,8,7.11,6,--,--,8.15,7
Bandhan Credit Risk Fund - Dir - Growth,16.4,03-Jul-2024,1346.85,May 2024,346.1399, May 2024 ,14.92,4,8.15,6,7.76,3,7.7,4,9.28,5,8.21,4,8.29,10,8.08,11,7.52,12,7.24,13,5.94,13,6.12,14,6.7,11,6.81,8,--,--,6.97,11
Bank of India Credit Risk Fund - Dir - Growth,11.75,03-Jul-2024,204.4,May 2024,129.0861, May 2024 ,8.7,14,-5.01,14,0.13,14,3.22,14,2.88,14,3.63,14,7.04,14,6.6,14,6.52,14,6.01,14,39.58,1,32.93,1,10.68,1,-1.03,14,--,--,1.74,14
Baroda BNP Paribas Credit Risk Fund - Dir - Growth,22.27,03-Jul-2024,1007.4,May 2024,149.0507, May 2024 ,13.44,6,6.73,12,7.01,9,7.44,6,8.61,11,8.04,6,8.56,6,8.38,7,8.24,7,8.24,6,9.9,4,11.26,2,8.48,3,7.74,2,--,--,8.84,2
DSP Credit Risk Fund - Dir - Growth,43.79,03-Jul-2024,1080.4,May 2024,194.0213, May 2024 ,13.76,5,8.48,4,7.5,6,6.97,8,8.78,9,8.01,8,8.35,9,19.03,1,16.32,1,11.74,1,10.63,3,9.65,3,8.49,2,6.53,9,7.64,5,7.92,8
HDFC Credit Risk Debt Fund - Dir - Growth,23.78,03-Jul-2024,1168,May 2024,7980.0541, May 2024 ,12.74,8,7.44,10,6.27,11,6.59,11,8.63,10,6.97,13,8.37,8,8.14,10,7.82,10,7.65,10,6.45,12,7.5,8,7.93,5,7.6,3,8.65,2,8.79,3
HSBC Credit Risk Fund - Dir - Growth,28.66,03-Jul-2024,1153.4,May 2024,576.0032, May 2024 ,13.25,7,8.27,5,7.65,5,6.89,10,8.36,12,7.72,9,7.67,13,7.37,13,7.54,11,7.32,12,6.55,11,7.41,9,5.86,12,5.72,10,7.09,6,7.21,10
ICICI Prudential Credit Risk Fund - Dir -  Growth,31.87,03-Jul-2024,1124.2,May 2024,6912.5028, May 2024 ,11.8,10,8.83,3,6.48,10,5.54,13,9.66,4,7.67,10,8.6,4,8.97,5,8.55,5,8.07,7,7.12,9,7.65,7,8.23,4,8.09,1,8.73,1,8.86,1
Invesco India Credit Risk Fund - Dir - Growth,1930.24,03-Jul-2024,1237.35,May 2024,140.0681, May 2024 ,15.08,3,8.9,2,7.45,7,6.94,9,9.1,6,8.12,5,8.29,11,10.3,2,9.46,2,10.05,2,7.6,7,6.94,12,7.59,9,5.42,12,--,--,6.91,12
Kotak Credit Risk Fund - Dir - Growth,30.48,03-Jul-2024,1098.65,May 2024,822.1139, May 2024 ,22.29,1,7.98,7,6.15,12,7.58,5,9.79,3,7.27,11,9.44,2,9.74,3,9.14,3,7.76,9,5.78,14,6.43,13,6.76,10,6.95,7,8.08,4,8.23,6
Nippon India Credit Risk Fund - Dir - Growth,34.97,03-Jul-2024,784.75,May 2024,1028.6932, May 2024 ,10.96,11,7.83,8,8.47,1,8.07,3,8.79,8,8.24,3,8.59,5,8.35,8,8.39,6,8.31,5,9.25,5,9.28,4,5.58,13,5.51,11,6.93,7,7.33,9
SBI Credit Risk Fund - Dir - Growth,45.13,03-Jul-2024,1430.8,May 2024,2463.9303, May 2024 ,10.68,12,7.74,9,8,2,12.98,2,10.86,2,9.31,2,8.87,3,8.4,6,8.14,8,8.48,4,7.14,8,7.34,10,7.76,6,7.4,5,8.36,3,8.63,4
