Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
360 ONE Dynamic Bond Fund - Dir - Growth,21.63,03-Jul-2024,2358.45,May 2024,734.0126, May 2024 ,20.1,17,6.88,11,5.16,11,6.1,12,10.06,18,7.19,21,9.86,13,9.13,10,8.16,12,7.55,15,6.38,10,6.58,5,6.93,10,6.82,8,7.61,14,7.24,17
Aditya Birla Sun Life Dynamic Bond Fund - Dir - Growth,45.29,03-Jul-2024,5051.6,May 2024,1698.5684, May 2024 ,27.26,7,7.34,7,5.2,10,5.89,14,13.01,11,9.44,8,9.69,17,8.94,14,8.01,16,9.35,1,7.22,2,7.18,2,6.19,17,5.68,19,7.43,15,7.63,15
Axis Dynamic Bond Fund - Dir - Growth,29.76,03-Jul-2024,3376.25,May 2024,1702.6581, May 2024 ,18.04,20,6.42,13,6.7,3,7.44,8,10.2,16,7.31,20,9.03,18,7.91,20,7.27,19,7.92,13,5.56,17,5.54,13,7.23,8,7.26,5,8.49,6,8.49,4
Bandhan Dynamic Bond Fund - Dir - Growth,35.19,03-Jul-2024,10606.9,May 2024,2366.0102, May 2024 ,33.74,1,2.61,22,5.34,9,12.28,1,20.09,1,12.59,1,15.11,1,12.56,1,10.14,1,8.77,3,6.24,11,5.66,12,7.53,5,7.37,3,8.72,3,8.57,3
Baroda BNP Paribas Dynamic Bond Fund -  Dir - Growth,46.77,03-Jul-2024,5018.75,May 2024,141.5909, May 2024 ,27.8,6,7.04,9,5.96,5,6.16,11,13.14,10,10.1,5,10.24,9,9.1,12,8.08,13,8.72,4,6.57,6,5.74,11,6.72,12,6.5,12,7.93,9,8.05,9
Canara Robeco Dynamic Bond Fund - Dir - Growth,30.04,03-Jul-2024,7029.9,May 2024,109.2413, May 2024 ,25.65,12,7.39,4,5.11,12,7.76,7,13.45,7,9.25,11,10.65,8,9.51,8,8.06,14,7.74,14,5.83,13,5.15,18,6.27,16,6.12,16,7.7,12,7.87,12
DSP Strategic Bond Fund - Dir - Growth,3315.52,03-Jul-2024,11446.4,May 2024,1015.214, May 2024 ,29.73,2,5.39,18,6.76,2,10.94,2,17.03,2,11.34,2,13.18,2,10.73,2,9.37,3,8.59,7,6.66,5,5.86,10,8.04,3,7.22,6,8.15,7,8.2,7
Groww Dynamic Bond Fund - Dir - Growth,1413.49,03-Jul-2024,1602.35,May 2024,38.321, May 2024 ,20.66,16,7.39,5,5,13,5.43,17,8.02,22,6.96,22,7.64,22,7.85,21,6.86,22,6.56,22,5.3,19,5.27,17,5.84,20,--,--,--,--,6.39,20
HDFC Dynamic Debt Fund - Dir - Growth,90.99,03-Jul-2024,5102.7,May 2024,679.4035, May 2024 ,26.7,9,6,16,4.83,16,6.64,9,12.67,12,9.25,12,9.79,15,9.12,11,8.44,6,8.23,9,5.88,12,6.97,3,7.57,4,6.06,17,7.64,13,7.77,14
HSBC Dynamic Bond Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),29.39,03-Jul-2024,4390.95,May 2024,160.5562, May 2024 ,26.34,11,7.02,10,4.88,15,6.03,13,12.65,13,9.36,10,9.97,11,9.15,9,8.16,11,7.34,18,5.59,16,5.09,19,6.51,14,6.73,10,8.09,8,8.02,10
ICICI Prudential All Seasons Bond Fund - Dir - Growth,36.38,03-Jul-2024,2974.75,May 2024,12570.6762, May 2024 ,18.77,19,7.09,8,6.26,4,5.38,18,10.13,17,8.55,14,8.53,20,8.61,17,8.24,10,8.78,2,6.9,3,6.93,4,8.15,2,7.78,2,9.31,1,9.71,1
ITI Dynamic Bond Fund - Dir - Growth,12.02,03-Jul-2024,4588.05,May 2024,37.5867, May 2024 ,27.96,5,6.38,14,2.95,22,3.34,21,11.83,14,7.84,17,10.14,10,9.06,13,8.27,9,7.46,16,--,--,--,--,--,--,--,--,--,--,6.39,21
JM Dynamic Bond Fund - Dir - Growth,40.51,03-Jul-2024,2895.69,May 2024,40.2568, May 2024 ,28.41,4,8.3,1,4.4,18,4.67,19,10.4,15,7.81,18,8.54,19,7.97,19,7.04,21,6.82,21,5.79,14,5.44,14,5.97,18,6.49,13,7.27,16,7.49,16
