Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Floating Rate Fund - Dir - Growth,329.94,03-Jul-2024,773.8,May 2024,12802.2377, May 2024 ,9.05,11,9.66,3,8.51,3,8.03,7,7.84,12,7.55,11,8.13,8,7.77,8,7.88,9,7.54,8,6.33,4,6.02,6,6.77,5,7.06,4,7.69,3,7.97,3
Axis Floater Fund - Dir - Growth,1203.1,03-Jul-2024,5580.85,May 2024,249.5686, May 2024 ,25.64,1,7.11,13,5.38,13,6.59,13,13.52,1,10.22,1,10.21,1,9.49,1,8.65,3,7.93,4,--,--,--,--,--,--,--,--,--,--,6.51,9
Bandhan Floating Rate Fund - Dir - Growth,12.04,03-Jul-2024,1317.65,May 2024,205.2852, May 2024 ,17.59,2,8.72,9,7.47,12,7.5,11,9.18,3,8.21,5,7.72,11,7.58,11,7.43,12,7.06,11,5.81,9,--,--,--,--,--,--,--,--,5.65,13
Baroda BNP Paribas Floater Fund - Dir - Growth,11.03,03-Jul-2024,2562.3,May 2024,20.1696, May 2024 ,12.25,7,9.57,4,8.92,1,11.06,1,7.96,11,8.42,4,9,3,8.27,3,8.48,5,--,--,--,--,--,--,--,--,--,--,--,--,8.57,1
DSP Floater Fund - Dir - Growth,12.22,03-Jul-2024,2847,May 2024,869.5396, May 2024 ,12.85,5,7.31,12,8.6,2,9.24,3,10.16,2,8.62,2,9.46,2,8.73,2,8.77,1,7.9,5,6.22,6,--,--,--,--,--,--,--,--,6.28,10
Franklin India Floating Rate Fund - Dir - Growth,40.64,03-Jul-2024,2138.9,May 2024,279.6636, May 2024 ,12.4,6,10.19,1,7.89,7,8.76,4,8.39,5,8.54,3,8.88,4,8.18,4,8.56,4,8.11,2,6.52,2,6.16,4,6.46,7,6.67,5,6.81,5,6.94,7
HDFC Floating Rate Debt Fund - Dir - Growth,46.84,03-Jul-2024,1470.95,May 2024,14535.7097, May 2024 ,13.02,4,10.16,2,8.46,4,8.59,6,8.2,8,7.98,9,8.41,7,7.85,7,8.2,7,7.96,3,6.4,3,6.41,2,7.01,3,7.14,3,7.63,4,7.85,5
ICICI Prudential Floating Interest Fund - Dir -  Growth,425.89,03-Jul-2024,2460.1,May 2024,9728.1169, May 2024 ,14.56,3,9.31,7,8.3,6,9.48,2,7.98,10,8.19,6,8.58,5,7.88,5,8.66,2,8.82,1,6.71,1,6.83,1,7.47,1,7.49,1,8.06,1,8.27,2
Kotak Floating Rate Fund - Dir - Growth,1415.29,03-Jul-2024,1737.4,May 2024,3800.8219, May 2024 ,11.38,8,9.01,8,8.43,5,8.65,5,8.35,6,8.18,7,8.1,10,7.76,9,8,8,7.6,6,6.19,7,6.32,3,6.97,4,--,--,--,--,6.99,6
Nippon India Floating Rate Fund - Dir - Growth,43.55,03-Jul-2024,1251.95,May 2024,7955.5306, May 2024 ,9.39,10,7.94,11,7.63,9,7.54,9,8.16,9,7.32,12,8.11,9,7.69,10,7.71,10,7.31,9,6.03,8,6.03,5,7.2,2,7.14,2,7.74,2,7.92,4
SBI Floating Rate Debt Fund - Dir - Growth,12.39,03-Jul-2024,1412.55,May 2024,1146.5945, May 2024 ,10.61,9,9.57,5,7.49,11,7.7,8,8.96,4,8.11,8,8.55,6,7.86,6,8.44,6,7.54,7,6.27,5,--,--,--,--,--,--,--,--,5.98,12
Tata Floating Rate Fund - Dir - Growth,11.93,03-Jul-2024,751.9,May 2024,209.8657, May 2024 ,3.67,13,8.1,10,7.52,10,7.5,10,8.22,7,7.73,10,7.71,12,7.4,12,7.53,11,7.21,10,--,--,--,--,--,--,--,--,--,--,6.07,11
UTI Floater Fund - Dir - Growth,1450.99,03-Jul-2024,390.55,May 2024,1394.2862, May 2024 ,7.4,12,9.4,6,7.66,8,7.04,12,7.24,13,6.86,13,7.51,13,7.39,13,7.27,13,7.06,12,5.81,10,5.55,7,6.47,6,--,--,--,--,6.77,8
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
