Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Bandhan Government Securities Fund Constant Maturity Plan - Dir - Growth,42.18,03-Jul-2024,3660.95,May 2024,336.9898, May 2024 ,30.75,1,8,1,5.18,1,6.1,1,12.77,1,9.48,1,10.58,1,9.71,1,7.97,1,8.34,1,5.13,3,4.71,3,6.69,2,8.05,1,8.63,2,8.95,1
DSP 10Y G-Sec Fund - Dir - Growth,20.36,03-Jul-2024,3533.2,May 2024,49.779, May 2024 ,27.81,2,5.36,5,2,5,2.37,5,11.41,4,8.75,4,9.37,4,8.79,5,7.36,5,8.15,4,3.99,4,3.95,4,5.96,4,5.88,4,--,--,7.54,5
ICICI Prudential Constant Maturity Gilt Fund - Dir - Growth,22.87,03-Jul-2024,3642.7,May 2024,2994.408, May 2024 ,26.51,4,6.62,3,4.33,3,3.66,3,11.17,5,8.58,5,9.34,5,8.81,4,7.39,4,8.19,3,5.38,2,5.12,1,7.1,1,7.56,3,--,--,8.79,3
SBI Magnum Constant Maturity Fund - Dir - Growth  ,60.25,03-Jul-2024,3591.6,May 2024,1620.541, May 2024 ,25.22,5,6.63,2,4.51,2,4.63,2,11.83,2,8.94,2,9.79,2,9.13,2,7.6,2,8.34,2,5.6,1,5.04,2,6.63,3,7.62,2,8.72,1,8.84,2
UTI Gilt Fund with 10 year Constant Duration - Dir - Growth,11.61,03-Jul-2024,3602.55,May 2024,163.328, May 2024 ,27.05,3,6.43,4,3.71,4,3.35,4,11.56,3,8.88,3,9.69,3,9,3,7.58,3,--,--,--,--,--,--,--,--,--,--,--,--,8.08,4
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,--,--,25.22,--,5.36,--,2,--,2.37,--,11.17,--,8.58,--,9.34,--,8.79,--,7.36,--,8.15,--,3.99,--,3.95,--,5.96,--,5.88,--,8.63,--,7.54,--
Maximum,--,--,--,--,--,--,30.75,--,8,--,5.18,--,6.1,--,12.77,--,9.48,--,10.58,--,9.71,--,7.97,--,8.34,--,5.6,--,5.12,--,7.1,--,8.05,--,8.72,--,8.95,--
Average,--,--,--,--,--,--,27.47,--,6.61,--,3.95,--,4.02,--,11.75,--,8.93,--,9.75,--,9.09,--,7.58,--,8.25,--,5.03,--,4.71,--,6.6,--,7.28,--,8.68,--,8.44,--
"* Less than 1 year Simple Annualized returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
