Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life GSec Fund - Dir - Growth,80.67,03-Jul-2024,7168.6,May 2024,1777.8334, May 2024 ,28.12,11,5.07,17,3.49,20,7.35,8,14.61,7,10.02,11,11.59,7,10.53,6,8.87,8,8.4,9,6.24,10,5.78,9,7.32,8,7.26,8,9.11,4,8.92,4
Axis Gilt Fund - Dir - Growth,24.97,03-Jul-2024,6011.55,May 2024,353.8533, May 2024 ,27.65,14,5.69,14,5.12,9,6.74,10,14.09,9,10.58,6,11.64,6,10.7,5,9.08,5,8.25,11,6.16,12,5.94,6,7.56,7,7.17,9,8.23,12,7.65,15
Bandhan Government Securities Fund Investment Plan - Dir - Growth,35.49,03-Jul-2024,10566.75,May 2024,2190.8788, May 2024 ,34.07,1,2.98,21,5.67,3,12.63,1,20.41,1,12.93,1,15.57,1,12.93,1,10.45,1,8.99,3,6.43,5,5.79,8,7.77,3,7.79,3,9.09,5,9.02,3
Baroda BNP Paribas Gilt Fund - Dir - Growth,42.6,03-Jul-2024,3452.9,May 2024,1626.1293, May 2024 ,22.12,18,5.78,13,5.08,11,5,18,11.2,16,8.55,16,10.39,16,8.94,17,7.6,19,8.17,12,5.78,15,5.15,14,6.26,17,6.41,14,7.8,18,7.76,14
Canara Robeco Gilt Fund - Dir - Growth,75.21,03-Jul-2024,7643.1,May 2024,109.2119, May 2024 ,29.34,10,7.7,3,5.43,7,7.36,7,13.85,13,9.89,13,11.23,8,10.08,10,8.56,10,8.02,14,5.93,13,5.26,12,6.48,13,6.37,15,8.33,11,8.17,11
DSP Gilt Fund - Dir - Growth,94.21,03-Jul-2024,12563.3,May 2024,1012.2802, May 2024 ,31.95,4,3.44,20,5.97,2,11.03,2,17.41,3,11.43,3,13.62,3,11.52,3,9.56,3,8.86,4,6.7,4,6.15,4,7.96,1,7.83,2,8.87,8,8.3,10
Edelweiss G Sec Fund - Dir - Growth,24.13,03-Jul-2024,4675.65,May 2024,147.8937, May 2024 ,30.58,6,6.27,7,4.07,18,4.77,19,14.11,8,10.15,9,13.03,4,11.12,4,9.17,4,8.41,8,6.41,6,6.53,1,7.59,6,7.98,1,9.01,6,8.85,5
Franklin India Government Securities Fund - Dir - Growth,59.12,03-Jul-2024,1788.5,May 2024,143.2845, May 2024 ,16.55,20,7.84,2,5.99,1,5.88,15,8.46,21,7.4,21,7.28,21,6.88,21,6.31,21,6.24,19,4.96,19,4.21,19,5.23,19,5.08,19,7.28,19,7.11,21
HDFC Gilt Fund - Dir - Growth,53.5,03-Jul-2024,4715.8,May 2024,2418.1637, May 2024 ,26.42,15,6.18,8,4.89,13,6.27,13,12.86,14,9.76,14,9.46,18,9.01,16,8.06,16,7.87,15,5.67,17,5.09,17,6.34,16,6.04,18,7.91,16,7.62,17
HSBC Gilt Fund - Dir - Growth,69.96,03-Jul-2024,6263.4,May 2024,199.4531, May 2024 ,30.55,7,5.98,11,4.49,15,6.87,9,14.02,10,10.14,10,11.08,10,10.25,8,8.63,9,7.84,16,5.88,14,5.28,11,6.67,11,6.74,12,8.5,9,8.76,6
ICICI Prudential Gilt Fund - Dir - Growth,101.08,03-Jul-2024,3869,May 2024,6289.2935, May 2024 ,19.8,19,5.64,15,4.26,16,3.67,20,10.16,18,8.13,18,8.43,20,8.15,19,8.33,13,9.1,2,6.85,1,6.24,2,7.92,2,7.44,6,9.11,3,8.63,7
Invesco India Gilt Fund - Dir - Growth,2899.62,03-Jul-2024,8051.9,May 2024,499.6126, May 2024 ,30.38,8,5.04,18,4.99,12,8.3,5,17.49,2,11.65,2,13.78,2,12.08,2,9.85,2,8.43,7,6.33,7,5.14,15,6.14,18,6.14,17,7.83,17,7.62,18
Kotak Gilt Fund - Dir - Growth,101.14,03-Jul-2024,10559.45,May 2024,3422.0929, May 2024 ,32.87,2,5.49,16,5.3,8,9.85,3,16.1,4,11.19,4,10.62,13,10.06,11,9.02,7,9.15,1,6.7,3,6.13,5,7.65,5,7.42,7,8.9,7,8.41,8
