Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
360 ONE Liquid Fund - Dir - Growth,1890.84,03-Jul-2024,42.92,May 2024,1002.8121, May 2024 ,7.1,30,8.32,29,7.41,28,7.16,28,7.08,30,7.04,30,7.27,30,7.24,30,7.19,30,6.79,29,5.67,29,4.97,30,4.91,32,5.41,28,6.02,28,6.17,30
Aditya Birla Sun Life Liquid Fund - Dir - Growth,397.15,03-Jul-2024,51.1,May 2024,44331.3782, May 2024 ,7.68,8,8.79,3,7.64,2,7.37,1,7.27,2,7.27,2,7.52,2,7.48,2,7.41,3,7.01,1,5.9,1,5.25,3,5.34,4,5.9,4,6.54,3,6.92,4
Axis Liquid Fund - Dir - Growth,2734.65,03-Jul-2024,48,May 2024,36518.0337, May 2024 ,7.18,26,8.71,13,7.63,8,7.3,10,7.21,12,7.22,14,7.49,11,7.45,9,7.39,8,6.97,7,5.87,9,5.22,9,5.3,11,5.87,10,6.51,7,6.87,9
Bajaj Finserv Liquid Fund - Dir  - Growth,1073.93,03-Jul-2024,47,May 2024,2594.9018, May 2024 ,7.86,3,8.8,2,7.63,6,7.31,7,7.25,4,7.24,6,7.51,3,7.48,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.41,1
Bandhan Liquid Fund - Dir - Growth,2972.45,03-Jul-2024,44,May 2024,14555.7174, May 2024 ,7.12,28,8.52,22,7.56,19,7.28,16,7.18,21,7.18,22,7.47,18,7.43,19,7.38,15,6.95,15,5.84,15,5.17,22,5.2,25,5.75,23,6.41,23,6.78,24
Bank of India Liquid Fund - Dir - Growth,2833.37,03-Jul-2024,47.45,May 2024,1654.6004, May 2024 ,7.29,24,8.47,24,7.53,25,7.27,21,7.22,10,7.22,13,7.49,10,7.46,5,7.4,4,6.97,5,5.88,5,5.21,11,5.25,17,5.83,15,6.47,13,6.84,13
Baroda BNP Paribas Liquid Fund - Dir - Growth,2837.3,03-Jul-2024,43,May 2024,8972.7134, May 2024 ,7.17,27,8.51,23,7.53,24,7.27,20,7.17,24,7.17,24,7.44,24,7.4,24,7.37,19,6.96,12,5.88,6,5.23,5,5.3,10,5.88,8,6.53,4,6.9,5
Canara Robeco Liquid - Dir - Growth,2948.58,03-Jul-2024,25.55,May 2024,3790.2796, May 2024 ,7.41,22,8.73,8,7.64,4,7.31,6,7.2,17,7.2,18,7.47,16,7.43,18,7.38,14,6.97,8,5.83,18,5.16,25,5.1,26,5.68,26,6.32,26,6.7,28
DSP Liquidity Fund - Dir - Growth,3516.8,03-Jul-2024,43.8,May 2024,13929.3618, May 2024 ,7.73,6,8.73,6,7.65,1,7.3,9,7.22,8,7.22,11,7.48,12,7.43,17,7.37,18,6.93,18,5.84,17,5.18,17,5.25,19,5.83,16,6.47,14,6.83,15
Edelweiss Liquid Fund - Dir - Growth,3178.36,03-Jul-2024,57.21,May 2024,5095.6617, May 2024 ,7.57,13,8.37,27,7.53,26,7.3,12,7.29,1,7.33,1,7.59,1,7.52,1,7.43,1,7,2,5.88,4,5.25,4,5.35,3,5.91,3,6.43,17,6.81,18
Franklin India Liquid Fund - Dir - Growth,3695.83,03-Jul-2024,34.74,May 2024,2131.3953, May 2024 ,7.83,4,8.83,1,7.61,11,7.32,4,7.2,16,7.21,17,7.46,20,7.42,21,7.36,21,6.92,20,5.83,20,5.17,23,5.32,6,5.89,5,6.55,2,6.93,3
Groww Liquid Fund - Dir- Growth,2383.79,03-Jul-2024,36,May 2024,213.8788, May 2024 ,6.89,32,8.74,5,7.55,20,7.26,22,7.17,25,7.25,5,7.5,5,7.44,11,7.37,17,6.79,27,5.64,30,5.03,28,5.09,27,5.7,25,6.43,20,6.8,22
HDFC Liquid Fund - Dir - Growth,4833.26,03-Jul-2024,36,May 2024,56818.1937, May 2024 ,7.88,2,8.62,17,7.56,18,7.25,26,7.15,27,7.15,27,7.43,26,7.39,26,7.33,25,6.9,25,5.81,27,5.15,26,5.22,22,5.77,22,6.42,22,6.8,23
