Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Long Duration Fund - Dir - Growth,11.92,03-Jul-2024,8285.5,May 2024,123.2561, May 2024 ,31.88,2,6.35,2,6.49,4,8.43,5,15.77,6,10.64,6,13.31,6,10.87,6,8.87,6,--,--,--,--,--,--,--,--,--,--,--,--,9.65,5
Axis Long Duration Fund - Dir - Growth,1159.48,03-Jul-2024,10873.35,May 2024,256.4741, May 2024 ,22.8,7,6.3,3,5.35,7,13.34,1,20.77,1,13.28,1,15.53,3,12.57,3,10.74,3,--,--,--,--,--,--,--,--,--,--,--,--,10.24,3
HDFC Long Duration Debt Fund - Dir - Growth,11.49,03-Jul-2024,10741.95,May 2024,2941.0354, May 2024 ,29.24,4,5.18,5,6.03,5,12.84,2,20.4,2,12.44,3,16.05,2,12.95,2,10.84,2,--,--,--,--,--,--,--,--,--,--,--,--,10.06,4
ICICI Prudential Long Term Bond Fund - Dir - Growth,89.63,03-Jul-2024,3956.6,May 2024,840.893, May 2024 ,23.88,6,6.08,4,6.87,3,6.92,7,12.33,7,9.33,7,11.77,7,10.24,7,8.33,7,8.67,2,5.52,2,4.75,2,6.31,2,6.79,1,8.43,1,8.14,7
Nippon India Nivesh Lakshya Fund - Dir - Growth,16.86,03-Jul-2024,7748.95,May 2024,7706.4282, May 2024 ,31.86,3,3.99,7,7.29,2,10.81,4,20.22,4,11.51,4,14.9,5,11.88,5,9.35,5,10.36,1,7.04,1,5.39,1,6.92,1,--,--,--,--,9.1,6
SBI Long Duration Fund - Dir - Growth,11.63,03-Jul-2024,11059.5,May 2024,1847.4668, May 2024 ,33.6,1,4.89,6,7.73,1,12.62,3,20.27,3,12.58,2,16.05,1,12.97,1,10.93,1,--,--,--,--,--,--,--,--,--,--,--,--,10.36,2
UTI Long Duration Fund - Dir - Growth,11.38,03-Jul-2024,6449.55,May 2024,89.0664, May 2024 ,28.9,5,7.39,1,5.63,6,7.62,6,15.87,5,10.86,5,15.24,4,12.32,4,10.03,4,--,--,--,--,--,--,--,--,--,--,--,--,10.44,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,--,--,22.8,--,3.99,--,5.35,--,6.92,--,12.33,--,9.33,--,11.77,--,10.24,--,8.33,--,8.67,--,5.52,--,4.75,--,6.31,--,6.79,--,8.43,--,8.14,--
Maximum,--,--,--,--,--,--,33.6,--,7.39,--,7.73,--,13.34,--,20.77,--,13.28,--,16.05,--,12.97,--,10.93,--,10.36,--,7.04,--,5.39,--,6.92,--,6.79,--,8.43,--,10.44,--
Average,--,--,--,--,--,--,28.88,--,5.74,--,6.48,--,10.37,--,17.95,--,11.52,--,14.69,--,11.97,--,9.87,--,9.52,--,6.28,--,5.07,--,6.62,--,6.79,--,8.43,--,9.71,--
"* Less than 1 year Simple Annualized returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
