Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Low Duration Fund - Dir - Growth,672.24,03-Jul-2024,474.5,May 2024,12133.8755, May 2024 ,10.37,6,9.71,8,8.47,4,8.01,4,7.87,2,7.57,6,7.92,5,7.74,1,7.69,4,7.43,4,6.31,3,6.13,6,6.85,3,7.16,1,7.71,2,7.99,1
Axis Treasury Advantage Fund - Dir - Growth,2996.4,03-Jul-2024,411,May 2024,5468.0517, May 2024 ,9.94,10,9.13,17,8.16,8,7.75,9,7.66,8,7.56,7,7.92,6,7.64,6,7.55,9,7.24,8,6.06,9,5.76,11,6.45,11,6.88,5,7.39,5,7.69,5
Bandhan Low Duration Fund - Dir - Growth,36.63,03-Jul-2024,367,May 2024,5064.2266, May 2024 ,9.77,13,9.5,12,7.71,19,7.46,19,7.48,18,7.19,19,7.5,20,7.41,17,7.27,20,6.98,17,5.74,20,5.37,19,6.07,18,6.48,12,7.15,11,7.48,9
Baroda BNP Paribas Low Duration Fund -  Dir - Growth,40.59,03-Jul-2024,284.7,May 2024,225.4957, May 2024 ,8.9,16,9.76,6,8.01,15,7.7,13,7.65,9,7.41,13,7.7,14,7.55,12,7.61,7,7.24,7,5.98,11,5.76,12,6.56,10,6.76,6,7.3,7,7.61,7
Canara Robeco Savings Fund - Dir - Growth,40.12,03-Jul-2024,365,May 2024,884.1669, May 2024 ,8.55,19,8.96,19,7.64,20,7.58,18,7.47,19,7.23,18,7.56,18,7.39,18,7.41,13,6.98,15,5.75,19,5.28,20,5.88,20,6.31,14,6.96,12,7.25,12
DSP Low Duration Fund - Dir - Growth,18.97,03-Jul-2024,372.3,May 2024,4315.8013, May 2024 ,9.82,12,9.67,9,8.04,12,7.73,10,7.61,11,7.4,14,7.72,13,7.45,14,7.35,16,7.02,14,5.86,15,5.48,17,6.38,12,6.6,11,--,--,7.11,15
HDFC Low Duration Fund - Dir - Growth,57.85,03-Jul-2024,751.9,May 2024,17516.2999, May 2024 ,9.66,14,10.02,2,8.39,5,8.1,3,7.78,4,7.72,3,8.02,3,7.65,5,7.82,2,7.57,2,6.24,4,6.21,5,6.75,6,6.95,3,7.48,4,7.69,4
HSBC Low Duration Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),27.63,03-Jul-2024,549,May 2024,421.8997, May 2024 ,10.31,7,9.77,5,8.02,13,7.93,5,7.68,6,7.6,5,7.89,7,7.67,4,7.77,3,7.26,5,6.06,8,6.86,3,6.62,9,6.43,13,7.23,8,7.43,10
ICICI Prudential Savings Fund - Dir -  Growth,509.55,03-Jul-2024,795.7,May 2024,19172.1975, May 2024 ,10.81,4,9.39,13,8.02,14,7.89,8,7.6,13,7.52,8,8.08,1,7.63,8,7.88,1,7.91,1,6.17,5,6.03,8,6.68,8,6.94,4,7.52,3,7.81,3
Invesco India Low Duration Fund - Dir - Growth,3649.45,03-Jul-2024,356,May 2024,1257.5162, May 2024 ,8.75,17,8.63,20,7.88,16,7.58,17,7.57,15,7.28,17,7.59,17,7.38,19,7.34,17,6.93,19,5.76,18,5.46,18,6.21,17,6.62,10,7.2,9,7.49,8
JM Low Duration Fund - Dir - Growth,35.23,03-Jul-2024,350.51,May 2024,262.0561, May 2024 ,10.78,5,9.15,16,8.05,11,7.65,16,7.67,7,7.44,10,7.62,15,7.44,16,7.33,18,6.87,20,5.8,17,10.15,1,7.76,1,5.81,18,6.58,17,6.93,18
Kotak Low Duration Fund - Dir - Growth,3363.64,03-Jul-2024,711.75,May 2024,9154.3967, May 2024 ,11,3,9.55,10,8.54,2,8.12,2,7.84,3,7.73,2,8.05,2,7.68,3,7.69,5,7.49,3,6.17,6,5.99,9,6.83,5,7.16,2,7.93,1,7.95,2
LIC MF Low Duration Fund - Dir - Growth,39.66,03-Jul-2024,315,May 2024,1486.8895, May 2024 ,11.14,2,9.93,4,7.72,18,7.68,15,7.54,16,7.35,16,7.73,12,7.51,13,7.38,15,6.96,18,5.82,16,5.84,10,6.31,13,6.08,16,6.89,13,7.16,13
