Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Medium Term Plan - Dir - Growth,37.92,03-Jul-2024,1908.95,May 2024,1859.1466, May 2024 ,24.85,2,8.75,3,7.09,5,12.39,1,12.39,1,9.96,1,9.61,2,8.82,3,8.11,3,16.16,1,13.44,1,12.74,1,9.54,1,8.35,1,9.08,1,9.42,1
Axis Strategic Bond Fund - Dir - Growth,28.02,03-Jul-2024,2058.6,May 2024,1931.9706, May 2024 ,15.25,9,6.89,10,8.07,3,7.25,3,10.22,2,8.62,2,9.45,3,9.01,2,8.25,2,8.18,2,6.83,3,7.17,4,7.94,3,7.59,3,8.69,3,8.6,3
Bandhan Bond Fund - Medium Term Plan - Dir - Growth,45.6,03-Jul-2024,1828.65,May 2024,1557.4524, May 2024 ,22.35,3,9.06,2,6.14,11,6.17,13,8.93,10,7.2,11,7.74,12,8.23,5,7.16,11,7.08,13,5.11,12,4.9,12,6.39,9,6.62,8,7.52,7,7.58,8
Baroda BNP Paribas Medium Duration Fund - Dir - Growth,18.62,03-Jul-2024,1770.25,May 2024,29.4057, May 2024 ,11.96,13,6.76,12,8.91,1,7.16,4,8.39,12,6.49,15,8.04,10,7.4,14,7.03,13,7.59,8,5.58,11,5.05,11,5.82,10,4.45,12,5.94,10,6.2,12
DSP Bond Fund - Dir - Growth,79.37,03-Jul-2024,1467.3,May 2024,356.2045, May 2024 ,17.25,4,9.62,1,6.78,7,6.68,6,8.2,15,6.69,14,7.74,13,7.78,11,7.29,10,7.33,11,5.6,10,5.37,9,6.47,8,5.56,9,7,8,6.93,9
HDFC Medium Term Debt Fund - Dir - Growth,55.86,03-Jul-2024,1941.8,May 2024,4173.3498, May 2024 ,16.08,8,7.89,8,6.53,9,6.59,8,9.63,5,7.81,8,8.53,7,8.09,8,7.68,6,7.79,7,6.19,9,6.79,7,7.37,7,7.33,5,8.04,6,8.15,6
HSBC Medium Duration Fund - Dir - Growth,20.34,03-Jul-2024,1908.95,May 2024,809.3977, May 2024 ,14.18,11,8.17,7,7.04,6,6.6,7,9.9,4,8.5,3,9.13,4,8.53,4,8.01,4,7.99,3,6.29,7,7.05,5,7.38,6,6.87,7,--,--,7.83,7
ICICI Prudential Medium Term Bond Fund - Dir - Growth,44.83,03-Jul-2024,1879.75,May 2024,6214.2429, May 2024 ,16.86,5,8.25,6,7.44,4,6.26,11,9.11,9,8.02,5,8.34,9,8.19,7,7.76,5,7.92,5,6.61,6,7.24,3,7.97,2,7.53,4,8.39,4,8.47,4
Invesco India Medium Duration Fund - Dir - Growth,1172.69,03-Jul-2024,1879.75,May 2024,229.0923, May 2024 ,7.46,15,6.13,14,5.71,13,6.33,10,9.3,7,7.89,6,8.55,6,8.22,6,7.46,8,7.35,10,--,--,--,--,--,--,--,--,--,--,5.52,13
Kotak Medium Term Fund - Dir - Growth,22.9,03-Jul-2024,2219.2,May 2024,1744.9918, May 2024 ,26.47,1,8.3,5,5.41,14,6.55,9,10.01,3,7.39,9,9.92,1,9.84,1,8.96,1,7.96,4,6.67,4,6.98,6,7.43,5,7.02,6,8.21,5,8.38,5
Nippon India Strategic Debt Fund - Dir - Growth,15.31,03-Jul-2024,1547.6,May 2024,118.0198, May 2024 ,13.83,12,8.67,4,8.54,2,7.88,2,9.59,6,8.27,4,8.55,5,7.88,10,7.29,9,7.36,9,10.17,2,8.16,2,1.09,13,1.51,13,4.31,11,4.34,15
SBI Magnum Medium Duration Fund - Dir - Growth,50.63,03-Jul-2024,1825,May 2024,6102.2427, May 2024 ,15,10,6.89,11,6.75,8,6.92,5,9.27,8,7.85,7,8.39,8,7.94,9,7.58,7,7.82,6,6.2,8,6.43,8,7.78,4,7.76,2,8.91,2,8.98,2
Sundaram Medium Duration Fund  - Dir - Growth,71.34,03-Jul-2024,1773.9,May 2024,43.7954, May 2024 ,10.7,14,5.72,15,5.09,15,5.35,14,8.36,13,6.82,12,6.99,15,7.05,15,6.17,15,6.31,15,4.44,14,4.23,13,5.1,12,5.53,10,6.73,9,6.83,10
