Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Money Manager Fund - Dir - Growth,347.5,03-Jul-2024,240.9,May 2024,23737.5986, May 2024 ,10.96,2,10.75,5,8.75,3,7.95,4,7.62,4,7.52,4,7.98,2,7.8,2,7.72,2,7.36,2,6.19,3,5.73,2,6.23,2,6.7,1,7.11,5,7.41,6
Axis Money Market Fund - Dir - Growth,1337.83,03-Jul-2024,248,May 2024,8369.1643, May 2024 ,9.74,17,10.64,8,8.78,2,7.99,2,7.69,2,7.53,2,7.95,4,7.76,4,7.67,4,7.3,4,6.15,4,5.66,4,--,--,--,--,--,--,6.1,18
Bajaj Finserv Money Market Fund - Dir - Growth,1075.47,03-Jul-2024,234,May 2024,2145.0968, May 2024 ,10.03,12,10.71,7,8.62,11,7.75,16,7.46,16,7.37,14,7.73,14,7.6,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.98,1
Bandhan Money Manager Fund - Dir - Growth,40.45,03-Jul-2024,244,May 2024,5068.9048, May 2024 ,10.56,8,10.51,15,8.65,8,7.8,13,7.51,14,7.43,12,7.83,10,7.63,12,7.56,12,7.18,10,5.99,11,5.43,12,5.81,13,6.13,13,6.87,12,7.19,13
Baroda BNP Paribas Money Market Fund - Dir - Growth,1297.59,03-Jul-2024,83.95,May 2024,35.8856, May 2024 ,9.86,15,10.59,12,8.64,9,7.68,17,7.24,21,7.22,20,7.43,20,7.31,20,7.21,19,6.8,20,5.68,18,5.03,18,5.28,16,--,--,--,--,5.3,23
DSP Savings Fund - Dir - Growth,50.43,03-Jul-2024,270.1,May 2024,4605.3274, May 2024 ,9.92,14,10.3,20,8.49,18,7.68,18,7.43,18,7.35,16,7.71,15,7.58,15,7.47,14,7.17,12,5.83,14,5.35,13,5.84,12,6.28,11,6.58,13,6.98,15
Edelweiss Money Market Fund - Dir - Growth,29.07,03-Jul-2024,211.7,May 2024,461.794, May 2024 ,10.17,11,10.71,6,8.7,7,7.85,9,7.49,15,7.37,13,7.68,16,7.48,17,7.42,15,6.87,18,5.73,17,5.17,17,6.11,5,6.65,2,7.46,1,7.46,4
Franklin India Money Market Fund - Dir - Growth,48.02,03-Jul-2024,224.63,May 2024,1629.1917, May 2024 ,10.19,10,10.35,18,8.49,17,7.82,12,7.59,6,7.46,9,7.82,11,7.66,11,7.57,11,7.17,11,5.98,12,5.46,11,6,10,6.52,7,7.17,4,7.47,3
HDFC Money Market Fund - Dir - Growth,5403.69,03-Jul-2024,230,May 2024,22479.7588, May 2024 ,10.76,5,10.46,17,8.56,15,7.83,11,7.57,10,7.48,7,7.88,6,7.69,7,7.61,7,7.27,6,6.13,6,5.65,6,6.2,3,6.6,3,7.01,6,7.31,7
HSBC Money Market Fund - Dir - Growth,25.68,03-Jul-2024,233.3,May 2024,1419.8643, May 2024 ,9.24,18,10.34,19,8.5,16,7.79,14,7.52,13,7.36,15,7.79,13,7.6,13,7.47,13,7.08,15,5.86,13,5.27,15,6.15,4,6.47,9,7.22,3,7.45,5
ICICI Prudential Money Market Fund - Dir- Growth,356.06,03-Jul-2024,248.04,May 2024,22485.2415, May 2024 ,11.28,1,10.61,10,8.61,14,7.88,8,7.58,8,7.46,10,7.86,8,7.68,10,7.6,10,7.26,7,6.08,10,5.59,8,6.05,9,6.51,8,6.96,9,7.26,11
Invesco India Money Market Fund - Dir - Growth,2924.9,03-Jul-2024,265,May 2024,4238.378, May 2024 ,9.84,16,10.8,3,8.61,13,7.76,15,7.43,17,7.32,18,7.63,17,7.5,16,7.39,16,7.1,14,5.8,16,5.34,14,5.75,14,6.28,12,6.92,10,7.3,9
Kotak Money Market Fund - Dir - Growth,4203.09,03-Jul-2024,226.3,May 2024,20244.6028, May 2024 ,10.6,7,10.59,11,8.62,12,7.85,10,7.57,9,7.46,11,7.92,5,7.73,5,7.64,5,7.23,9,6.12,7,5.58,9,5.95,11,6.44,10,6.91,11,7.23,12
LIC MF Money Market Fund - Dir - Growth,1127.66,03-Jul-2024,27,May 2024,20.7882, May 2024 ,6.29,23,6.46,23,6.28,23,6.16,23,6.15,23,6.34,23,6.71,23,6.8,23,6.84,22,--,--,--,--,--,--,--,--,--,--,--,--,6.45,17
