Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Overnight Fund - Dir - Growth,1317,03-Jul-2024,3.65,May 2024,9220.9736, May 2024 ,6.33,11,6.55,21,6.55,20,6.53,14,6.57,15,6.57,14,6.68,11,6.78,11,6.8,12,6.47,8,5.48,7,4.88,9,4.8,5,--,--,--,--,4.97,13
Axis Overnight Fund - Dir - Growth,1288.09,03-Jul-2024,3,May 2024,9383.442, May 2024 ,6.33,12,6.63,6,6.6,4,6.56,3,6.59,7,6.59,6,6.7,5,6.8,4,6.82,4,6.49,3,5.5,3,4.9,3,4.81,2,--,--,--,--,4.89,19
Bajaj Finserv Overnight Fund - Dir  - Growth,1067.85,03-Jul-2024,1,May 2024,426.5296, May 2024 ,6.37,7,6.58,13,6.58,11,6.54,12,6.56,17,6.56,18,6.66,19,6.77,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.8,2
Bandhan Overnight Fund - Dir - Growth,1298.64,03-Jul-2024,4,May 2024,1737.2855, May 2024 ,6.4,6,6.61,7,6.59,7,6.55,7,6.58,10,6.58,10,6.68,9,6.78,10,6.81,10,6.46,13,5.47,15,4.87,16,4.78,11,--,--,--,--,4.9,18
Bank of India Overnight Fund - Dir - Growth,1234.69,03-Jul-2024,1,May 2024,70.61, May 2024 ,6.42,5,6.65,2,6.65,3,6.61,2,6.63,3,6.63,2,6.74,2,6.84,2,6.87,2,6.54,1,5.56,1,4.97,1,--,--,--,--,--,--,4.87,20
Baroda BNP Paribas Overnight Fund - Dir - Growth,1278.77,03-Jul-2024,3,May 2024,1028.0529, May 2024 ,6.31,18,6.58,15,6.57,15,6.56,5,6.59,8,6.58,8,6.67,14,6.77,14,6.8,14,6.47,9,5.47,11,4.88,12,4.8,6,--,--,--,--,4.85,22
Canara Robeco Overnight Fund - Dir - Growth,1258.8,03-Jul-2024,3.65,May 2024,190.9066, May 2024 ,6.23,28,6.46,31,6.47,32,6.43,32,6.45,32,6.45,32,6.56,32,6.68,31,6.7,30,6.39,26,5.42,23,4.83,24,--,--,--,--,--,--,4.76,30
DSP Overnight Fund - Dir - Growth,1304.31,03-Jul-2024,3.65,May 2024,1648.6387, May 2024 ,6.32,17,6.59,10,6.58,10,6.54,11,6.56,16,6.56,17,6.67,16,6.78,13,6.8,13,6.48,5,5.48,5,4.89,5,4.83,1,--,--,--,--,4.96,14
Edelweiss Overnight Fund - Dir - Growth,1260.81,03-Jul-2024,3,May 2024,241.277, May 2024 ,6.37,8,6.49,29,6.47,31,6.43,31,6.45,31,6.47,31,6.6,31,6.73,27,6.76,23,6.41,24,5.41,24,4.84,22,--,--,--,--,--,--,4.79,29
Franklin India Overnight Fund - Dir - Growth,1270.02,03-Jul-2024,0.4,May 2024,332.5974, May 2024 ,6.25,26,6.5,28,6.5,28,6.47,29,6.5,29,6.5,28,6.61,28,6.71,30,6.74,29,6.4,25,5.41,25,4.81,25,4.71,16,--,--,--,--,4.74,31
Groww Overnight Fund - Dir - Growth,1256.26,03-Jul-2024,2,May 2024,39.5704, May 2024 ,6.29,22,6.58,16,6.57,16,6.52,17,6.55,21,6.56,21,6.63,23,6.74,24,6.75,24,6.26,27,5.3,27,4.73,27,--,--,--,--,--,--,4.68,34
HDFC Overnight Fund - Dir - Growth,3613.02,03-Jul-2024,3,May 2024,11144.0324, May 2024 ,7.27,1,6.64,4,6.57,14,6.49,25,6.52,26,6.52,26,6.62,26,6.73,26,6.75,26,6.42,22,5.42,22,4.83,23,4.75,15,5.13,2,5.68,3,6.01,10
Helios Overnight Fund - Dir,1046.88,03-Jul-2024,1,May 2024,103.885, May 2024 ,6.19,30,6.44,32,6.5,30,6.44,30,6.46,30,6.49,30,6.6,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.79,3
HSBC Overnight Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),1274.2,03-Jul-2024,3.95,May 2024,2944.9923, May 2024 ,6.52,2,6.64,5,6.59,6,6.54,9,6.57,13,6.58,12,6.69,7,6.79,7,6.81,7,6.47,6,5.48,6,4.88,8,4.8,4,--,--,--,--,4.83,23
