Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Short Term Fund - Dir - Growth,47.1,03-Jul-2024,1500.15,May 2024,7497.0092, May 2024 ,13.8,8,8.58,9,7.42,4,7.06,10,8.98,2,7.86,3,8.31,1,8.11,4,7.76,3,7.72,3,6.43,5,6.7,5,7.49,4,7.47,2,8.22,2,8.61,1
Axis Short Term Fund - Dir - Growth,30.8,03-Jul-2024,1354.15,May 2024,8006.8894, May 2024 ,14.82,6,8.68,7,7.53,3,6.96,12,8.52,13,7.59,8,8.2,6,8.02,5,7.56,8,7.42,10,6.13,7,6.02,9,7.26,7,7.34,3,7.99,3,8.13,3
Bandhan Bond Fund - Short Term Plan - Dir -Growth,56.01,03-Jul-2024,1248.3,May 2024,8759.1654, May 2024 ,22.24,1,10.71,1,7.19,7,7.55,3,9.19,1,7.74,4,7.95,12,8.23,2,7.55,9,7.27,11,5.67,16,5.48,15,6.77,12,6.96,8,7.59,9,7.81,8
Bank of India Short Term Income Fund - Dir - Growth,26.34,03-Jul-2024,1343.2,May 2024,78.7964, May 2024 ,9.98,16,8.35,15,6.29,20,6.44,19,8.29,19,7.09,21,7.51,21,7.4,21,6.83,23,10.15,1,12.53,1,10.64,1,6.77,11,4.73,19,6.35,19,6.66,21
Baroda BNP Paribas Short Duration Fund - Dir - Growth,29.02,03-Jul-2024,1211.8,May 2024,223.7098, May 2024 ,4.4,21,6.41,22,5.78,22,6.36,20,8.02,22,7.22,20,7.87,14,7.65,16,7.54,10,7.49,6,5.89,11,5.87,10,6.55,16,6.98,7,7.84,7,7.97,7
Canara Robeco Short Duration Fund - Dir - Growth,25.52,03-Jul-2024,1146.1,May 2024,386.997, May 2024 ,13.16,10,8.08,17,6.58,17,6.51,18,8.17,20,7.22,19,7.6,19,7.38,22,7.06,20,6.76,22,5.38,21,5.24,20,6.34,19,6.54,13,7.06,16,7.17,18
DSP Short Term Fund - Dir - Growth,46.37,03-Jul-2024,1266.55,May 2024,2972.5759, May 2024 ,13.23,9,7.84,19,6.54,19,7.19,7,8.44,18,7.25,18,7.77,16,7.56,19,7.23,19,7.01,17,5.63,18,5.47,16,6.67,14,6.79,10,7.57,10,7.78,9
Franklin India STIP - Dir - Growth,5168.67,03-Jul-2024,0.00,May 2024,12.5096, May 2024 ,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,1.34,24,4.63,23,5.68,15,6.66,6,4.1,21,5.31,18,6.8,18,7.27,17
Groww Short Duration Fund - Dir - Growth,2188.89,03-Jul-2024,949,May 2024,38.5724, May 2024 ,18.62,2,8.36,14,7.55,2,8.1,1,8.78,4,7.53,9,7.61,18,8,7,7.32,17,6.88,20,5.36,22,5.22,21,5.31,20,6.15,15,7.28,13,7.52,13
HDFC Short Term Debt Fund - Dir - Growth,30.28,03-Jul-2024,1481.9,May 2024,13055.7534, May 2024 ,9.89,17,8.21,16,6.96,11,7,11,8.68,6,7.69,6,8.2,5,7.93,9,7.71,4,7.53,4,6.08,8,6.15,8,7.3,5,7.33,4,7.85,6,8.03,5
HSBC Short Duration Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),25.7,03-Jul-2024,1215.45,May 2024,3833.8423, May 2024 ,15.77,3,9.98,2,7.17,8,7.28,5,8.62,8,7.27,17,7.54,20,7.64,17,7.25,18,6.92,19,5.42,20,5.26,19,6.51,17,6.72,12,7.42,11,7.63,11
ICICI Prudential Short Term Fund - Dir - Growth,60.1,03-Jul-2024,1828.65,May 2024,18252.3117, May 2024 ,15.43,4,8.58,8,7.03,9,7.11,9,8.56,11,7.87,2,8.2,4,8.14,3,8.06,1,8.27,2,6.75,4,6.73,4,7.8,2,7.66,1,8.41,1,8.53,2
Invesco India Short Duration Fund - Dir - Growth,3606.06,03-Jul-2024,1237.35,May 2024,449.5574, May 2024 ,9.39,18,7.78,20,6.55,18,6.6,16,8.48,16,7.42,13,7.76,17,7.77,14,7.33,16,6.93,18,5.55,19,5.29,18,6.64,15,6.74,11,7.41,12,7.54,12
